distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance,model_sum,gravity_seed_sum,gravity_sum,sampers_sum
"(-0.001, 22.405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(22.405, 35.395]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(35.395, 46.554]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(46.554, 56.061]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(56.061, 64.93]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(64.93, 73.165]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(73.165, 80.94]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(80.94, 88.329]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(88.329, 95.338]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(95.338, 102.07]",2.852629523867422e-06,1.2653898970208897e-05,7.149423014471802e-06,6.192792357374791e-06,4.4191082350699217e-10,3.3275325948545893e-10,1.5316036892803356e-09,8.269654227575385e-10,0.013270432545031246,0.05886593800941179,0.03325911586332282,0.028808870046507527
"(102.07, 108.851]",7.586567638110974e-06,3.411839242478412e-05,2.2379714884802157e-05,1.5561603578024748e-05,8.087171162063183e-10,4.095703969451812e-12,7.318147568690411e-09,1.3481193735109036e-09,0.03527753951721603,0.15865052477524616,0.10406567421433002,0.07236145663781508
"(108.851, 115.402]",7.067040639461027e-06,2.789140198358795e-05,2.2101104220165525e-05,1.5208645404943376e-05,4.91326558245628e-10,2.5414157445034776e-12,8.877928473894607e-09,2.129499096005345e-09,0.0328758730547727,0.12975080202765116,0.10281433683221003,0.07075061842379658
"(115.402, 121.788]",6.337511347570995e-06,2.2976669096488394e-05,1.732621543439718e-05,1.241070230020472e-05,4.233125018002641e-10,1.5967546336908554e-12,6.234387660316483e-09,1.4257004942528305e-09,0.029469427766205127,0.10684151129867103,0.08056690176994688,0.057709765695951945
"(121.788, 128.103]",6.5455072639063185e-06,1.8990567532281708e-05,1.2939769575024032e-05,1.1090356787066798e-05,5.250282471134929e-10,1.0754341440501173e-12,2.9179598985838015e-09,1.0244614205130732e-09,0.030449699791692195,0.08834412016017451,0.060195808063011794,0.05159233977343475
"(128.103, 134.5]",6.426976951280249e-06,1.5705384875010723e-05,1.4399897604543631e-05,1.0818847826977302e-05,9.331640591613081e-10,7.544268086815804e-13,5.720416637052749e-09,9.051205725168816e-10,0.02989829677735572,0.07306145043854989,0.06698832365633697,0.05032928009109841
"(134.5, 140.658]",5.976497187646992e-06,1.3043226283379699e-05,1.353961888890708e-05,9.393690664845573e-06,7.380302062294393e-10,4.885338066885899e-13,5.459375018510899e-09,6.090312018887256e-10,0.02779071192255851,0.0606510022177156,0.06295922783341792,0.043680661591531916
"(140.658, 146.534]",6.179380298239124e-06,1.0865362809061336e-05,1.0113242607706492e-05,7.802111302264943e-06,5.366934716769367e-10,2.941748991390008e-13,1.6386332793577169e-09,2.903010323006126e-10,0.028746477147408404,0.05054566778775334,0.0470468046110506,0.036295421778136515
"(146.534, 152.416]",4.0379326501281235e-06,9.122281885970073e-06,8.037503613269994e-06,7.957485654661733e-06,3.3140619763570054e-10,2.110685242935735e-13,1.5047523859738352e-09,6.985824407454085e-10,0.01878446268839603,0.04243685533353278,0.037390466808932016,0.03701822326548638
"(152.416, 158.282]",4.424399813959127e-06,7.640573508748124e-06,8.845783799823955e-06,7.254236166114951e-06,6.28834675559037e-10,1.5055907767449846e-13,6.854344978582322e-09,7.501146011292587e-10,0.02057345913490994,0.035528666815678775,0.04113289466918139,0.03373219817243452
"(158.282, 164.09]",4.7570165467262825e-06,6.414478621276361e-06,9.277863283082973e-06,6.929871299732195e-06,4.854276149030453e-10,9.933100755998029e-14,5.6090898232021586e-09,5.727849705756351e-10,0.022129640975370665,0.02984015454617763,0.043160619992901994,0.03223776128635417
"(164.09, 169.751]",4.184602087294277e-06,5.396253762963677e-06,5.954493499971579e-06,6.004973123992084e-06,3.2327662420777336e-10,7.07937805574494e-14,5.720754533468522e-10,4.60799345438567e-10,0.01945839970591839,0.025092579997781098,0.02768839477486784,0.02792312502656319
"(169.751, 175.259]",4.5120539006324046e-06,4.5687167726052205e-06,7.316925328188721e-06,5.533153274959129e-06,6.472064179899266e-10,4.774912702393528e-14,2.276001599280214e-09,2.6506391853003207e-10,0.020990074745741945,0.021253670426159485,0.03403833662673393,0.025740229035109866
"(175.259, 180.935]",3.5374713301513826e-06,3.857325245779709e-06,6.504503013440874e-06,5.4413959313226855e-06,3.269338942978212e-10,3.670180231642318e-14,3.807398827087509e-09,2.9670372965809915e-10,0.01645631662786423,0.017944277043367207,0.030258948018526945,0.02531337387251313
"(180.935, 186.282]",3.1437218451776283e-06,3.273758520115371e-06,4.31994831444523e-06,4.6677951081933235e-06,1.896741510296846e-10,2.233633866193848e-14,4.5004744100096835e-10,2.066170912869848e-10,0.014618306580075971,0.015222977118536476,0.02008775966217032,0.021705247253098955
"(186.282, 191.76]",3.5058632467844305e-06,2.7819177918039374e-06,4.76564228780816e-06,4.698636308826721e-06,3.2986829687891447e-10,1.6967147533772008e-14,7.407401393978359e-10,1.9899892805783046e-10,0.01630927582404117,0.012941481567471918,0.02216976792288356,0.021858056108661907
"(191.76, 197.086]",3.905277262827531e-06,2.3655187477519797e-06,5.24535447110677e-06,4.379361341883729e-06,4.558203668471962e-10,1.1947055983018179e-14,1.7949939133092372e-09,1.4081329463551028e-10,0.01815953927214802,0.010999662177046706,0.02439089829064648,0.020364030239759343
"(197.086, 202.626]",3.7218518164586027e-06,2.010209843919405e-06,4.854459712312463e-06,3.884303189212279e-06,4.893964378351456e-10,9.374824588857492e-15,1.882687742329719e-09,8.731286961850326e-11,0.01731405465016542,0.009351496193913074,0.022582946581677577,0.018069778436215524
"(202.626, 207.999]",3.0844221352250698e-06,1.70683416996274e-06,2.946669275781002e-06,3.4738272742851703e-06,2.5865486467281284e-10,6.352825028809018e-15,1.6708189818783015e-10,6.944606518036769e-11,0.014348731773067025,0.007940192558666667,0.013707905470933222,0.016160244479974613
"(207.999, 213.47]",2.7616265664259466e-06,1.4496574307926626e-06,2.6933975946967467e-06,2.8383754234949854e-06,3.1262257299189865e-10,4.8018878525264485e-15,3.7163646643281717e-10,5.932119069624618e-11,0.012841563533880652,0.006740907053185881,0.012524298815339872,0.013198445719251682
"(213.47, 218.954]",2.7235631834523677e-06,1.2319903323215277e-06,2.6566944821275814e-06,2.9208095624166693e-06,2.2779076564031e-10,3.4129779647874024e-15,2.786184619204574e-10,7.797658138878499e-11,0.012670015929420415,0.005731219025959747,0.012358942730857508,0.013587606084362346
"(218.954, 224.269]",2.433822419255307e-06,1.0466918993096753e-06,2.1126718510853375e-06,2.533316197512846e-06,1.2830579104577225e-10,2.2924898901348084e-15,1.4281516962150448e-10,2.927224929471574e-11,0.011322141894375689,0.00486921071558861,0.00982814945124899,0.01178498695082976
"(224.269, 229.603]",2.4717611825453607e-06,8.919038514209003e-07,1.7216847824198323e-06,2.2218014181311977e-06,1.4439016190696553e-10,1.6843450641346746e-15,7.847904425733228e-11,2.945764911753587e-11,0.011493689498835927,0.004147352909107186,0.00800583423825222,0.01033137659431007
"(229.603, 234.752]",3.0923241560668084e-06,7.614021633605253e-07,2.3779097295073255e-06,2.303604166436605e-06,3.7382222027117485e-10,1.15069272526406e-15,3.7707066186075516e-10,4.220654495055609e-11,0.014385491974022793,0.003542042863953164,0.011062036061668078,0.010716366582263088
"(234.752, 239.974]",2.3927069869415645e-06,6.527548734998582e-07,1.6469323861623294e-06,2.243812174745296e-06,1.2106926641518817e-10,9.043930120314598e-16,6.227730233213293e-11,4.728529333987176e-11,0.011126087489278274,0.0030353101617743407,0.007658235595654832,0.010433726612565628
"(239.974, 245.254]",3.13710227416999e-06,5.573498063421739e-07,2.68989931157581e-06,2.5567561115213928e-06,5.801188145486373e-10,6.383235392077657e-16,1.2784003377993543e-09,1.1969508164250572e-10,0.014593799779438794,0.0025927912991037926,0.012513411597450667,0.01189402943079752
"(245.254, 250.51]",2.162519703688969e-06,4.752387327972276e-07,1.3566426559864466e-06,2.0927185705827474e-06,1.6012456881497547e-10,4.716669654436069e-16,1.039500218049954e-10,3.081020300259616e-11,0.010060041661561084,0.0022108105849727028,0.00631110163564895,0.00973532679035094
"(250.51, 255.844]",3.625952438360785e-06,4.055175213834472e-07,1.9146452131385503e-06,2.1006197887709813e-06,2.1877180010920287e-09,3.5020750813801974e-16,5.511026509744945e-10,4.638115250014407e-11,0.01686067883837765,0.0018856564744330296,0.00890310024109426,0.009767882017785064
"(255.844, 261.162]",2.341632176101697e-06,3.459398000209227e-07,1.2503845739616998e-06,1.9176512200563272e-06,2.3789320445620056e-10,2.4944307238672407e-16,1.4473499568316614e-10,2.7685960395894584e-11,0.010893272883225094,0.0016093119496973325,0.005816789038069827,0.008920913475702034
