distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(245.254, 250.51]",1.6995070146649355e-06,4.752387327972276e-07,2.060751903086201e-06,2.0927185705827474e-06,1.553715239112694e-10,4.716669654436069e-16,1.9572908175081764e-10,3.081020300259616e-11
"(250.51, 255.844]",2.278957487504847e-06,4.055175213834472e-07,3.167460681428595e-06,2.1006197887709813e-06,4.008744392504257e-10,3.5020750813801974e-16,1.3873817948833647e-09,4.638115250014407e-11
"(255.844, 261.162]",3.2976819209437457e-06,3.459398000209227e-07,3.554722090384577e-06,1.9176512200563272e-06,1.261128219507209e-09,2.4944307238672407e-16,3.4362247859672046e-09,2.7685960395894584e-11
"(261.162, 266.661]",2.8664575613414734e-06,2.9378601527771964e-07,2.3262690297139843e-06,1.8402540986598509e-06,4.939812356088611e-10,1.9696830939938182e-16,5.365552043459215e-10,2.3068510768795966e-11
"(266.661, 272.129]",1.8790324035379924e-06,2.493929777822394e-07,1.161626016649534e-06,1.6727634504054028e-06,1.3921571241733314e-10,1.4060898201829687e-16,5.84819207260276e-11,1.8335710085135225e-11
"(272.129, 277.715]",1.770519279596945e-06,2.1140339010111222e-07,1.4386836867238064e-06,1.6336300869643826e-06,1.4755654120533758e-10,1.0476327159859759e-16,1.708654395185132e-10,2.016567845476252e-11
"(277.715, 283.342]",2.2382475639101893e-06,1.784825779656348e-07,1.7698785885164275e-06,1.527609104357745e-06,3.824504866655422e-10,7.760443427656725e-17,7.430063297539395e-10,1.9076886915727317e-11
"(283.342, 289.14]",2.8692146595000505e-06,1.504689380740047e-07,1.7056061193473442e-06,1.5660191385584705e-06,1.1960514029734538e-09,5.679365737351425e-17,4.366774266116559e-10,2.2974484310044822e-11
"(289.14, 295.075]",2.16786880696931e-06,1.2630044086427075e-07,9.308796513451612e-07,1.40622045732103e-06,2.364520787703308e-10,4.192646079800403e-17,1.0883666668970296e-10,1.2246342458770165e-11
"(295.075, 301.331]",1.6052481637030636e-06,1.0519265595799248e-07,5.310761673916927e-07,1.2264623963961925e-06,1.208854667389021e-10,3.24998326970705e-17,1.292449123904144e-11,9.167281121123286e-12
"(301.331, 307.68]",1.5303542038156557e-06,8.688600324096458e-08,8.231805847122433e-07,1.2066004466645528e-06,1.0333235190182229e-10,2.2645005826684322e-17,8.532106382085538e-11,1.0888827349208809e-11
"(307.68, 313.891]",2.6325750591211857e-06,7.223902224400826e-08,1.7145798356075406e-06,1.1702861559200117e-06,5.145926967025729e-10,1.5322856754750387e-17,1.19621515770615e-09,8.05710686558474e-12
