distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance,model_sum,gravity_seed_sum,gravity_sum,sampers_sum
"(-0.001, 22.405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(22.405, 35.395]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(35.395, 46.554]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(46.554, 56.061]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(56.061, 64.93]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(64.93, 73.165]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(73.165, 80.94]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(80.94, 88.329]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(88.329, 95.338]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(95.338, 102.07]",5.756516725567454e-06,1.2653898970208897e-05,8.236532197916015e-06,6.192792357374791e-06,2.4823246738477316e-09,3.3275325948545893e-10,2.7466423421422704e-09,8.269654227575385e-10,0.026779315807339797,0.05886593800941179,0.0383163477847053,0.028808870046507527
"(102.07, 108.851]",1.2183108387891678e-05,3.411839242478412e-05,2.405646847290639e-05,1.5561603578024748e-05,2.7212164253494837e-09,4.095703969451812e-12,7.578942781500037e-09,1.3481193735109036e-09,0.056651454003696304,0.15865052477524616,0.11186257839901471,0.07236145663781508
"(108.851, 115.402]",1.1513033451134908e-05,2.789140198358795e-05,2.3422467820230542e-05,1.5208645404943376e-05,3.4424221676926204e-09,2.5414157445034776e-12,1.1918074048472921e-08,2.129499096005345e-09,0.053558631614679594,0.12975080202765116,0.10896132029971248,0.07075061842379658
"(115.402, 121.788]",9.263055778277162e-06,2.2976669096488394e-05,1.827091315416591e-05,1.241070230020472e-05,1.3756376609699875e-09,1.5967546336908554e-12,6.281502881157527e-09,1.4257004942528305e-09,0.0430732093689888,0.10684151129867103,0.08495974616687148,0.057709765695951945
"(121.788, 128.103]",8.342895367054803e-06,1.8990567532281708e-05,1.3735525452445431e-05,1.1090356787066798e-05,1.2398076882589028e-09,1.0754341440501173e-12,3.0312864817569505e-09,1.0244614205130732e-09,0.038811149247538944,0.08834412016017451,0.06389766440477615,0.05159233977343475
"(128.103, 134.5]",7.7996747746421e-06,1.5705384875010723e-05,1.526841334241567e-05,1.0818847826977302e-05,1.5211081138339521e-09,7.544268086815804e-13,6.034104593959597e-09,9.051205725168816e-10,0.03628408705163505,0.07306145043854989,0.0710286588689177,0.05032928009109841
"(134.5, 140.658]",7.981477132946344e-06,1.3043226283379699e-05,1.4014104460386592e-05,9.393690664845573e-06,2.0703326279086055e-09,4.885338066885899e-13,6.8583121422967105e-09,6.090312018887256e-10,0.0371138686682005,0.0606510022177156,0.06516558574079766,0.043680661591531916
"(140.658, 146.534]",6.275414007872127e-06,1.0865362809061336e-05,1.0155589460530041e-05,7.802111302264943e-06,7.870696131131113e-10,2.941748991390008e-13,1.4148463432811223e-09,2.903010323006126e-10,0.029193225964621133,0.05054566778775334,0.04724380217038575,0.036295421778136515
"(146.534, 152.416]",4.443057979733753e-06,9.122281885970073e-06,8.129137668975056e-06,7.957485654661733e-06,4.690341639174475e-10,2.110685242935735e-13,1.0162801302826742e-09,6.985824407454085e-10,0.02066910572172142,0.04243685533353278,0.03781674843607196,0.03701822326548638
"(152.416, 158.282]",5.280428469052918e-06,7.640573508748124e-06,8.67722803954972e-06,7.254236166114951e-06,1.19703269820794e-09,1.5055907767449846e-13,6.8035849027600735e-09,7.501146011292587e-10,0.024553992381096068,0.035528666815678775,0.0403491103839062,0.03373219817243452
"(158.282, 164.09]",5.140326202830657e-06,6.414478621276361e-06,9.090817491353265e-06,6.929871299732195e-06,8.612041305483951e-10,9.933100755998029e-14,5.136882305742127e-09,5.727849705756351e-10,0.023912797495568214,0.02984015454617763,0.04229048296977539,0.03223776128635417
"(164.09, 169.751]",3.844735935992447e-06,5.396253762963677e-06,5.777971322426928e-06,6.004973123992084e-06,3.744479764765949e-10,7.07937805574494e-14,5.318279978525751e-10,4.60799345438567e-10,0.017878022102364877,0.025092579997781098,0.026867566649285215,0.02792312502656319
"(169.751, 175.259]",4.734937701030132e-06,4.5687167726052205e-06,6.79453257587596e-06,5.533153274959129e-06,8.217748663635817e-10,4.774912702393528e-14,1.6904516200343514e-09,2.6506391853003207e-10,0.022026930185192174,0.021253670426159485,0.031608165542974964,0.025740229035109866
"(175.259, 180.935]",4.102531638221313e-06,3.857325245779709e-06,6.433822119301394e-06,5.4413959313226855e-06,6.267146636185159e-10,3.670180231642318e-14,4.580657161227801e-09,2.9670372965809915e-10,0.019084977181005547,0.017944277043367207,0.029930140498990086,0.02531337387251313
"(180.935, 186.282]",2.9930539248548798e-06,3.273758520115371e-06,4.163233672533041e-06,4.6677951081933235e-06,1.9820231359142877e-10,2.233633866193848e-14,3.728668869144793e-10,2.066170912869848e-10,0.01391770075057519,0.015222977118536476,0.019359036577278638,0.021705247253098955
"(186.282, 191.76]",3.2836468645842524e-06,2.7819177918039374e-06,4.49475024261808e-06,4.698636308826721e-06,3.822574205270551e-10,1.6967147533772008e-14,6.254947476986163e-10,1.9899892805783046e-10,0.015275525214045942,0.012941481567471918,0.02090957812865931,0.021858056108661907
"(191.76, 197.086]",4.274632570185696e-06,2.3655187477519797e-06,5.20572187682443e-06,4.379361341883729e-06,9.398124179122192e-10,1.1947055983018179e-14,2.022285568689403e-09,1.4081329463551028e-10,0.019877041451363486,0.010999662177046706,0.0242066067272336,0.020364030239759343
"(197.086, 202.626]",3.510664425592546e-06,2.010209843919405e-06,4.5072562838296696e-06,3.884303189212279e-06,5.948231845571002e-10,9.374824588857492e-15,1.6197474664473275e-09,8.731286961850326e-11,0.016331610907856522,0.009351496193913074,0.020967756232375623,0.018069778436215524
"(202.626, 207.999]",3.2431080144041994e-06,1.70683416996274e-06,2.7961676590884973e-06,3.4738272742851703e-06,4.5929526374493236e-10,6.352825028809018e-15,1.6258869586594804e-10,6.944606518036769e-11,0.015086938483008336,0.007940192558666667,0.01300777195007969,0.016160244479974613
"(207.999, 213.47]",2.117038141970525e-06,1.4496574307926626e-06,2.3886828846238743e-06,2.8383754234949854e-06,2.2348785929858152e-10,4.8018878525264485e-15,2.6086238527239925e-10,5.932119069624618e-11,0.00984422736016294,0.006740907053185881,0.011107375413501016,0.013198445719251682
"(213.47, 218.954]",2.6350252617034124e-06,1.2319903323215277e-06,2.2961576450307004e-06,2.9208095624166693e-06,2.9984207644224917e-10,3.4129779647874024e-15,2.027160858965632e-10,7.797658138878499e-11,0.012258137517444274,0.005731219025959747,0.010681725364682818,0.013587606084362346
"(218.954, 224.269]",2.0269425090026245e-06,1.0466918993096753e-06,1.8231728037257585e-06,2.533316197512846e-06,1.6289526914802033e-10,2.2924898901348084e-15,9.557339310062546e-11,2.927224929471574e-11,0.00942933655188021,0.00486921071558861,0.008481399882932228,0.01178498695082976
"(224.269, 229.603]",2.100815627472666e-06,8.919038514209003e-07,1.4794894970345544e-06,2.2218014181311977e-06,2.3396032896294837e-10,1.6843450641346746e-15,5.09272292185409e-11,2.945764911753587e-11,0.009768792667747897,0.004147352909107186,0.006879626161210678,0.01033137659431007
"(229.603, 234.752]",2.6269174916674016e-06,7.614021633605253e-07,1.895678475679564e-06,2.303604166436605e-06,3.895044588467607e-10,1.15069272526406e-15,2.052888833611131e-10,4.220654495055609e-11,0.012220420171236753,0.003542042863953164,0.008818696268861332,0.010716366582263088
"(234.752, 239.974]",2.400932145683047e-06,6.527548734998582e-07,1.3211278601042537e-06,2.243812174745296e-06,1.961948818513791e-10,9.043930120314598e-16,3.201161021801124e-11,4.728529333987176e-11,0.01116433447742617,0.0030353101617743407,0.00614324454948478,0.010433726612565628
"(239.974, 245.254]",2.416115470731129e-06,5.573498063421739e-07,1.8428360337486227e-06,2.5567561115213928e-06,4.119786213215631e-10,6.383235392077657e-16,4.35083640092866e-10,1.1969508164250572e-10,0.01123976916984121,0.0025927912991037926,0.008572873228998593,0.01189402943079752
"(245.254, 250.51]",1.6620928573821524e-06,4.752387327972276e-07,1.0142307317198575e-06,2.0927185705827474e-06,1.339604391748956e-10,4.716669654436069e-16,3.7132883539078473e-11,3.081020300259616e-11,0.007732055972541773,0.0022108105849727028,0.0047182013639607764,0.00973532679035094
"(250.51, 255.844]",2.749716207387003e-06,4.055175213834472e-07,1.4859967439232763e-06,2.1006197887709813e-06,1.0019344183075919e-09,3.5020750813801974e-16,3.0303005580132964e-10,4.638115250014407e-11,0.012786180364349566,0.0018856564744330296,0.0069098848592432345,0.009767882017785064
"(255.844, 261.162]",2.026942509002625e-06,3.459398000209227e-07,1.0651838690350223e-06,1.9176512200563272e-06,2.4058607629793405e-10,2.4944307238672407e-16,9.647952373108777e-11,2.7685960395894584e-11,0.009429336551880212,0.0016093119496973325,0.004955235358750924,0.008920913475702034
