quantile,score,weight
"(-0.001, 2.115]",0.008458769120657097,0.590517677673264
"(2.115, 3.2]",0.4031825523619325,0.05847530357839675
"(3.2, 4.113]",0.6480477138564331,0.03364460745856948
"(4.113, 4.957]",0.7154759974954416,0.02354497666984177
"(4.957, 5.788]",0.42529131001976667,0.021555031394410316
"(5.788, 6.614]",0.8204578786303822,0.017150414628250267
"(6.614, 7.456]",0.7650781125209599,0.014500059441801655
"(7.456, 8.337]",0.6430351418782971,0.016493132510004747
"(8.337, 9.272]",0.5809601635369331,0.015628928897026523
"(9.272, 10.288]",0.5638815267282943,0.014470568929390071
"(10.288, 11.406]",0.7361626846599512,0.01327640405461799
"(11.406, 12.65]",0.4336600362105004,0.015923164429786498
"(12.65, 14.062]",0.26987765754335735,0.018458853461857595
"(14.062, 15.693]",0.5375862687278291,0.016516221042290388
"(15.693, 17.608]",0.5840833457273326,0.014076154999397865
"(17.608, 19.895]",0.44026477932456726,0.017582213438745626
"(19.895, 22.678]",0.5832600565492414,0.013682677468892882
"(22.678, 25.793]",0.5436082067657867,0.014875478550143536
"(25.793, 29.162]",0.6484839133726665,0.011625601810545946
"(29.162, 32.281]",0.4876201528325,0.00974614271792567
"(32.281, 35.044]",0.5380945988035154,0.006282006893239078
"(35.044, 37.614]",0.5537442073210147,0.005040535607780433
"(37.614, 40.002]",0.7143307645345194,0.004462865777945383
"(40.002, 42.213]",0.6912860861851358,0.003784184754291372
"(42.213, 44.525]",0.6575121449627925,0.0038493012285679743
"(44.525, 46.962]",0.6094682883475646,0.003504320565789849
"(46.962, 49.411]",0.6037933877286307,0.0030786089092589577
"(49.411, 51.915]",0.5732298168569384,0.0026421352478772273
"(51.915, 54.193]",0.6052697308479565,0.002102368881918651
"(54.193, 56.242]",0.607839401033012,0.0018139176762216101
"(56.242, 58.166]",0.456176859786828,0.0015402912634231505
"(58.166, 60.05]",0.5505477386387067,0.0013169196131238528
"(60.05, 61.85]",0.5190391271238008,0.0011599382532558019
"(61.85, 63.607]",0.723255735206197,0.001014573268382407
"(63.607, 65.353]",0.6826969096766834,0.0008693488672119718
"(65.353, 67.048]",0.6245383245933697,0.0008274940003533118
"(67.048, 68.668]",0.6312225614720959,0.0007295845548210453
