quantile,score,weight
"(-0.001, 22.405]",1.0,0.0
"(22.405, 35.395]",1.0,0.0
"(35.395, 46.554]",1.0,0.0
"(46.554, 56.061]",1.0,0.0
"(56.061, 64.93]",1.0,0.0
"(64.93, 73.165]",1.0,0.0
"(73.165, 80.94]",1.0,0.0
"(80.94, 88.329]",1.0,0.0
"(88.329, 95.338]",1.0,0.0
"(95.338, 102.07]",0.6150948440193199,0.028808870046507534
"(102.07, 108.851]",0.3918595596861469,0.07236145663781507
"(108.851, 115.402]",0.2929859894134473,0.07075061842379658
"(115.402, 121.788]",0.4376429052527943,0.05770976569595194
"(121.788, 128.103]",0.5109166360898507,0.051592339773434755
"(128.103, 134.5]",0.4757164334451328,0.05032928009109841
"(134.5, 140.658]",0.32637528255194553,0.04368066159153193
"(140.658, 146.534]",0.4535710352604307,0.03629542177813652
"(146.534, 152.416]",0.5801007585924477,0.037018223265486386
"(152.416, 158.282]",0.3192450376145316,0.03373219817243452
"(158.282, 164.09]",0.3360815811312358,0.03223776128635418
"(164.09, 169.751]",0.6517936960652339,0.027923125026563193
"(169.751, 175.259]",0.5736113764038105,0.025740229035109877
"(175.259, 180.935]",0.5010938241076749,0.025313373872513135
"(180.935, 186.282]",0.7893681566671722,0.021705247253098952
"(186.282, 191.76]",0.63298491773676,0.021858056108661907
"(191.76, 197.086]",0.23889684617941465,0.02036403023975935
"(197.086, 202.626]",0.6245552405511134,0.018069778436215524
"(202.626, 207.999]",0.8444645002380219,0.01616024447997461
"(207.999, 213.47]",0.8148909747584702,0.013198445719251684
"(213.47, 218.954]",0.5961048233777403,0.013587606084362347
"(218.954, 224.269]",0.8522932263315677,0.011784986950829761
"(224.269, 229.603]",0.8897779678465032,0.010331376594310075
"(229.603, 234.752]",0.8422411952370524,0.010716366582263088
"(234.752, 239.974]",0.8161030186625163,0.010433726612565628
"(239.974, 245.254]",0.759462202239473,0.011894029430797516
"(245.254, 250.51]",0.8264564833429296,0.009735326790350935
"(250.51, 255.844]",0.8221082241792502,0.009767882017785065
"(255.844, 261.162]",0.8466062715487662,0.008920913475702029
"(261.162, 266.661]",0.8466991977437266,0.008557181558768305
"(266.661, 272.129]",0.8496193021462872,0.007781695571285935
"(272.129, 277.715]",0.8339297656749217,0.00759964716455831
"(277.715, 283.342]",0.8455844351420834,0.007103382335263513
"(283.342, 289.14]",0.8540644122971278,0.007285121032574002
"(289.14, 295.075]",0.8451840815514502,0.006541737567457432
"(295.075, 301.331]",0.867024610978311,0.005703050143242295
"(301.331, 307.68]",0.8674603894629244,0.005613105277883498
"(307.68, 313.891]",0.883118094436992,0.005441830625028058
"(313.891, 320.547]",0.8713045945567643,0.005434848173572595
"(320.547, 326.988]",0.8889094361188409,0.004933643807006314
"(326.988, 333.082]",0.8265210740034866,0.005518840037471137
"(333.082, 339.529]",0.8615435480298138,0.005020826399543681
"(339.529, 346.178]",0.8770485960630069,0.005034391957673979
"(346.178, 352.733]",0.8501345668102588,0.005130642135540592
"(352.733, 359.7]",0.8790567462640675,0.0044136488729364124
"(359.7, 366.652]",0.8667343638546411,0.004520686395395664
"(366.652, 373.677]",0.8740980161422254,0.004402322806401495
"(373.677, 380.777]",0.8380559091916693,0.004725917318098493
"(380.777, 387.825]",0.7188502492530954,0.006554593015748529
"(387.825, 394.882]",0.6114774875540264,0.007740505526423047
"(394.882, 401.993]",0.5774938595611546,0.008067744770823162
"(401.993, 409.214]",0.7579066474459292,0.005621793664473736
"(409.214, 416.899]",0.9070073631270658,0.003341255707506618
"(416.899, 424.964]",0.8868572543887011,0.0037641525442570233
"(424.964, 433.403]",0.876230163170884,0.003928750273620044
"(433.403, 442.513]",0.928704044860013,0.0030918954356520083
"(442.513, 452.301]",0.9438384091519201,0.002597209105279499
"(452.301, 462.106]",0.9516581074471022,0.002377852897759171
"(462.106, 471.922]",0.9342166759074186,0.0028325580352830727
"(471.922, 482.18]",0.9328181017352878,0.002707851071674091
"(482.18, 492.672]",0.9148699429089681,0.003017469335630133
"(492.672, 503.113]",0.9041175028290043,0.0031904042585078553
"(503.113, 514.191]",0.8117708071351812,0.0044676494370093035
"(514.191, 526.672]",0.7257256969888608,0.005289054754944671
"(526.672, 540.366]",0.9456353755700941,0.002390364466872401
"(540.366, 555.642]",0.9573208281551041,0.002055585907558109
"(555.642, 572.623]",0.979262196172436,0.0014617506603069618
"(572.623, 590.3]",0.9838619545056506,0.0012835569554869046
"(590.3, 608.519]",0.9838329017156482,0.0012792948044961431
"(608.519, 627.063]",0.9856393943261923,0.001178486633451188
"(627.063, 646.694]",0.9901498782978514,0.000994510806476731
"(646.694, 667.806]",0.9922100663362963,0.000869493126214842
"(667.806, 688.951]",0.9954393887697508,0.0006708930288932825
"(688.951, 710.266]",0.9953918950163778,0.0006722145673159004
"(710.266, 731.47]",0.9955706416043973,0.0006595769352523785
"(731.47, 753.692]",0.994552786871004,0.000717869929719766
"(753.692, 776.394]",0.9978216938473848,0.0004598955554103964
"(776.394, 799.564]",0.997621384783172,0.00047638986008900037
"(799.564, 824.441]",0.9970659241961138,0.0005264863849418857
"(824.441, 850.989]",0.9967282137782099,0.0004914399829568253
"(850.989, 878.232]",0.9985673851270346,0.0003659078041430298
"(878.232, 907.275]",0.998558060374871,0.0003535226553863311
"(907.275, 937.093]",0.9992923560758432,0.0002573820009822861
"(937.093, 968.346]",0.9993787251201296,0.00024185618234259817
"(968.346, 1002.009]",0.999511974014228,0.000215030537019182
"(1002.009, 1035.793]",0.9989205226098139,0.00030300007775913414
"(1035.793, 1077.098]",0.9997792308060539,0.00014577405171865203
"(1077.098, 1122.821]",0.9998207647208888,0.00012900418284926226
"(1122.821, 1179.108]",0.9998054869287805,0.00013332217475249116
"(1179.108, 1253.004]",0.9997921077222673,0.00013754873895629219
"(1253.004, 1519.694]",0.9994548235963859,0.00015524150169214808
