d,y,type,region,func_name
0.1000562349469145,0.145258946200239,pdf,australia,lognormal
0.1035656662205277,0.1473301568917711,pdf,australia,lognormal
0.1071981893521422,0.14936723952413059,pdf,australia,lognormal
0.1109581217380323,0.1513679745350043,pdf,australia,lognormal
0.1148499322053704,0.1533301589240367,pdf,australia,lognormal
0.1188782463236034,0.1552516102534325,pdf,australia,lognormal
0.1230478519021233,0.15713017065719387,pdf,australia,lognormal
0.1273637046807669,0.15896371084878996,pdf,australia,lognormal
0.1318309342199063,0.16075013411693467,pdf,australia,lognormal
0.1364548499971336,0.16248738029905602,pdf,australia,lognormal
0.1412409477177826,0.16417342972198345,pdf,australia,lognormal
0.1461949158467908,0.1658063070993564,pdf,australia,lognormal
0.1513226423696627,0.16738408537527572,pdf,australia,lognormal
0.1566302217905718,0.1689048895037647,pdf,australia,lognormal
0.1621239623759182,0.17036690015369627,pdf,australia,lognormal
0.1678103936519503,0.1717683573289624,pdf,australia,lognormal
0.1736962741653633,0.17310756389382667,pdf,australia,lognormal
0.1797885995160968,0.17438288899358628,pdf,australia,lognormal
0.1860946106718802,0.17559277136090834,pdf,australia,lognormal
0.1926218025744067,0.1767357224984677,pdf,australia,lognormal
0.1993779330473657,0.17781032972880834,pdf,australia,lognormal
0.2063710320169205,0.17881525910269055,pdf,australia,lognormal
0.213609411055591,0.17974925815754428,pdf,australia,lognormal
0.2211016732608832,0.180611158518046,pdf,australia,lognormal
0.2288567234804088,0.18139987833126597,pdf,australia,lognormal
0.2368837788956455,0.18211442452927834,pdf,australia,lognormal
0.2451923799769188,0.1827538949126146,pdf,australia,lognormal
0.253792401822626,0.1833174800484398,pdf,australia,lognormal
0.2626940658961773,0.18380446497786354,pdf,australia,lognormal
0.2719079521746066,0.1842142307273429,pdf,australia,lognormal
0.2814450117232894,0.18454625561970764,pdf,australia,lognormal
0.2913165797117132,0.1848001163809176,pdf,australia,lognormal
0.3015343888857719,0.18497548903926775,pdf,australia,lognormal
0.3121105835125939,0.18507214961436644,pdf,australia,lognormal
0.323057733814481,0.18508997459383547,pdf,australia,lognormal
0.3343888509091098,0.18502894119631136,pdf,australia,lognormal
0.3461174022737565,0.1848891274199659,pdf,australia,lognormal
0.3582573277519216,0.18467071187639753,pdf,australia,lognormal
0.3708230561213809,0.18437397341039433,pdf,australia,lognormal
0.3838295222433541,0.18399929050669517,pdf,australia,lognormal
0.3972921848131734,0.18354714048552148,pdf,australia,lognormal
0.4112270447335496,0.1830180984892695,pdf,australia,lognormal
0.4256506641322726,0.18241283626337584,pdf,australia,lognormal
0.44058018604695,0.181732120734973,pdf,australia,lognormal
0.4560333548001803,0.180976812393545,pdf,australia,lognormal
0.4720285370893765,0.18014786347836917,pdf,australia,lognormal
0.4885847438163065,0.1792463159780878,pdf,australia,lognormal
0.5057216526822959,0.17827329944829226,pdf,australia,lognormal
0.5234596315759478,0.17723002865351753,pdf,australia,lognormal
0.5418197627811784,0.17611780104053576,pdf,australia,lognormal
0.5608238680343378,0.17493799405030463,pdf,australia,lognormal
0.5804945344602003,0.17369206227636305,pdf,australia,lognormal
0.6008551414176485,0.1723815344778778,pdf,australia,lognormal
0.6219298882869586,0.17100801045592012,pdf,australia,lognormal
0.6437438232317132,0.16957315780190216,pdf,australia,lognormal
0.6663228729695271,0.1680787085274152,pdf,australia,lognormal
0.6896938735869677,0.16652645558499174,pdf,australia,lognormal
0.7138846024352976,0.16491824928956147,pdf,australia,lognormal
0.7389238111449462,0.16325599365057966,pdf,australia,lognormal
0.7648412597979506,0.16154164262498363,pdf,australia,lognormal
0.7916677522989809,0.15977719630127024,pdf,australia,lognormal
0.8194351729869894,0.15796469702509144,pdf,australia,lognormal
0.8481765245309988,0.15610622547683034,pdf,australia,lognormal
0.877925967155069,0.1542038967116514,pdf,australia,lognormal
0.908718859239064,0.15225985617251292,pdf,australia,lognormal
0.940591799343474,0.15027627568658714,pdf,australia,lognormal
0.9735826697082398,0.14825534945546082,pdf,australia,lognormal
1.0077306812772822,0.14619929004937518,pdf,australia,lognormal
1.0430764203022462,0.1441103244156238,pdf,australia,lognormal
1.0796618965808555,0.14199068991104893,pdf,australia,lognormal
1.1175305933872044,0.13984263036837155,pdf,australia,lognormal
1.1567275191533346,0.13766839220585156,pdf,australia,lognormal
1.1972992609635238,0.13547022058950972,pdf,australia,lognormal
1.2392940399248629,0.1332503556568497,pdf,australia,lognormal
1.2827617684799335,0.13101102881069876,pdf,australia,lognormal
1.327754109729706,0.1287544590914433,pdf,australia,lognormal
1.37432453883716,0.12648284963557005,pdf,australia,lognormal
1.4225284065846144,0.12419838422803534,pdf,australia,lognormal
1.4724230051603056,0.12190322395558274,pdf,australia,lognormal
1.5240676362523993,0.1195995039677041,pdf,australia,lognormal
1.577523681531375,0.11728933035150266,pdf,australia,lognormal
1.6328546756045486,0.11497477712626679,pdf,australia,lognormal
1.6901263815294476,0.11265788336309916,pdf,australia,lognormal
1.749406868975785,0.11034065043447663,pdf,australia,lognormal
1.8107665951289311,0.10802503939813597,pdf,australia,lognormal
1.8742784884310455,0.10571296851919738,pdf,australia,lognormal
1.9400180352593908,0.10340631093394981,pdf,australia,lognormal
2.008063369644853,0.10110689245823301,pdf,australia,lognormal
2.078495366137304,0.0988164895428629,pdf,australia,lognormal
2.151397735928178,0.09653682737806013,pdf,australia,lognormal
2.226857126344508,0.09426957814835882,pdf,australia,lognormal
2.3049632238326687,0.09201635943899727,pdf,australia,lognormal
2.3858088605542447,0.0897787327943205,pdf,australia,lognormal
2.469490124720691,0.08755820242826753,pdf,australia,lognormal
2.556106474797946,0.08535621408656352,pdf,australia,lognormal
2.6457608577167187,0.08317415405980128,pdf,australia,lognormal
2.738559831228957,0.08101334834617165,pdf,australia,lognormal
2.834613690555916,0.07887506196219236,pdf,australia,lognormal
2.934036599478356,0.07676049839939197,pdf,australia,lognormal
3.0369467260246767,0.07467079922452773,pdf,australia,lognormal
3.143466382918254,0.07260704382055835,pdf,australia,lognormal
3.2537221729509134,0.07057024926525132,pdf,australia,lognormal
3.367845139455312,0.06856137034398538,pdf,australia,lognormal
3.4859709220550847,0.06658129969300713,pdf,australia,lognormal
3.608239917877858,0.0646308680691225,pdf,australia,lognormal
3.734797448422744,0.06271084474154498,pdf,australia,lognormal
3.865793932280646,0.06082193800138712,pdf,australia,lognormal
4.001385063912655,0.05896479578406633,pdf,australia,lognormal
4.141731998699024,0.05714000639970487,pdf,australia,lognormal
4.287001544478664,0.05534809936643345,pdf,australia,lognormal
4.437366359806806,0.0535895463413601,pdf,australia,lognormal
4.593005159166464,0.05186476214384049,pdf,australia,lognormal
4.754102925377615,0.05017410586558192,pdf,australia,lognormal
4.920851129456537,0.048517882062031274,pdf,australia,lognormal
5.093447958186625,0.04689634201943544,pdf,australia,lognormal
5.272098549671161,0.045309685091923985,pdf,australia,lognormal
5.457015237147996,0.04375806010294189,pdf,australia,lognormal
5.648417801355935,0.04224156680536196,pdf,australia,lognormal
5.846533731752773,0.04076025739462328,pdf,australia,lognormal
6.051598496895437,0.03931413806928058,pdf,australia,lognormal
6.263855824303608,0.03790317063340298,pdf,australia,lognormal
6.483557990139439,0.0365272741353323,pdf,australia,lognormal
6.710966119047676,0.0351863265373979,pdf,australia,lognormal
6.94635049451254,0.033880166411287556,pdf,australia,lognormal
7.189990880100258,0.032608594653889655,pdf,australia,lognormal
7.442176851969034,0.0313713762185516,pdf,australia,lognormal
7.703208143041681,0.03016824185684056,pdf,australia,lognormal
7.973394999249953,0.028998889866045534,pdf,australia,lognormal
8.253058548274018,0.027862987837822376,pdf,australia,lognormal
8.542531181215294,0.026760174403555635,pdf,australia,lognormal
8.842156947656331,0.025690060972190974,pdf,australia,lognormal
9.152291964577223,0.024652233456479787,pdf,australia,lognormal
9.473304839614627,0.02364625398377079,pdf,australia,lognormal
9.805577109166396,0.022671662587682606,pdf,australia,lognormal
10.149503691862549,0.021727978877194406,pdf,australia,lognormal
10.505493357941567,0.020814703679898017,pdf,australia,lognormal
10.873969215089875,0.01993132065636414,pdf,australia,lognormal
11.255369211321913,0.019077297882785706,pdf,australia,lognormal
11.650146655498522,0.01825208939927264,pdf,australia,lognormal
12.058770756102346,0.017455136721383154,pdf,australia,lognormal
12.4817271789105,0.0166858703126875,pdf,australia,lognormal
12.919518624227406,0.015943711016367906,pdf,australia,lognormal
13.372665424363836,0.015228071444065124,pdf,australia,lognormal
13.841706162072276,0.014538357320384923,pdf,australia,lognormal
14.327198310673658,0.013873968781677374,pdf,australia,lognormal
14.829718896636289,0.013234301627896983,pdf,australia,lognormal
