distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance,model_sum,gravity_seed_sum,gravity_sum,sampers_sum
"(-0.001, 22.405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(22.405, 35.395]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(35.395, 46.554]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(46.554, 56.061]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(56.061, 64.93]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(64.93, 73.165]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(73.165, 80.94]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(80.94, 88.329]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(88.329, 95.338]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(95.338, 102.07]",7.42590308773947e-06,1.2653898970208897e-05,9.634180335245529e-06,6.192792357374791e-06,5.913436648035518e-09,3.3275325948545893e-10,4.402406719463682e-09,8.269654227575385e-10,0.034545301164164016,0.05886593800941179,0.044818206919562203,0.028808870046507527
"(102.07, 108.851]",1.528452806638475e-05,3.411839242478412e-05,2.600812902346689e-05,1.5561603578024748e-05,7.853785949433031e-09,4.095703969451812e-12,1.0467908889089645e-08,1.3481193735109036e-09,0.07107305550868909,0.15865052477524616,0.12093779995912105,0.07236145663781508
"(108.851, 115.402]",1.749031386599443e-05,2.789140198358795e-05,2.6696678506730347e-05,1.5208645404943376e-05,3.385037747609535e-08,2.5414157445034776e-12,2.7796499224626407e-08,2.129499096005345e-09,0.08136494010460608,0.12975080202765116,0.12419294841330958,0.07075061842379658
"(115.402, 121.788]",1.0948620401261955e-05,2.2976669096488394e-05,1.852907886986324e-05,1.241070230020472e-05,2.188889318093871e-09,1.5967546336908554e-12,3.5107655998288267e-09,1.4257004942528305e-09,0.050911084865868095,0.10684151129867103,0.08616021674486407,0.057709765695951945
"(121.788, 128.103]",1.1895952199162618e-05,1.8990567532281708e-05,1.574147341495483e-05,1.1090356787066798e-05,5.647642558667911e-09,1.0754341440501173e-12,3.5293516400407315e-09,1.0244614205130732e-09,0.0553399696305045,0.08834412016017451,0.07322933432636985,0.05159233977343475
"(128.103, 134.5]",1.0898578158074289e-05,1.5705384875010723e-05,1.5499427232807822e-05,1.0818847826977302e-05,4.2244243035059e-09,7.544268086815804e-13,5.255975533961177e-09,9.051205725168816e-10,0.05070018559136159,0.07306145043854989,0.07210333548702198,0.05032928009109841
"(134.5, 140.658]",8.844163124465953e-06,1.3043226283379699e-05,1.3854801419509616e-05,9.393690664845573e-06,3.4551692220334585e-09,4.885338066885899e-13,6.1169444306089806e-09,6.090312018887256e-10,0.041125358528766684,0.0606510022177156,0.06442482660071971,0.043680661591531916
"(140.658, 146.534]",8.568349716622463e-06,1.0865362809061336e-05,1.0776192323401e-05,7.802111302264943e-06,1.7401353245542693e-09,2.941748991390008e-13,1.4042246210151814e-09,2.903010323006126e-10,0.039859962881727704,0.05054566778775334,0.05013084668846145,0.036295421778136515
"(146.534, 152.416]",5.821037585260975e-06,9.122281885970073e-06,8.30814307546658e-06,7.957485654661733e-06,6.646053186269936e-10,2.110685242935735e-13,8.71674356577161e-10,6.985824407454085e-10,0.027079466846634058,0.04243685533353278,0.03864948158707053,0.03701822326548638
"(152.416, 158.282]",9.043723728300056e-06,7.640573508748124e-06,9.228160247145574e-06,7.254236166114951e-06,2.4979615628966008e-08,1.5055907767449846e-13,1.0936697744107171e-08,7.501146011292587e-10,0.04205331533659526,0.035528666815678775,0.04291094514922692,0.03373219817243452
"(158.282, 164.09]",6.056780540427309e-06,6.414478621276361e-06,9.159216307713858e-06,6.929871299732195e-06,1.5400900929610065e-09,9.933100755998029e-14,5.51372331906282e-09,5.727849705756351e-10,0.02817614307406784,0.02984015454617763,0.04260867426348487,0.03223776128635417
"(164.09, 169.751]",4.716886999715176e-06,5.396253762963677e-06,5.8328681214777685e-06,6.004973123992084e-06,1.0247944761401985e-09,7.07937805574494e-14,5.774882016711076e-10,4.60799345438567e-10,0.021933524548675566,0.025092579997781098,0.027122836764871622,0.02792312502656319
"(169.751, 175.259]",4.270574303205483e-06,4.5687167726052205e-06,6.0841682277432385e-06,5.533153274959129e-06,5.215060195117003e-10,4.774912702393528e-14,9.271931150624025e-10,2.6506391853003207e-10,0.019866711658511907,0.021253670426159485,0.028303550595461545,0.025740229035109866
"(175.259, 180.935]",4.587920589006314e-06,3.857325245779709e-06,5.79355809219566e-06,5.4413959313226855e-06,1.1640198225746047e-09,3.670180231642318e-14,2.671465637728927e-09,2.9670372965809915e-10,0.021343006580057375,0.017944277043367207,0.026951632244894212,0.02531337387251313
"(180.935, 186.282]",4.0819214420612095e-06,3.273758520115371e-06,3.8588194389973404e-06,4.6677951081933235e-06,9.102169890150474e-10,2.233633866193848e-14,2.3371322646454954e-10,2.066170912869848e-10,0.018980934705584623,0.015222977118536476,0.017943510391337632,0.021705247253098955
"(186.282, 191.76]",3.2732002621171537e-06,2.7819177918039374e-06,3.934236946030344e-06,4.698636308826721e-06,5.971216792006111e-10,1.6967147533772008e-14,4.2705789904730246e-10,1.9899892805783046e-10,0.015226927619368998,0.012941481567471918,0.01830207027293316,0.021858056108661907
"(191.76, 197.086]",4.118205188212864e-06,2.3655187477519797e-06,4.507545886944627e-06,4.379361341883729e-06,2.0204947309483077e-09,1.1947055983018179e-14,1.6405411758338944e-09,1.4081329463551028e-10,0.01914965412518982,0.010999662177046706,0.020960088374292515,0.020364030239759343
"(197.086, 202.626]",3.3910717397003197e-06,2.010209843919405e-06,3.6125448926588124e-06,3.884303189212279e-06,7.489648633114675e-10,9.374824588857492e-15,7.390939992801142e-10,8.731286961850326e-11,0.015775265733085887,0.009351496193913074,0.016805558840648795,0.018069778436215524
"(202.626, 207.999]",3.064658417162321e-06,1.70683416996274e-06,2.4986896890419223e-06,3.4738272742851703e-06,7.418918681660947e-10,6.352825028809018e-15,1.1012161121892078e-10,6.944606518036769e-11,0.014256790956639117,0.007940192558666667,0.011623904433423022,0.016160244479974613
"(207.999, 213.47]",2.068173530644346e-06,1.4496574307926626e-06,1.7233390592614744e-06,2.8383754234949854e-06,2.1844911457842494e-10,4.8018878525264485e-15,5.5444441231051755e-11,5.932119069624618e-11,0.009617006917496208,0.006740907053185881,0.008013526625565856,0.013198445719251682
"(213.47, 218.954]",1.8134073474333261e-06,1.2319903323215277e-06,1.7202854638839856e-06,2.9208095624166693e-06,1.5431259814092857e-10,3.4129779647874024e-15,7.503423562190938e-11,7.797658138878499e-11,0.008435970980259833,0.005731219025959747,0.0080027679779883,0.013587606084362346
"(218.954, 224.269]",1.958479935227992e-06,1.0466918993096753e-06,1.5141463395547125e-06,2.533316197512846e-06,1.3310874280975277e-10,2.2924898901348084e-15,4.908476261653857e-11,2.927224929471574e-11,0.00911084865868062,0.00486921071558861,0.007043808771608522,0.01178498695082976
"(224.269, 229.603]",2.14981195948557e-06,8.919038514209003e-07,1.1482754988204712e-06,2.2218014181311977e-06,2.3991819673537267e-10,1.6843450641346746e-15,2.4888504063964403e-11,2.945764911753587e-11,0.009996625611607902,0.004147352909107186,0.005339481069515191,0.01033137659431007
"(229.603, 234.752]",2.39369769861199e-06,7.614021633605253e-07,1.4866552071270506e-06,2.303604166436605e-06,3.1023753920422584e-10,1.15069272526406e-15,9.591747710939311e-11,4.220654495055609e-11,0.011135481693942979,0.003542042863953164,0.00691592002355504,0.010716366582263088
"(234.752, 239.974]",1.8141873075827597e-06,6.527548734998582e-07,1.0065724239727736e-06,2.243812174745296e-06,1.3447752762713495e-10,9.043930120314598e-16,1.981957516502603e-11,4.728529333987176e-11,0.008435970980259833,0.0030353101617743407,0.004680561771473397,0.010433726612565628
"(239.974, 245.254]",2.239558074080158e-06,5.573498063421739e-07,1.0824299753900627e-06,2.5567561115213928e-06,3.6335826868313014e-10,6.383235392077657e-16,6.091037025083261e-11,1.1969508164250572e-10,0.010418424160620894,0.0025927912991037926,0.005035464245514571,0.01189402943079752
"(245.254, 250.51]",1.659267722901493e-06,4.752387327972276e-07,7.035239626090858e-07,2.0927185705827474e-06,1.292185790340315e-10,4.716669654436069e-16,8.483666283011789e-12,3.081020300259616e-11,0.007718913446937746,0.0022108105849727028,0.0032727934740574673,0.00973532679035094
"(250.51, 255.844]",2.167953832561398e-06,4.055175213834472e-07,8.841293420941883e-07,2.1006197887709813e-06,2.3218598579557792e-10,3.5020750813801974e-16,4.372179655012119e-11,4.638115250014407e-11,0.0100809853214105,0.0018856564744330296,0.004111201440737976,0.009767882017785064
"(255.844, 261.162]",2.0400832658624916e-06,3.459398000209227e-07,7.09101349285397e-07,1.9176512200563272e-06,2.968871128554385e-10,2.4944307238672407e-16,2.618601243757199e-11,2.7685960395894584e-11,0.009490467352792312,0.0016093119496973325,0.0032987394768756667,0.008920913475702034
