distance,groundtruth_mean,model_mean,groundtruth_variance,model_variance,groundtruth_sum,model_sum
"(-0.001, 2.153]",0.00017733265011234226,0.00020026611750546466,1.834176873498069e-07,2.4573748308365525e-07,0.47401017375029086,0.535311332092107
"(2.153, 3.119]",3.188421337069541e-05,2.6351506121264828e-05,4.4084297738376265e-09,1.8870234324582142e-09,0.08525838655323952,0.07046392736826215
"(3.119, 3.875]",1.8839214586548204e-05,1.6762316992329765e-05,3.424144696578364e-09,9.038001726754429e-10,0.0503383813752568,0.04478891100350513
"(3.875, 4.522]",1.1941084248951109e-05,1.3275618003640862e-05,9.75458721542133e-10,5.834569363990726e-10,0.031930459281695266,0.035499002541735665
"(4.522, 5.107]",1.007937976204513e-05,1.0557313835379929e-05,7.36278922933817e-10,3.626381022052942e-10,0.026932102724184587,0.02820914256813517
"(5.107, 5.635]",8.193519515266782e-06,8.697647538028414e-06,7.952779372677225e-10,2.4756821999686435e-10,0.021909471183823373,0.02325750951668798
"(5.635, 6.128]",6.039405557233886e-06,7.037701467253286e-06,2.4332511173997494e-10,1.9097210240670018e-10,0.016137291648928943,0.01880473832050078
"(6.128, 6.599]",6.0733619980128425e-06,6.7312545283465555e-06,4.3181758099915636e-10,1.3459174267414474e-10,0.01624016998268634,0.01799937460879869
"(6.599, 7.053]",5.751182081607873e-06,5.41383048416808e-06,4.3036640556687586e-10,9.644680525445851e-11,0.015367158522056236,0.01446575505369711
"(7.053, 7.474]",4.673254818357075e-06,4.6698129212993155e-06,1.6048297829598365e-10,5.674699685085236e-11,0.012486936874650105,0.012477740125711772
"(7.474, 7.904]",3.5395889714621474e-06,4.369769597020949e-06,9.946326995614947e-11,8.76072485136305e-11,0.009464860909689782,0.011684763902434017
"(7.904, 8.308]",4.222213462221754e-06,4.265815490864969e-06,2.617552215763581e-10,8.160444147423648e-11,0.011281754371056527,0.011398258991591196
"(8.308, 8.691]",3.914940851123834e-06,3.823655939164297e-06,1.4827767428670203e-10,5.156853709502807e-11,0.010468551835905133,0.01022445598132533
"(8.691, 9.084]",3.309185565231136e-06,3.301122610257312e-06,8.984952736266047e-11,3.3837554829660545e-11,0.008842143830297595,0.008820599614607539
"(9.084, 9.455]",3.4304289584411704e-06,3.252129333583826e-06,1.822278616163639e-10,5.4676880269657203e-11,0.00917296703487169,0.008696193838003151
"(9.455, 9.831]",3.3775173870866946e-06,2.9420947298663953e-06,2.7443876339083594e-10,3.914080228020851e-11,0.009024726458295648,0.007861277118203008
"(9.831, 10.182]",2.987116018874351e-06,2.890171125692538e-06,9.330342030934253e-11,3.127735735658132e-11,0.007981574002432266,0.007722537247850461
"(10.182, 10.537]",2.6441805586346716e-06,2.7298403142182546e-06,1.232489019910264e-10,4.918873177788267e-11,0.007070538813789112,0.007299593000219613
"(10.537, 10.884]",3.0011634735751224e-06,2.502730966997303e-06,1.4936697954668904e-10,3.6167883834269637e-11,0.008019108801392727,0.006687297143816794
"(10.884, 11.233]",2.073443405184543e-06,2.094913698430964e-06,5.600198617297335e-11,1.7367001635027058e-11,0.005544387665463469,0.005601799229604398
"(11.233, 11.587]",2.1177244332234613e-06,1.9320349246935704e-06,5.227341955827603e-11,1.527656107992514e-11,0.005658559685573088,0.00516239731878122
"(11.587, 11.917]",2.2910681657234458e-06,1.8697708646902553e-06,1.0935475154624668e-10,1.3086123558558959e-11,0.006126316275144494,0.004999767292181743
"(11.917, 12.256]",2.118573121255148e-06,1.8360689776936737e-06,5.398755709547563e-11,1.338291112914334e-11,0.005660827379993755,0.004905976308397496
"(12.256, 12.591]",2.0206435013051634e-06,1.6433706194736283e-06,6.938612798026304e-11,1.5296724579161922e-11,0.005403200722490007,0.004394373036472482
"(12.591, 12.894]",1.7627538330142446e-06,1.5237326036070536e-06,3.6475382861679546e-11,8.839303290602237e-12,0.004710078241814061,0.0040714135168380475
"(12.894, 13.237]",1.587998961209394e-06,1.499956361389688e-06,3.107666053086838e-11,8.11021194959565e-12,0.0042431332243515005,0.004007883397633246
"(13.237, 13.555]",1.804874592971199e-06,1.6144501555275112e-06,6.173323934778588e-11,1.5289155606500712e-11,0.0048262346616049865,0.004317039715880565
"(13.555, 13.88]",1.8323245879295523e-06,1.257160528607341e-06,6.880437695545415e-11,6.1995378893556776e-12,0.004895971298947764,0.0033591329324388153
"(13.88, 14.211]",1.987010281825262e-06,1.3342459350518614e-06,5.2924545753128376e-11,9.943239175526825e-12,0.005313265493600752,0.0035677736303286775
"(14.211, 14.523]",1.4830738776470635e-06,1.3020638495638144e-06,3.978951428151568e-11,8.966567847971404e-12,0.003962773401072954,0.003479114606034512
"(14.523, 14.836]",1.4383753576995922e-06,1.2458300544294078e-06,2.8483101197918318e-11,1.0031956042863396e-11,0.0038462157064887096,0.0033313495655442364
"(14.836, 15.156]",1.3108421808499045e-06,9.741636400424285e-07,2.1391801712055427e-11,5.136904201751056e-12,0.0035025703072309447,0.002602965246193369
"(15.156, 15.473]",1.6791528598359848e-06,1.1954012362899545e-06,5.914604994884268e-11,8.22010761885303e-12,0.004490054747201423,0.0031965029058393384
"(15.473, 15.797]",1.3313028808706914e-06,9.859524175206767e-07,2.461026593791563e-11,5.59477652995361e-12,0.0035572412976864875,0.002634464859615248
