distance,model_sum,groundtruth_sum,benchmark_sum
"(-0.001, 2.153]",0.49108923893478507,0.47401017375029086,0.7424373779056999
"(2.153, 3.119]",0.07226121427669598,0.08525838655323952,0.036573383731548594
"(3.119, 3.875]",0.04485468301637431,0.0503383813752568,0.02332843992864106
"(3.875, 4.522]",0.035358141402158344,0.031930459281695266,0.01844852099732982
"(4.522, 5.107]",0.028046626236754937,0.026932102724184587,0.013431817919108552
"(5.107, 5.635]",0.02369651433581388,0.021909471183823373,0.01054008546119376
"(5.635, 6.128]",0.01954944805304261,0.016137291648928943,0.009767544011744171
"(6.128, 6.599]",0.018027322029909733,0.01624016998268634,0.009033533307903041
"(6.599, 7.053]",0.015100182024943213,0.015367158522056236,0.007264972084474807
"(7.053, 7.474]",0.013910332499043162,0.012486936874650105,0.007164792145892815
"(7.474, 7.904]",0.01213800756171408,0.009464860909689782,0.006459679501258029
"(7.904, 8.308]",0.01173907745678037,0.011281754371056527,0.00714167369852774
"(8.308, 8.691]",0.01078598595228395,0.010468551835905133,0.006105196641660213
"(8.691, 9.084]",0.009168671967079066,0.008842143830297595,0.003587212416147465
"(9.084, 9.455]",0.009564407105693232,0.00917296703487169,0.004675705979586411
"(9.455, 9.831]",0.008532983840741725,0.009024726458295648,0.0041555409138722245
"(9.831, 10.182]",0.008394057891467657,0.007981574002432266,0.0045408483699568075
"(10.182, 10.537]",0.008042831938822343,0.007070538813789112,0.00414590822747011
"(10.537, 10.884]",0.00743237302928418,0.008019108801392727,0.0038338091880415976
"(10.884, 11.233]",0.00593834067551283,0.005544387665463469,0.003323276808729526
"(11.233, 11.587]",0.005934043996669303,0.005658559685573088,0.0032385091683909176
"(11.587, 11.917]",0.005418993391707939,0.006126316275144494,0.002941822427205789
"(11.917, 12.256]",0.005350466872716288,0.005660827379993755,0.003045855440348626
"(12.256, 12.591]",0.005066445384033851,0.005403200722490007,0.0021904728878408527
"(12.591, 12.894]",0.0047421012169736885,0.004710078241814061,0.0026432091487402377
"(12.894, 13.237]",0.004552276149091671,0.0042431332243515005,0.002404318525967796
"(13.237, 13.555]",0.004656608325112722,0.0048262346616049865,0.002675960282507427
"(13.555, 13.88]",0.003912291343910801,0.004895971298947764,0.001953508802348834
"(13.88, 14.211]",0.003992275673151861,0.005313265493600752,0.0018918596093753012
"(14.211, 14.523]",0.003823603485730289,0.003962773401072954,0.001820577729999653
