d,y,region,type
0.1000210809998629,0.11649563670153736,sweden,pdf
0.10343950732731937,0.07629579395807752,sweden,pdf
0.10697476541103595,0.07127998053853814,sweden,pdf
0.11063084821677031,0.10627359861927224,sweden,pdf
0.11441188517810418,0.08071089901609325,sweden,pdf
0.11832214686051186,0.14672469855927936,sweden,pdf
0.12236604978483338,0.10176466398337183,sweden,pdf
0.12654816141559944,0.1210850699518626,sweden,pdf
0.1308732053198429,0.11918420692470923,sweden,pdf
0.13534606650222286,0.14290675547719725,sweden,pdf
0.13997179692248804,0.1476581877759856,sweden,pdf
0.1447556212015106,0.13641038815155207,sweden,pdf
0.1497029425223353,0.19666522106422904,sweden,pdf
0.15481934873290962,0.17110231256625694,sweden,pdf
0.16011061865738652,0.16671036839668554,sweden,pdf
0.1655827286231297,0.16803775090164078,sweden,pdf
0.17124185921079216,0.20469931525074384,sweden,pdf
0.17709440223509285,0.16259394272238306,sweden,pdf
0.1831469679641759,0.21589687112670175,sweden,pdf
0.18940639258570569,0.16137430679267,sweden,pdf
0.19587974592813173,0.21383433984501207,sweden,pdf
0.2025743394458436,0.19431367279678005,sweden,pdf
0.20949773447723424,0.22428940926720348,sweden,pdf
0.21665775078500088,0.20101540503518142,sweden,pdf
0.2240624753883269,0.22179954391128728,sweden,pdf
0.2317202716969228,0.21101491926458257,sweden,pdf
0.23963978895724136,0.1906793230132721,sweden,pdf
0.24782997202153623,0.20153988015698904,sweden,pdf
0.25630007145079936,0.2028298740611843,sweden,pdf
0.26505965396298586,0.21665776752670646,sweden,pdf
0.27411861323832915,0.20530897558899364,sweden,pdf
0.28348718109395,0.21512472348054276,sweden,pdf
0.2931759390403804,0.19141165049084924,sweden,pdf
0.3031958302330559,0.23402439078707057,sweden,pdf
0.31355817183227463,0.21819299009954918,sweden,pdf
0.32427466778558306,0.21085755857736355,sweden,pdf
0.3353574220470268,0.19918742723914276,sweden,pdf
0.3468189522481957,0.20680356468302782,sweden,pdf
0.3586722038365056,0.2275410587132124,sweden,pdf
0.3709305646966849,0.2176016415755393,sweden,pdf
0.3836078802719803,0.20398134141530908,sweden,pdf
0.39671846920216103,0.21902900952299842,sweden,pdf
0.41027713949598393,0.23550030000943095,sweden,pdf
0.4242992052563863,0.2186652896434538,sweden,pdf
0.43880050397729564,0.2181834512424399,sweden,pdf
0.4537974144315949,0.20748055553174632,sweden,pdf
0.4693068751704442,0.20904919695345822,sweden,pdf
0.4853464036548562,0.1844639413223778,sweden,pdf
0.5019341160411316,0.2068016732641496,sweden,pdf
0.5190887476425031,0.1937052525878656,sweden,pdf
0.5368296740900984,0.232913394166622,sweden,pdf
0.5551769332171218,0.20361650579816915,sweden,pdf
0.5741512476909731,0.18721209975658837,sweden,pdf
0.5937740484188665,0.20209236724175145,sweden,pdf
0.614067498753384,0.1978629570347552,sweden,pdf
0.635054519525303,0.18931227032071402,sweden,pdf
0.6567588149319733,0.180802846179016,sweden,pdf
0.679204899310482,0.1729229172651527,sweden,pdf
0.7024181248258465,0.1795603441666215,sweden,pdf
0.7264247101055095,0.15980120999094802,sweden,pdf
0.7512517698524744,0.17703731390880534,sweden,pdf
0.7769273454705333,0.1883074048174809,sweden,pdf
0.8034804367361732,0.16441226962178704,sweden,pdf
0.8309410345529368,0.15925131449161492,sweden,pdf
0.859340154825228,0.16103624839057618,sweden,pdf
0.8887098734898274,0.15651507031089928,sweden,pdf
0.9190833627446806,0.14442742269955866,sweden,pdf
0.9504949285158797,0.14919103281983392,sweden,pdf
0.9829800492051572,0.14785542244954644,sweden,pdf
1.0165754157616533,0.16155021603383682,sweden,pdf
1.0513189731232198,0.14964295578411632,sweden,pdf
1.087249963074067,0.15275951124191645,sweden,pdf
1.1244089685671543,0.13481701305906973,sweden,pdf
1.1628379595613973,0.15276656410485323,sweden,pdf
1.202580340425446,0.13668402989271572,sweden,pdf
1.2436809989615953,0.14531993062042062,sweden,pdf
1.2861863571051806,0.1356828671165871,sweden,pdf
1.330144423356731,0.13657886829497543,sweden,pdf
1.375604847006104,0.13739090496645073,sweden,pdf
1.4226189742098372,0.13365758468616243,sweden,pdf
1.4712399059850563,0.1256625700692413,sweden,pdf
1.5215225581854543,0.12331664018363557,sweden,pdf
1.5735237235270605,0.1277101080730179,sweden,pdf
1.627302135733879,0.13311951960119736,sweden,pdf
1.6829185358758303,0.1207971468661426,sweden,pdf
1.7404357409739264,0.11510930230777544,sweden,pdf
1.7999187149501794,0.12190742569998442,sweden,pdf
1.8614346420023546,0.10345226802223083,sweden,pdf
1.9250530024864714,0.11408388355158329,sweden,pdf
1.9908456513927353,0.10641046635300881,sweden,pdf
2.0588868995035456,0.10482613599720692,sweden,pdf
2.129253597325256,0.10105807650571984,sweden,pdf
2.202025221888462,0.09676727587518578,sweden,pdf
2.277283966514877,0.0967508222588069,sweden,pdf
2.355114833652173,0.0911363231735587,sweden,pdf
2.4356057308816363,0.09298155964304845,sweden,pdf
2.5188475702071,0.08965834580156648,sweden,pdf
2.6049343707372548,0.08471181212150061,sweden,pdf
2.693963364877366,0.082947825610801,sweden,pdf
2.786035108150294,0.07434674378705391,sweden,pdf
2.8812535927708716,0.07520416861356129,sweden,pdf
2.9797263651019357,0.06618427753974485,sweden,pdf
3.0815646471246496,0.06545599781935621,sweden,pdf
3.1868834620603166,0.06974263992806434,sweden,pdf
3.295801764285601,0.06699128702724803,sweden,pdf
3.408442573687839,0.059570048531137704,sweden,pdf
3.524933114612246,0.055738704380071474,sweden,pdf
3.6454049595579154,0.05997219486162166,sweden,pdf
3.769994177784923,0.05360189917490152,sweden,pdf
3.8988414890003993,0.05311634459291758,sweden,pdf
4.032092422297119,0.05004341227166132,sweden,pdf
4.169897480524164,0.04926027738187643,sweden,pdf
4.312412310275283,0.04497162295812102,sweden,pdf
4.459797877686943,0.04635193224606875,sweden,pdf
4.612220650244665,0.04356483391178442,sweden,pdf
4.769852784802942,0.042616741979921,sweden,pdf
4.932872322031141,0.03938718755101809,sweden,pdf
