distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(153.272, 156.045]",9.432992966162755e-09,1.10646651444623e-08,1.0787715364619077e-08,1.2498739323725904e-10,3.0130110451199495e-13,4.903818140525418e-20,1.9984919320015908e-14,7.782832207444242e-18
"(156.045, 158.711]",1.1584126300227753e-08,1.033832044755092e-08,1.0896045277823514e-08,2.1694652112131804e-10,1.1927783395340714e-13,3.963418321995994e-20,6.0182063877183495e-15,2.4012702722847562e-17
"(158.711, 161.29]",1.3746104881612174e-08,9.680418293406862e-09,1.3932754101463065e-08,1.49606148932349e-10,2.0533570044266146e-13,3.23127307477214e-20,4.797037549017917e-14,3.544859557124985e-18
"(161.29, 163.775]",1.9331429664208546e-08,9.089563865791864e-09,1.6696254266945975e-08,1.5922134526934574e-10,3.7411265736880987e-13,2.6389130665029628e-20,2.2309385913206578e-14,1.5372142570649134e-18
"(163.775, 166.469]",1.3032424492724862e-08,8.528461040521533e-09,1.1617091157768686e-08,9.275718323314793e-11,2.275019081726642e-13,2.729949559778851e-20,1.1782435856516908e-14,3.770730325404638e-19
"(166.469, 169.635]",1.1842957177912671e-08,7.926483002433394e-09,9.548538034188286e-09,7.578279066191798e-11,1.5206548876755556e-13,3.264857930595554e-20,1.0367627316095428e-14,1.55564964635035e-18
"(169.635, 173.203]",1.4500843815106523e-08,7.286699264192466e-09,1.004443139602861e-08,7.775952611828039e-11,1.8770519416791194e-13,3.515606534098903e-20,9.427353939598158e-15,1.9449421493642187e-18
"(173.203, 177.066]",1.452184443475056e-08,6.637236373962037e-09,8.479322706372922e-09,7.920409073473164e-11,2.0319088903258127e-13,3.4109949301710606e-20,4.262639933748373e-15,9.461783410125082e-19
"(177.066, 181.251]",1.6094009929111017e-08,6.0042340651672066e-09,9.205287683425657e-09,3.658499073061499e-11,1.133102625286451e-13,3.2839231579123314e-20,3.937200020160062e-15,1.47855336832172e-19
"(181.251, 185.671]",2.2930861190770644e-08,5.391142445790299e-09,9.520252211374926e-09,1.9796433857318006e-11,5.349441541499008e-13,2.945553749490126e-20,1.3044609297104068e-14,2.4098309800694153e-20
"(185.671, 190.323]",5.54796906021622e-08,4.813745761412626e-09,1.3296945004916069e-08,1.8815527195824618e-11,1.2769825691327786e-12,2.6177391744053162e-20,1.1120090948811755e-14,6.34139102890221e-20
"(190.323, 194.902]",2.5040872775307055e-08,4.285045141769999e-09,1.042004452831705e-08,2.033670206852965e-11,4.780879125111725e-13,2.0087757563200547e-20,2.5101606017457633e-14,4.2881031643832224e-20
"(194.902, 199.511]",2.2930861190770644e-08,3.82480880487133e-09,7.719504518510656e-09,3.0925574196841386e-11,3.133547055621336e-13,1.617279722831727e-20,3.1786716851185466e-15,1.1469568609632223e-19
"(199.511, 204.389]",1.8410885394484325e-08,3.3965770301684935e-09,7.381957194134976e-09,2.178698669946347e-11,1.9828385657774158e-13,1.4273241635467627e-20,8.970536294858567e-15,2.6430120676054963e-20
"(204.389, 209.894]",1.689043587033309e-08,2.9889057205432903e-09,4.934532736992195e-09,1.1196407970703348e-11,2.2962783326325524e-13,1.39479952649335e-20,1.962362243914675e-15,7.811764361353346e-21
"(209.894, 216.791]",1.3745807011609539e-08,2.5623259412089095e-09,4.362169981892807e-09,9.894660637452129e-12,8.347056025712253e-14,1.6192033427842717e-20,1.5708744755450122e-15,8.474258281866721e-21
"(216.791, 224.97]",1.638361936228268e-08,2.1221673486564427e-09,4.284545911222791e-09,8.9854553351269e-12,1.8393854108323263e-13,1.552575891552953e-20,1.1898515837184889e-15,1.1526364395067e-20
"(224.97, 234.117]",2.0624328919439185e-08,1.7077823319366014e-09,4.736033642073281e-09,1.332475422945416e-11,1.4418737035067096e-13,1.2823657835783305e-20,1.817723518841679e-15,2.4658930834095e-20
"(234.117, 243.933]",2.3168754653733085e-08,1.3483141838053806e-09,4.363735104663182e-09,7.797046020498578e-12,2.5450533190269233e-13,9.136071742604684e-21,2.0430684279869364e-15,1.5386439533795082e-20
"(243.933, 254.078]",3.095717976724247e-08,1.0483740322785796e-09,4.027574355966186e-09,3.921748259266692e-12,5.119991973819266e-13,5.86483915583498e-21,1.4121492251780217e-15,1.74053070810217e-21
"(254.078, 264.795]",3.5631531343111266e-08,8.101344584213388e-10,3.208099102161438e-09,6.494827849557482e-12,7.039367000660277e-13,3.8549437033631725e-21,2.6695297499089e-15,3.862657306405705e-21
"(264.795, 277.455]",2.2786056474184818e-08,6.054308395628231e-10,1.7799331108545111e-09,3.011920157076155e-12,2.1241085233409256e-13,3.029504015674649e-21,1.357275010071373e-16,8.249245145149763e-22
"(277.455, 291.861]",4.5406621843700103e-08,4.326963319216148e-10,2.2569977272711084e-09,2.954752521363234e-12,5.968873274546769e-13,1.9998639150666388e-21,5.045555097167693e-16,8.58705348322744e-22
"(291.861, 312.377]",4.7847615637575555e-08,2.8533963622636417e-10,1.5495073962398369e-09,1.9336746413454856e-12,7.553328244394693e-13,1.754937331813693e-21,1.4446598573333014e-16,4.315410622005794e-22
"(312.377, 348.792]",9.074921799839135e-08,1.484863456971402e-10,1.36548002766551e-09,7.672735878355567e-13,1.8619341700316914e-12,1.3370172014173513e-21,4.975409809192731e-17,9.650734408954369e-23
"(348.792, 444.055]",3.0346931318773606e-07,3.629518481936891e-11,8.167927554802342e-10,1.1134437150649988e-14,1.7389122846748747e-11,5.149823052579544e-22,1.811467442649415e-17,4.838871342000587e-26
"(444.055, 1442.945]",3.389774983333904e-07,1.858026065063238e-12,6.131250402541492e-11,3.479307743890003e-18,1.051632124618916e-11,5.210214719108836e-24,1.113454028461584e-19,1.2219091114765045e-31
