distance,model_sum,groundtruth_sum,groundtruth_true_sum,benchmark_sum
"(-0.001, 9.548]",0.8085630910270611,0.7914215764415061,0.6667319013030067,0.844485276281958
"(9.548, 14.357]",0.0411071109110595,0.06024252078708085,0.07934657072238241,0.02631227865909863
"(14.357, 18.128]",0.022696787249356098,0.027093769919774597,0.04668720614996752,0.016567214864405953
"(18.128, 21.389]",0.015271244270256413,0.018293438997166785,0.027618177022202532,0.011139814680056275
"(21.389, 24.365]",0.011359003683063328,0.013736511855301618,0.014538470875637565,0.00884757192063261
"(24.365, 27.157]",0.008230659174217907,0.009672601352555115,0.019966403552383123,0.008908213263474506
"(27.157, 29.803]",0.006763974632723467,0.007952782225134734,0.006380478346709566,0.006555329161208948
"(29.803, 32.325]",0.006042241014091904,0.006274289396984846,0.017164528198012178,0.005791248241401057
"(32.325, 34.744]",0.006030507537759949,0.00500740495300219,0.005816108757838713,0.0060277494784844515
"(34.744, 37.052]",0.0055494350081497735,0.004503881094326536,0.01133857083482227,0.005421336050065491
"(37.052, 39.226]",0.004462216084199425,0.003757201406960653,0.003639616528936917,0.0041842526560908165
"(39.226, 41.315]",0.003695046450835611,0.0032732136807531557,0.009921498818822008,0.0024984233250861113
"(41.315, 43.341]",0.0034860907127537643,0.0028351647162833137,0.0040343156582342285,0.0032988890505991366
"(43.341, 45.324]",0.0028327607646531773,0.002302501918213295,0.0067705552179682105,0.0019890360452141857
"(45.324, 47.269]",0.0027633585003918235,0.002134822379052641,0.002546233294261285,0.002158831805171494
"(47.269, 49.172]",0.0027139281107380533,0.0027312876497973433,0.0027979905582499877,0.002007228448066754
"(49.172, 51.036]",0.0026195610032172184,0.00269600724914751,0.006995829391481151,0.0021588318051714937
"(51.036, 52.866]",0.002723165102744061,0.0022776396747814292,0.0019123863572548957,0.002025420850919323
"(52.866, 54.664]",0.002543168582843211,0.0022141304881295207,0.0017969854722337483,0.002025420850919323
"(54.664, 56.437]",0.0022048949566772593,0.0017263726290242174,0.004143389528496941,0.0015888031824576728
"(56.437, 58.172]",0.0021180173021342692,0.0016493837556002665,0.0022731213101280633,0.0022073448794450103
"(58.172, 59.897]",0.001907563673456854,0.001367501707179525,0.0007861312126484553,0.0017585989424149808
"(59.897, 61.592]",0.0016094834449386648,0.0011884876328034737,0.006825781649962193,0.0013098530053849513
"(61.592, 63.286]",0.001646930709827885,0.0011537366458947266,0.00157758162025906,0.0010672876340173676
"(63.286, 64.964]",0.0013231366927524315,0.0011133570500152245,0.0006630737766419951,0.0008914277397758696
"(64.964, 66.644]",0.0010317969719143016,0.001150737736251409,0.0030830092483628536,0.0007640809198078882
"(66.644, 68.325]",0.0011011992361756554,0.0013472561004686345,0.00129438128825479,0.0006913113083976131
"(68.325, 69.996]",0.0008268356087539721,0.0010714880219052604,0.0007713018415339496,0.0009581332169019552
"(69.996, 71.656]",0.0009241984974659435,0.0006793042384412262,0.0033607861357235523,0.0009884538883229031
"(71.656, 73.323]",0.0008587906081261062,0.000699276855842641,0.0006966089495367088,0.0010066462911754717
"(73.323, 74.976]",0.0009127146695665826,0.0007280375605406535,0.0007424396281382236,0.0008065298597972155
"(74.976, 76.623]",0.0009241984974659438,0.0006545727443437795,0.0018881284175491285,0.0008307863969339738
"(76.623, 78.265]",0.0009758757230130667,0.0008007209353024933,0.0007084513886367604,0.0008611070683549217
"(78.265, 79.907]",0.0009786218557716094,0.0009297882787529613,0.0006681389219860322,0.000709503711250182
"(79.907, 81.548]",0.0009167090444880997,0.000616688666576831,0.0031584422872505125,0.0006003492941347693
"(81.548, 83.185]",0.0009084706462124712,0.0004904268554125322,0.0010634243511312032,0.0007701450540920778
"(83.185, 84.836]",0.0007614277194141351,0.0007160376290129852,0.000502380895369516,0.0008489787997865425
"(84.836, 86.488]",0.0008350740070296005,0.0005880938348025845,0.0015874051178225634,0.0008004657255130258
"(86.488, 88.138]",0.0007139945172211234,0.0005397607700609171,0.0006576925681619756,0.0006003492941347695
"(88.138, 89.792]",0.0007287237747442165,0.0003926260150159943,0.00022362932504737816,0.0006670547712608548
"(89.792, 91.432]",0.0007037589314847365,0.00039670998247271237,0.0022818932049436086,0.0005882210255663903
"(91.432, 93.067]",0.0008607877955868646,0.000350210840552831,0.0006662599959645829,0.0007276961141027507
"(93.067, 94.701]",0.0007127462750581492,0.00025629207405293667,0.00017907619772908378,0.0005700286227138214
"(94.701, 96.328]",0.0005716949106420883,0.0002448141917831141,0.0007540259286495587,0.0007276961141027507
"(96.328, 97.964]",0.00045610768635069663,0.0004286147308755223,0.00017224670198681818,0.00032139911706204814
"(97.964, 99.604]",0.0005085338571956042,0.00025810757760661953,0.0004235524323722484,0.0003274632513462377
"(99.604, 101.258]",0.0004586041706766447,0.00048196175378476127,0.0032476921136363255,0.00045481007131421917
"(101.258, 102.912]",0.00042090725735483003,0.0005396417143421261,0.00048256002319474245,0.001522097705331587
"(102.912, 104.567]",0.0005152743648756637,0.00039030319036681904,0.0004905632270920287,0.0007095037112501819
"(104.567, 106.225]",0.0005202673335275598,0.00031455719241785496,0.000607069403764365,0.0007095037112501819
"(106.225, 107.893]",0.00043388897584975967,0.00020304225867950464,0.00024360183502211276,0.0004790666084509775
