distance,model_sum,groundtruth_sum,groundtruth_true_sum,benchmark_sum
"(-0.001, 6.117]",0.68414123932984,0.654086883337558,0.6135006041390207,0.887795178948402
"(6.117, 10.704]",0.07426042294814822,0.09426263733651635,0.11656599317355502,0.026866807403407137
"(10.704, 15.299]",0.0471509688325894,0.06686401092813186,0.06091387319852192,0.01669816878590014
"(15.299, 20.415]",0.03587575027096784,0.04432151198015592,0.04859840267410905,0.015188521773282927
"(20.415, 26.649]",0.027239168752407637,0.03217063823800581,0.034513592022081534,0.009137660169865974
"(26.649, 34.379]",0.021941683315892243,0.024745862900024493,0.028450586678215747,0.005848347979773185
"(34.379, 43.402]",0.020649061876596743,0.01727017266172216,0.026349363582675697,0.006750454121459079
"(43.402, 52.066]",0.012379602946513224,0.01184709714364144,0.015149889193082737,0.0035716039078992584
"(52.066, 59.23]",0.007090865706436473,0.006181992096756321,0.0057178798036478665,0.0026326771073690415
"(59.23, 65.731]",0.006668538981812502,0.005318566205017605,0.007864804591502083,0.0020435465658598852
"(65.731, 72.32]",0.005443791480402983,0.00393638581082704,0.004674640572728135,0.001785801953949629
"(72.32, 79.05]",0.004300492704456663,0.003132279918023324,0.002405598273930674,0.0013255437183956006
"(79.05, 85.47]",0.0034036517385230454,0.002587239344018568,0.004646876221561768,0.0011230300947518287
"(85.47, 91.305]",0.003494753646263358,0.002469706084999229,0.0019044841794174528,0.001073935882959399
"(91.305, 97.683]",0.0032832886220052126,0.0019874581390282855,0.001421204819698077,0.0011598507535961508
"(97.683, 104.835]",0.002258241328953604,0.0011342322673898743,0.0043145524305339775,0.0004234375767097059
"(104.835, 112.12]",0.002639240366953658,0.0018132920184817784,0.0016691710426268293,0.0005338995532426726
"(112.12, 119.473]",0.0021312416496202533,0.0013171339159535644,0.00026064222505853106,0.0006259512003534782
"(119.473, 126.493]",0.0017849337354285968,0.0007001074108870659,0.002410716654742461,0.0002577446119102558
"(126.493, 133.024]",0.0013810083895203849,0.001113721171000683,0.0009309029177120848,0.00041730080023565216
"(133.024, 139.081]",0.001460043819414299,0.0014009321965744654,0.0006258250526085963,0.00044798468260592064
"(139.081, 145.491]",0.001294733072918631,0.0006766664555804998,0.0009987384859932195,0.0003866169178653835
"(145.491, 151.502]",0.0009236888791418561,0.0004874881274184509,0.0015605993797648964,0.00029456527075457804
"(151.502, 157.39]",0.0012534053862947136,0.00046327197188568723,9.477508964702251e-05,0.00039889047081349106
"(157.39, 162.619]",0.0013725618550279053,0.0005198292215372053,0.000791252804045116,0.0005829937650351021
"(162.619, 167.644]",0.0009258005127649763,0.0007038568630282518,0.00021336229323920707,0.00042343757670970596
"(167.644, 172.7]",0.0007909576228314654,0.0003913090022531666,0.0011095455479235865,0.00033752270607295394
"(172.7, 177.616]",0.0010681849513524864,0.0008159210792193179,0.0002402384096083862,0.00020251362364377245
"(177.616, 182.953]",0.0008407318439478621,0.0006917695190595341,0.0003809002664276533,0.0002638813883843095
"(182.953, 188.251]",0.0008380168864324223,0.00045227432431004595,0.00012697594799972715,0.0002700181648583632
"(188.251, 193.285]",0.0009897528453508915,0.0005679995295839545,0.0004185257512940998,0.00030070204722863156
"(193.285, 198.169]",0.0008054373962471442,0.0007514728508478045,3.365166529895142e-05,0.00027001816485836325
"(198.169, 203.455]",0.0005728560357578005,0.00021827972965531055,0.001216509265252647,0.0001227355294810742
"(203.455, 209.303]",0.0005040771120333252,0.0004674062018479682,9.56774196421935e-05,0.00020251362364377245
"(209.303, 215.079]",0.0007855277078005859,0.00044378313312715226,0.00016599989754945905,0.00019637684716971874
"(215.079, 220.902]",0.0005396732216802027,0.0004607317104255563,0.0003662365808545264,0.00017182974127350387
"(220.902, 226.367]",0.0005285117296722835,0.00037151301610442684,0.000101693906537777,0.00013500908242918163
"(226.367, 231.712]",0.0005523430234189219,0.000476379229546288,0.00030882199986335534,0.00019024007069566503
"(231.712, 236.778]",0.00040362368396205207,0.0008340017202635533,0.0,0.0001165987530070205
