zone,groundtruth,model
10201,12.9717868338558,504.7008919218917
10202,12.1728,190.28672655064014
10601,13.557275541795665,252.13527337271546
10602,10.4,349.3820952528012
10603,13.8,170.89638241580897
10701,10.059925093632959,52.72271550571591
10703,12.162079510703364,117.04817515458986
10704,9.668041237113401,494.52157987059246
11101,7.585585585585585,336.48957730382443
11102,12.216666666666667,368.83260068614356
11103,7.555926544240401,460.667141335504
11401,9.730077120822623,291.2336780983133
11402,16.74251497005988,483.08260934769675
11501,8.259720062208398,444.42197935880364
11502,14.989795918367347,409.0149952487414
11503,15.109756097560975,297.58241261809457
11504,11.26530612244898,144.33520661783305
11601,6.956661316211878,395.1297439232908
11602,9.1175,187.3727159937636
11603,6.575289575289576,296.43302159966527
11701,3.0921658986175116,587.7989960243905
11702,4.704022988505747,580.1630595197563
11703,3.229799851742031,538.6917555531359
11801,4.003802281368821,669.6056707856376
11802,4.162374020156775,636.13676322317
11901,6.779829545454546,214.0043519145369
11902,4.811965811965812,185.37659895270136
11903,6.234493192133131,192.76074395437388
11904,6.015978695073236,292.67812418431606
12001,5.7928730512249444,380.02972287443475
12002,4.136666666666667,467.44105615136573
12003,4.173601147776184,340.6157281005366
12101,4.155864197530864,445.4240214543944
12102,7.333333333333333,241.68816797766561
12103,6.403453689167975,341.1161901725496
12104,5.173758865248227,441.8020826810327
12201,3.4944444444444445,483.16232124182943
12202,6.709090909090909,579.9597340538259
12203,5.090346534653466,395.9813016700494
12301,13.031746031746032,566.5711120170306
12302,10.458715596330276,262.7068746023501
12303,20.939226519337016,1023.0092833074189
12401,13.166666666666666,474.1018524172143
12403,11.683860232945092,158.19896632583539
12404,10.981132075471699,15.260594372967724
12405,10.86970684039088,424.3620414384315
12501,5.870069605568445,484.8982028169436
12502,6.643939393939394,67.06875557153313
12503,6.345299145299145,79.82666725318418
12504,6.576,263.5159751577448
12601,6.1066666666666665,195.58423191034518
12602,5.255742725880551,366.5444807175009
12701,11.225806451612904,333.49273627621886
12702,8.72817133443163,473.42726342694266
12703,9.215384615384615,237.6414389148552
12801,9.869140625,722.4036949321379
12802,7.982905982905983,388.4099180453362
