region,func_name,r2,ks_p,median,ks,para1,para2,para3
australia,lognormal,0.9646447195132248,0.006940981704205638,4.576589594520231,68.9975919031804,1.4060815518968706,1.5506823823709137,
austria,lognormal,0.9396488665725959,0.6167990718362771,3.455490450397393,41.07251429231542,1.1992064699584084,1.5257851665982778,
barcelona,lognormal,0.9577175776611034,0.017027245762695042,2.9194600268356488,128.02276432529348,1.1162973228743773,1.4309753200573097,
capetown,lognormal,0.9215367308685729,0.17871220967712864,4.418744764614834,53.1370677201863,1.3219719577685485,1.585217002115168,
cebu,lognormal,0.9426416505666739,0.077771353860288,2.988838497745673,44.206056026308104,1.155863200747517,1.4498177981170477,
egypt,lognormal,0.9085102404682993,0.24629421666597506,3.898471836159066,33.436143000812486,0.9635756598552606,1.6012022879227272,
guadalajara,lognormal,0.8776599092271004,0.19439240976509647,4.40042622410717,69.31679921901446,1.5854976730193493,1.6054903569602426,
jakarta,lognormal,0.9391074184237554,0.006503075390954356,4.280725072358931,135.61933523842794,1.2629598970250457,1.578226121753147,
johannesburg,lognormal,0.9078499486788393,0.3105709359991423,5.800106646519568,52.327187535179895,1.361274858751497,1.6996728996471653,
kualalumpur,lognormal,0.9444838739648127,0.0708221082280647,5.56180270470191,248.74814674866371,1.833987997538253,1.7688604050480286,
lagos,lognormal,0.907628492408615,0.3711124319616647,3.331230401143182,84.0004427005435,0.9148443302638227,1.491299077001465,
madrid,lognormal,0.97379192947046,0.0029994762730549728,3.417158236829261,31.770671658886492,1.1260744272108916,1.4756358680918473,
manila,lognormal,0.9501005438084678,0.008243406521337614,4.36876615890939,81.33733011652961,1.442256319732781,1.6597207518534183,
moscow,lognormal,0.9564619062217778,0.009140170487609086,6.26884237370022,78.7324997078077,1.7082292882026384,1.7138980189067021,
nairobi,lognormal,0.8735234493105186,0.2541499095428097,3.6658242146550055,44.4241312832988,1.0113395786185917,1.5827087507225226,
netherlands,lognormal,0.9588632463435721,0.18077785609702163,3.818948413278648,11.711880315130934,1.1725265447539561,1.4734490465629477,
rio,lognormal,0.9581438924540719,0.010741209576452615,5.490171897609033,89.83813542330967,1.460529121230266,1.6338642110102017,
saopaulo,lognormal,0.967464856953065,0.005788120077886261,5.047958351894352,76.67027747068263,1.5704093066293563,1.6767726734111392,
saudiarabia,lognormal,0.9099291117050592,0.0677813875027665,5.530235876034037,48.30760810800788,1.6248201559995215,1.7248991053961633,
stpertersburg,lognormal,0.9596863057273205,0.0010075179610215717,4.588806813324988,74.9496955612701,1.4848077729294094,1.5343721051460932,
surabaya,lognormal,0.9256740261135802,0.04466583107273428,3.9108982532426975,132.17497342047588,1.3026427249997432,1.5257876073920582,
sweden,lognormal,0.9713769248266079,0.10349999307569714,5.180011304120825,31.11686713258368,1.4535248050358,1.546655397762046,
