region,num_users,num_geotweets,pkt,pkt_inland,num_trips,num_trips_inland,pkt_yr,num_trips_yr,pkt_inland_yr,num_trips_inland_yr,gdp_capita,region_name,country,pop_country,pkt_yr_capita,pkt_inland_yr_capita,Year,pkt_inland_yr_capita_gt
sweden,3961.0,1248158.0,150709937.51965725,70144035.82310146,2081978.0,1815122.0,45.84093932889575,0.6332683083333333,21.335477562860028,0.5520996083333334,54.61,Sweden,Sweden,10.23,0.011573072287022406,0.005386386660656407,2018.0,0.0013710459433040078
netherlands,5375.0,1479674.0,80067971.51079273,47004983.4320992,2777261.0,2421017.0,24.354008001199453,0.8447502208333333,14.297349127263505,0.7363926708333334,53.02,The Netherlands,The Netherlands,17.28,0.004530978232781294,0.0026599719306536753,,
saopaulo,10943.0,3513796.0,513264328.74325126,347901973.0698647,5686534.0,5569222.0,156.11789999273893,1.7296540916666665,105.82018347541717,1.6939716916666667,27.13,"São Paulo, Brazil",Brazil,209.5,0.014266462578153973,0.009670125511780788,,
rio,6063.0,1593782.0,258403970.2060827,173155226.59414047,3089016.0,3022150.0,78.59787427101682,0.9395757,52.668048089051055,0.9192372916666667,11.02,"Rio de Janeiro, Brazil",Brazil,209.5,0.012963528660896721,0.008686796650016667,,
australia,3310.0,847668.0,197733606.12808388,136524018.30855823,1601416.0,1562855.0,60.143971863958846,0.48709736666666664,41.52605556885313,0.4753683958333333,57.4,Australia,Australia,24.99,0.018170384248930166,0.012545636123520583,2018.0,0.0013264796910764307
austria,729.0,168364.0,14484344.822625268,5614502.176719238,346933.0,292524.0,4.405654883548519,0.10552545416666667,1.7077444120854348,0.08897605,51.5,Austria,Austria,8.56,0.006043422336829244,0.0023425849274148628,1992.0,0.0009077219626168224
barcelona,1891.0,482357.0,73524308.47861275,28414428.78893647,967627.0,868348.0,22.36364382891138,0.29431987916666663,8.642722089968176,0.26412251666666664,33.1,"Barcelona, Spain",Spain,46.94,0.011826358449979577,0.0045704506028388025,2016.0,0.000861340008521517
madrid,3172.0,671234.0,146788768.01627022,94452076.31029621,1594214.0,1504652.0,44.648250271615524,0.4849067583333333,28.729173211048433,0.45766498333333333,48.77,"Madrid, Spain",Spain,46.94,0.014075740943132258,0.009057116396925736,2016.0,0.000861340008521517
capetown,1092.0,193993.0,60962815.01886928,20144854.49778761,540857.0,452715.0,18.542856234906072,0.16451067083333334,6.127393243077065,0.13770081250000002,6.2,"Cape Town, South Africa",South Africa,57.78,0.016980637577752814,0.005611165973513795,,
johannesburg,1268.0,214187.0,57465720.42235137,27111844.347082675,612266.0,571585.0,17.47915662846521,0.18623090833333333,8.246519322237647,0.17385710416666667,16.37,"Johannesburg, South Africa",South Africa,57.78,0.013784823839483602,0.00650356413425682,,
