d,y,region,type
0.1000167803057949,0.10795268334783979,sweden,pdf
0.10381315131103168,0.09041384984724178,sweden,pdf
0.10775362246391704,0.07968218747213483,sweden,pdf
0.11184366342284947,0.10453715073491344,sweden,pdf
0.11608895145991463,0.13991803178620094,sweden,pdf
0.12049537934134909,0.0943180927923598,sweden,pdf
0.12506906350712502,0.15484178992828998,sweden,pdf
0.12981635256101046,0.11836263853362845,sweden,pdf
0.13474383608288967,0.14781029167150134,sweden,pdf
0.13985835377557548,0.15206267999950251,sweden,pdf
0.14516700495881077,0.15444330283855628,sweden,pdf
0.15067715842363655,0.2088046302377217,sweden,pdf
0.15639646266080579,0.16057197712204427,sweden,pdf
0.16233285647744097,0.1677373855406139,sweden,pdf
0.16849458001667106,0.1851928460927379,sweden,pdf
0.17489018619554517,0.1914072468928754,sweden,pdf
0.18152855257709888,0.19080572957246628,sweden,pdf
0.18841889369305223,0.1634636390808137,sweden,pdf
0.19557077383424543,0.20794296591263117,sweden,pdf
0.20299412032656428,0.243907107007196,sweden,pdf
0.2106992373107856,0.21612326327281664,sweden,pdf
0.21869682004546825,0.20090279351066953,sweden,pdf
0.2269979697527439,0.21758460293832046,sweden,pdf
0.23561420902761485,0.19845436550725745,sweden,pdf
0.24455749783214764,0.21321899287462623,sweden,pdf
0.25384025009676364,0.19843989947964377,sweden,pdf
0.26347535095167063,0.21697893816728592,sweden,pdf
0.2734761746123534,0.20548932504492273,sweden,pdf
0.28385660294395065,0.21834200248929933,sweden,pdf
0.29463104473028545,0.18901213478005133,sweden,pdf
0.30581445567429744,0.21355196254749187,sweden,pdf
0.3174223591576383,0.2128978424448747,sweden,pdf
0.32947086778824547,0.20028154369027776,sweden,pdf
0.3419767057658055,0.1847560759548763,sweden,pdf
0.35495723209615043,0.22751674963808863,sweden,pdf
0.36843046468681057,0.20612002130961207,sweden,pdf
0.38241510535717094,0.19187821153460355,sweden,pdf
0.3969305657979467,0.21787154976815098,sweden,pdf
0.41199699451601096,0.21656545006103267,sweden,pdf
