d,y,type,region,func_name
0.1000392682958591,0.1473720084487939,pdf,australia,lognormal
0.1030765026440506,0.14975325704075595,pdf,australia,lognormal
0.1062059487071315,0.15211638351047335,pdf,australia,lognormal
0.1094304060716294,0.1544593301577989,pdf,australia,lognormal
0.1127527593206991,0.15678002989468176,pdf,australia,lognormal
0.1161759806146555,0.15907640919921567,pdf,australia,lognormal
0.1197031323498533,0.16134639112667348,pdf,australia,lognormal
0.1233373698982915,0.16358789837161994,pdf,australia,lognormal
0.1270819444303926,0.1657988563749642,pdf,australia,lognormal
0.1309402058234833,0.16797719646961604,pdf,australia,lognormal
0.134915605658578,0.17012085905821117,pdf,australia,lognormal
0.1390117003081453,0.17222779681620334,pdf,australia,lognormal
0.1432321541176208,0.17429597791346388,pdf,australia,lognormal
0.1475807426835121,0.17632338924738825,pdf,australia,lognormal
0.1520613562310278,0.17830803968039693,pdf,australia,lognormal
0.1566780030942534,0.1802479632746164,pdf,australia,lognormal
0.1614348133019869,0.18214122251644646,pdf,australia,lognormal
0.1663360422724409,0.183985911523668,pdf,australia,lognormal
0.1713860746201186,0.18578015922770472,pdf,australia,lognormal
0.1765894280782674,0.18752213252364333,pdf,australia,lognormal
0.1819507575404204,0.18921003938061767,pdf,australia,lognormal
0.1874748592246398,0.19084213190520263,pdf,australia,lognormal
0.19316667496419,0.1924167093505051,pdf,australia,lognormal
0.1990312966284757,0.19393212106372307,pdf,australia,lognormal
0.2050739706782031,0.19538676936503643,pdf,australia,lognormal
0.2113001028588365,0.1967791123508123,pdf,australia,lognormal
0.2177152630365507,0.19810766661425178,pdf,australia,lognormal
0.2243251901810052,0.19937100987676454,pdf,australia,lognormal
0.2311357974993971,0.20056778352354557,pdf,australia,lognormal
0.2381531777263861,0.20169669503702722,pdf,australia,lognormal
0.2453836085746241,0.2027565203221146,pdf,australia,lognormal
0.2528335583507651,0.203746105917345,pdf,australia,lognormal
0.2605096917419788,0.20466437108638683,pdf,australia,lognormal
0.2684188757781467,0.20551030978456955,pdf,australia,lognormal
0.2765681859750716,0.20628299249543458,pdf,australia,lognormal
0.2849649126641979,0.2069815679326178,pdf,australia,lognormal
0.2936165675145056,0.20760526460269882,pdf,australia,lognormal
0.3025308902524106,0.20815339222500504,pdf,australia,lognormal
0.3117158555856849,0.20862534300470847,pdf,australia,lognormal
0.3211796803375892,0.20902059275593204,pdf,australia,lognormal
0.330930830797602,0.20933870187195802,pdf,australia,lognormal
0.3409780302953181,0.20957931614002814,pdf,australia,lognormal
0.3513302670042955,0.20974216739861634,pdf,australia,lognormal
0.3619968019828297,0.20982707403547185,pdf,australia,lognormal
0.3729871774588492,0.20983394132513475,pdf,australia,lognormal
0.3843112253663439,0.20976276160504706,pdf,australia,lognormal
0.3959790761409637,0.2096136142898011,pdf,australia,lognormal
0.4080011677826543,0.2093866657234869,pdf,australia,lognormal
0.4203882551934388,0.209082168870525,pdf,australia,lognormal
0.4331514197986989,0.2087004628457871,pdf,australia,lognormal
0.4463020794605609,0.20824197228522734,pdf,australia,lognormal
0.4598519986922575,0.20770720655865857,pdf,australia,lognormal
0.4738132991826017,0.2070967588267174,pdf,australia,lognormal
0.4881984706399875,0.20641130494446147,pdf,australia,lognormal
0.5030203819656197,0.20565160221443576,pdf,australia,lognormal
0.5182922927659673,0.20481848799242824,pdf,australia,lognormal
0.5340278652147404,0.20391287814950856,pdf,australia,lognormal
0.5502411762750008,0.2029357653943023,pdf,australia,lognormal
0.5669467302923419,0.2018882174598043,pdf,australia,lognormal
0.5841594719704021,0.200771375159365,pdf,australia,lognormal
0.6018947997403212,0.19958645031680386,pdf,australia,lognormal
0.620168579536098,0.1983347235759069,pdf,australia,lognormal
0.6389971589881747,0.1970175420948465,pdf,australia,lognormal
0.6583973820479432,0.1956363171313352,pdf,australia,lognormal
0.6783866040562591,0.1941925215245658,pdf,australia,lognormal
0.6989827072694407,0.19268768708022488,pdf,australia,lognormal
0.720204116856645,0.19112340186507262,pdf,australia,lognormal
0.7420698173829302,0.18950130741776955,pdf,australia,lognormal
0.7645993697927508,0.1878230958827979,pdf,australia,lognormal
0.787812928909079,0.18609050707447142,pdf,australia,lognormal
0.8117312614638071,0.1843053254781481,pdf,australia,lognormal
0.8363757646755602,0.18246937719586473,pdf,australia,lognormal
0.8617684853915385,0.18058452684368695,pdf,australia,lognormal
0.8879321398105154,0.17865267440812896,pdf,australia,lognormal
0.9148901338046332,0.17667575206902797,pdf,australia,lognormal
0.9426665838581768,0.1746557209962727,pdf,australia,lognormal
0.9712863386420586,0.1725945681277732,pdf,australia,lognormal
1.0007750012433123,0.17049430293602957,pdf,australia,lognormal
1.031158952069484,0.16835695419060204,pdf,australia,lognormal
1.0624653724484128,0.16618456672371135,pdf,australia,lognormal
1.0947222689445062,0.16397919820610424,pdf,australia,lognormal
1.127958498413271,0.1617429159402036,pdf,australia,lognormal
1.1622037938165068,0.15947779367742848,pdf,australia,lognormal
1.197488790821269,0.15718590846641706,pdf,australia,lognormal
1.2338450552063744,0.15486933753871593,pdf,australia,lognormal
1.271305111100988,0.15253015523831,pdf,australia,lognormal
1.3099024700805435,0.15017043000116476,pdf,australia,lognormal
1.3496716611460304,0.14779222139073248,pdf,australia,lognormal
