func_name,r2,ks_p,aic,success,median,ks,dat_id,region
lognormal,0.9744404695998578,0.648420625506241,788.4151989580976,True,5.180011304120825,31.11686713258368,1,sweden
lognormal,0.9783006056898983,0.6436817399879268,803.7286088708568,True,5.180011304120825,31.11686713258368,2,sweden
lognormal,0.9775279744823914,0.5457001750199713,806.5772401158503,True,5.180011304120825,31.11686713258368,3,sweden
lognormal,0.9743192838261525,0.648420625506241,786.9389252024737,True,5.180011304120825,31.11686713258368,4,sweden
lognormal,0.9737489622118023,0.6436817399879268,777.7160410672982,True,5.180011304120825,31.11686713258368,5,sweden
lognormal,0.9755726442407895,0.4492164478104819,794.9055374541765,True,5.180011304120825,31.11686713258368,6,sweden
lognormal,0.9766594293555877,0.6531064029467029,808.1217283162086,True,5.180011304120825,31.11686713258368,7,sweden
lognormal,0.976604883871204,0.648420625506241,799.301904446626,True,5.180011304120825,31.11686713258368,8,sweden
lognormal,0.9765604886444488,0.4443368564383826,793.0904167910371,True,5.180011304120825,31.11686713258368,9,sweden
lognormal,0.9761891847678169,0.5457001750199713,799.1639858250251,True,5.180011304120825,31.11686713258368,10,sweden
lognormal,0.9653289222997368,0.5933150947887164,629.6992317772457,True,3.818948413278648,11.711880315130934,1,netherlands
lognormal,0.9684616240119405,0.8011935641620114,634.8438210327064,True,3.818948413278648,11.711880315130934,2,netherlands
lognormal,0.9651646954884955,0.7015902012906106,628.4129001920065,True,3.818948413278648,11.711880315130934,3,netherlands
lognormal,0.9665882038614046,0.6966800040199376,629.6891115069241,True,3.818948413278648,11.711880315130934,4,netherlands
lognormal,0.9658551581222093,0.7015902012906106,630.3125249769155,True,3.818948413278648,11.711880315130934,5,netherlands
lognormal,0.9678830121457004,0.7015902012906106,639.734658790762,True,3.818948413278648,11.711880315130934,6,netherlands
lognormal,0.9693772743937905,0.7015902012906106,645.1732109219182,True,3.818948413278648,11.711880315130934,7,netherlands
lognormal,0.9656187003357406,0.48901994749918576,628.9467746024774,True,3.818948413278648,11.711880315130934,8,netherlands
lognormal,0.9624067547476386,0.7015902012906106,617.9268213804888,True,3.818948413278648,11.711880315130934,9,netherlands
lognormal,0.9640789224962624,0.5825810804004717,615.0861112838897,True,3.818948413278648,11.711880315130934,10,netherlands
lognormal,0.9721177747128594,0.15756129428004184,1566.3848370599221,True,5.047958351894352,76.67027747068263,1,saopaulo
lognormal,0.9711761319635114,0.12775884162182358,1548.5490086869509,True,5.047958351894352,76.67027747068263,2,saopaulo
lognormal,0.9711698481795225,0.1290878210520827,1554.951121526425,True,5.047958351894352,76.67027747068263,3,saopaulo
lognormal,0.9707746195838854,0.12775884162182358,1546.9242075904826,True,5.047958351894352,76.67027747068263,4,saopaulo
lognormal,0.9719407678881862,0.1290878210520827,1561.432929249976,True,5.047958351894352,76.67027747068263,5,saopaulo
lognormal,0.971410848904581,0.13042044872251987,1564.4758604432238,True,5.047958351894352,76.67027747068263,6,saopaulo
lognormal,0.9706491705610784,0.12775884162182358,1544.1303095030285,True,5.047958351894352,76.67027747068263,7,saopaulo
lognormal,0.9709520301645838,0.12775884162182358,1547.6178290180055,True,5.047958351894352,76.67027747068263,8,saopaulo
lognormal,0.9735613491654468,0.15756129428004184,1579.7016073918426,True,5.047958351894352,76.67027747068263,9,saopaulo
lognormal,0.9725681068305195,0.13042044872251987,1577.0018545668588,True,5.047958351894352,76.67027747068263,10,saopaulo
lognormal,0.9731422346451941,0.14045352440942224,972.7162934016858,True,4.576589594520231,68.9975919031804,1,australia
lognormal,0.9760145227600375,0.13820788146451754,985.7565386464748,True,4.576589594520231,68.9975919031804,2,australia
lognormal,0.975881882644555,0.17722599206770745,981.6719102440371,True,4.576589594520231,68.9975919031804,3,australia
lognormal,0.9706552147827502,0.14045352440942224,958.8932855822246,True,4.576589594520231,68.9975919031804,4,australia
lognormal,0.9720118960670256,0.1798310862337806,966.3529601865174,True,4.576589594520231,68.9975919031804,5,australia
lognormal,0.9702542333900688,0.1798310862337806,954.1190867429654,True,4.576589594520231,68.9975919031804,6,australia
lognormal,0.9739507132580293,0.13820788146451754,971.2856950716937,True,4.576589594520231,68.9975919031804,7,australia
lognormal,0.9713794545510643,0.1798310862337806,962.6460386258648,True,4.576589594520231,68.9975919031804,8,australia
lognormal,0.9715768022696387,0.1798310862337806,963.877741992616,True,4.576589594520231,68.9975919031804,9,australia
lognormal,0.9711372578340394,0.13820788146451754,954.3924423894695,True,4.576589594520231,68.9975919031804,10,australia
lognormal,0.9640621175889136,0.918405045266742,407.76249302898987,True,3.455490450397393,41.07251429231542,1,austria
lognormal,0.96780712546196,0.9793613278485205,424.68842747803,True,3.455490450397393,41.07251429231542,2,austria
lognormal,0.9483081183212523,0.9780177907450375,376.8645549630162,True,3.455490450397393,41.07251429231542,3,austria
lognormal,0.9731568739800587,0.9979304754193015,436.71129921145723,True,3.455490450397393,41.07251429231542,4,austria
lognormal,0.9678419702428126,0.9979304754193015,420.33168808502074,True,3.455490450397393,41.07251429231542,5,austria
lognormal,0.9620634688870632,0.9219575000121607,410.02387917898926,True,3.455490450397393,41.07251429231542,6,austria
lognormal,0.9715274159514903,0.9806242533581482,440.1616211635803,True,3.455490450397393,41.07251429231542,7,austria
lognormal,0.9714887462647771,0.8219389974333371,432.7028794368526,True,3.455490450397393,41.07251429231542,8,austria
lognormal,0.9647429846013795,0.9793613278485205,412.9494313198464,True,3.455490450397393,41.07251429231542,9,austria
lognormal,0.9714316191287585,0.9219575000121607,433.51467279274283,True,3.455490450397393,41.07251429231542,10,austria
