distance,groundtruth_mean,model_mean,groundtruth_variance,model_variance,groundtruth_sum,model_sum
"(-0.001, 2.153]",0.00017733265011234226,0.00015527259628882257,1.834176873498069e-07,1.3788097040708664e-07,0.47401017375029086,0.41504364988002274
"(2.153, 3.119]",3.188421337069541e-05,2.485235566213527e-05,4.4084297738376265e-09,1.4647345893828196e-09,0.08525838655323952,0.06645519904054971
"(3.119, 3.875]",1.8839214586548204e-05,1.6457544888141072e-05,3.424144696578364e-09,7.367686402985279e-10,0.0503383813752568,0.04397455994111295
"(3.875, 4.522]",1.1941084248951109e-05,1.3315087197794526e-05,9.75458721542133e-10,4.878040623936397e-10,0.031930459281695266,0.035604543166902564
"(4.522, 5.107]",1.007937976204513e-05,1.0864763329372446e-05,7.36278922933817e-10,3.121489390921041e-10,0.026932102724184587,0.029030647616083177
"(5.107, 5.635]",8.193519515266782e-06,9.214051335423803e-06,7.952779372677225e-10,2.2741671505206332e-10,0.021909471183823373,0.02463837327092325
"(5.635, 6.128]",6.039405557233886e-06,7.655665169779966e-06,2.4332511173997494e-10,1.8224480224381076e-10,0.016137291648928943,0.02045593733365207
"(6.128, 6.599]",6.0733619980128425e-06,7.387375570450011e-06,4.3181758099915636e-10,1.325606803089279e-10,0.01624016998268634,0.019753842275383328
"(6.599, 7.053]",5.751182081607873e-06,6.0692706760663654e-06,4.3036640556687586e-10,9.883898404261482e-11,0.015367158522056236,0.01621709124644933
"(7.053, 7.474]",4.673254818357075e-06,5.421413268927962e-06,1.6048297829598365e-10,6.328083964488076e-11,0.012486936874650105,0.014486016254575514
"(7.474, 7.904]",3.5395889714621474e-06,5.182762149554919e-06,9.946326995614947e-11,9.682407017283562e-11,0.009464860909689782,0.013858705987909854
"(7.904, 8.308]",4.222213462221754e-06,5.093049069895389e-06,2.617552215763581e-10,9.043515411506976e-11,0.011281754371056527,0.01360862711476048
"(8.308, 8.691]",3.914940851123834e-06,4.637569901904087e-06,1.4827767428670203e-10,6.086934599185168e-11,0.010468551835905133,0.012400861917691528
"(8.691, 9.084]",3.309185565231136e-06,4.081549802132012e-06,8.984952736266047e-11,4.0302300425985946e-11,0.008842143830297595,0.010905901071296735
"(9.084, 9.455]",3.4304289584411704e-06,4.0857122083215514e-06,1.822278616163639e-10,6.347918565672018e-11,0.00917296703487169,0.010925194445051828
