zone,groundtruth,model
10201,12.9717868338558,21.841456361637253
10202,12.1728,21.002069887686684
10601,13.557275541795665,40.64043214048829
10602,10.4,39.04767611088106
10603,13.8,49.35493002751152
10701,10.059925093632959,17.958278934520994
10703,12.162079510703364,16.111048138341435
10704,9.668041237113401,33.77311532722449
11101,7.585585585585585,46.60916311203244
11102,12.216666666666667,38.31661795961223
11103,7.555926544240401,41.003147521574945
11401,9.730077120822623,21.45477573906694
11402,16.74251497005988,29.006739114904466
11501,8.259720062208398,53.523740590187494
11502,14.989795918367347,50.25539246090972
11503,15.109756097560975,14.53727285290457
11504,11.26530612244898,22.178394458690672
11601,6.956661316211878,31.227427185467793
11602,9.1175,26.768660013541872
11603,6.575289575289576,40.12404394120698
11701,3.0921658986175116,37.05827761452453
11702,4.704022988505747,47.22009594389949
11703,3.229799851742031,61.19792125760716
11801,4.003802281368821,61.125316743029494
11802,4.162374020156775,46.00225648245377
11901,6.779829545454546,29.299693239989775
11902,4.811965811965812,27.099472828108443
11903,6.234493192133131,106.17962823730214
11904,6.015978695073236,132.35774647515026
12001,5.7928730512249444,35.12492508960141
12002,4.136666666666667,33.32213320315738
12003,4.173601147776184,47.69976373331417
12101,4.155864197530864,36.18865165388552
12102,7.333333333333333,19.149338554698296
12103,6.403453689167975,42.16423407931577
12104,5.173758865248227,54.25821245170376
12201,3.4944444444444445,54.87288944547257
12202,6.709090909090909,48.963690964879305
12203,5.090346534653466,52.48755671108691
12301,13.031746031746032,55.71207235046009
12302,10.458715596330276,49.30826885248822
12303,20.939226519337016,120.91063859802733
12401,13.166666666666666,91.85624219196471
12403,11.683860232945092,31.32225623311084
12404,10.981132075471699,7.567960141871363
12405,10.86970684039088,32.303736765793936
12501,5.870069605568445,38.766447469015304
12502,6.643939393939394,23.379198374902103
12503,6.345299145299145,59.01146725852717
12504,6.576,25.946942326370447
12601,6.1066666666666665,11.596850023323896
12602,5.255742725880551,34.197591168818185
12701,11.225806451612904,44.32999158183628
12702,8.72817133443163,126.29245986467525
12703,9.215384615384615,17.80955963029795
12801,9.869140625,34.47746437653726
12802,7.982905982905983,54.84587202535873
