distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(56.242, 58.166]",3.9410732624296987e-08,1.03618602358816e-07,1.5757771598997157e-07,1.7532796788042956e-08,7.127514700819007e-13,2.9759990678008506e-18,2.95667977172371e-12,6.519351216592786e-14
"(58.166, 60.05]",3.5878488175905465e-08,9.785918402389228e-08,1.3443509967518083e-07,1.4989865152683473e-08,7.199427983663603e-13,2.542404445133617e-18,1.2020941446341882e-12,6.027177090739646e-14
"(60.05, 61.85]",2.686710159548848e-08,9.261122616021113e-08,1.1766831351635388e-07,1.3203322101441089e-08,3.8893076498477066e-13,2.0760725887952817e-18,1.2200315049648455e-12,4.704395900256824e-14
"(61.85, 63.607]",3.330766736960043e-08,8.781338534040507e-08,9.300433257952213e-08,1.1548401534163573e-08,1.2564505191627828e-12,1.7898657127204418e-18,7.292725664412212e-13,2.8413099282672316e-14
"(63.607, 65.353]",2.9183718136845003e-08,8.330564973268555e-08,8.858681252690938e-08,9.895607011928836e-09,1.1264553156388077e-12,1.5908563711901886e-18,9.148796063904131e-13,6.686320872240266e-14
"(65.353, 67.048]",3.84493089822105e-08,7.91130452475934e-08,1.0067017568667496e-07,9.418967837017237e-09,1.6282660169175666e-12,1.3524769628798656e-18,7.517447819063139e-13,1.242533861611833e-14
"(67.048, 68.668]",3.887395562081193e-08,7.527187019189904e-08,1.0440055489839912e-07,8.304700573931677e-09,9.03447704400337e-13,1.1186008267469497e-18,5.642494165849283e-13,1.139021845278691e-14
"(68.668, 70.216]",3.3053410366779054e-08,7.178807617466991e-08,9.736820343308907e-08,6.146403016743556e-09,9.728415249951853e-13,9.309882836529544e-19,6.324947616233242e-13,1.821762545492265e-15
"(70.216, 71.784]",2.3985456629410853e-08,6.851253301892802e-08,8.255652924490761e-08,6.404734616383655e-09,6.510427847444687e-13,8.70328247885146e-19,4.851718727142592e-13,1.602631514233641e-14
"(71.784, 73.38]",2.8844044431180687e-08,6.535916054919309e-08,9.43934289970105e-08,5.0686056802077035e-09,7.626790294702753e-13,8.174518910003719e-19,2.761915166719462e-12,1.5579287915187429e-15
"(73.38, 75.118]",2.3844199523230574e-08,6.217169610111824e-08,8.755729573412993e-08,5.294740368955681e-09,3.5802123889273636e-13,8.718913680730268e-19,2.0604039949209013e-12,4.02107402144318e-15
"(75.118, 76.989]",3.364744269214172e-08,5.889195697092641e-08,7.631840823814852e-08,5.15176106364618e-09,1.6276676529315868e-12,9.221272287815434e-19,3.524680824179678e-13,8.692424546042866e-15
"(76.989, 78.993]",2.257237169492005e-08,5.5570033168504904e-08,8.738673848754615e-08,4.46859409710308e-09,5.387652768185216e-13,9.37520848173092e-19,2.3389341403326743e-12,1.8403885123415228e-15
"(78.993, 81.161]",1.9804246286474684e-08,5.2223120283965766e-08,7.33666023865179e-08,3.3921478381344e-09,3.126901920920711e-13,9.511593191129708e-19,2.2948573306351935e-13,1.2467115688513893e-15
"(81.161, 83.559]",2.0058052444797545e-08,4.8739125097103765e-08,7.836761131861802e-08,2.476688181783233e-09,3.543929450254277e-13,1.024328270874928e-18,3.184062832434344e-13,5.6683559683017935e-16
"(83.559, 86.01]",3.10765633596607e-08,4.53154861119729e-08,7.506179393622007e-08,2.1355309563915608e-09,1.1774581766087583e-12,9.206334687140856e-19,5.501195382290448e-13,1.6030281423322965e-15
"(86.01, 88.485]",3.101935434420803e-08,4.20939473154467e-08,7.536700351816509e-08,1.599331392396587e-09,1.0597774964708451e-12,8.2046384482528575e-19,5.384449135474979e-13,5.359844087562102e-16
"(88.485, 90.999]",1.915446359804541e-08,3.905549815405259e-08,6.538226855983691e-08,9.54963781136797e-10,2.857195998369297e-13,7.226535137088207e-19,2.0658542070695743e-13,1.7754567426664775e-16
"(90.999, 93.534]",2.7064245411431053e-08,3.620577409459569e-08,6.597335543614781e-08,6.630596831401173e-10,7.17973362056847e-13,6.289029585322625e-19,2.258523249962321e-13,1.5960362959518223e-16
"(93.534, 96.205]",2.1951354300414882e-08,3.3498590063976666e-08,6.516051761386655e-08,5.019637333902393e-10,4.0389578722088457e-13,6.042681445734635e-19,1.875550172692314e-13,2.3235812108758735e-17
"(96.205, 99.019]",2.7911768754168977e-08,3.0854246217947234e-08,6.210955803757338e-08,4.526217218870565e-10,4.200670193539198e-13,5.68400004444392e-19,2.2208646896715982e-13,4.04118245136386e-17
"(99.019, 102.003]",2.686710159548848e-08,2.8282308181098086e-08,5.355109749827718e-08,3.9356286627344505e-10,6.799256092443886e-13,5.359006840970576e-19,1.0564462621525311e-13,5.390043187618273e-17
"(102.003, 105.095]",2.0001550888615014e-08,2.5817593579879738e-08,5.622646288907695e-08,3.118455896363894e-10,2.9886203499145854e-13,4.708284397579128e-19,1.2588295427666853e-12,2.207970539579198e-17
"(105.095, 108.257]",2.1245068769513496e-08,2.3489746500388736e-08,4.833307485332165e-08,3.5581991990049175e-10,4.1591668654505463e-13,4.148343664926487e-19,1.2955173992285834e-13,1.5432651183582918e-16
"(108.257, 111.141]",2.288313025392396e-08,2.144896221762463e-08,4.985287124763155e-08,2.775458354572023e-10,7.523996100913966e-13,2.8628323459349737e-19,6.499654864653898e-13,2.972321619209385e-17
"(111.141, 113.928]",2.5963056115934717e-08,1.9703727283228698e-08,4.417973815354357e-08,1.7033150772825226e-10,6.419687428006077e-13,2.26566876480268e-19,9.303488848261345e-14,8.80383124301822e-18
"(113.928, 116.649]",2.3674152040479357e-08,1.8146033421782663e-08,4.4337272478872435e-08,2.0372834071570614e-10,3.780748019387269e-13,1.8174279799692785e-19,1.595843110181272e-13,1.1378411903948638e-16
"(116.649, 119.431]",1.9154463598045418e-08,1.6712116310709147e-08,3.539301964558165e-08,1.1107274556418753e-10,3.700029258128479e-13,1.6264796947364488e-19,8.134937908553335e-14,3.177077221249387e-18
"(119.431, 122.169]",1.598994039965551e-08,1.5376369971265308e-08,2.9765703690482443e-08,1.4731001377792747e-10,2.870864211187402e-13,1.332235950292322e-19,4.552799147068539e-14,2.8423906889705475e-16
"(122.169, 124.783]",1.9436977810405965e-08,1.4192566490546458e-08,3.0549718226255274e-08,9.56321739661522e-11,4.4586104028431334e-13,1.0290191143217445e-19,5.6578570997217614e-14,3.928479799273275e-18
"(124.783, 127.235]",3.039852924999538e-08,1.3156540787705432e-08,3.8605917258196254e-08,1.264737739366805e-10,5.45024318275617e-13,7.749736179438219e-20,8.659482059800892e-14,2.1132528684510134e-17
"(127.235, 129.725]",2.5651706506867843e-08,1.2215184061626396e-08,3.235340628804982e-08,9.468524595720278e-11,5.858059509829923e-13,6.939248321107917e-20,6.863594347211006e-14,1.3787215815335215e-18
"(129.725, 132.333]",2.9042461030664728e-08,1.1318825427960416e-08,3.073723911103224e-08,6.541145335405645e-11,1.2190910560800164e-12,6.476976138441188e-20,3.559813785081236e-13,1.1679262783853615e-18
"(132.333, 135.009]",3.048258956047401e-08,1.0454793761188e-08,2.7583334004737465e-08,5.412262835062376e-11,7.416867612946922e-13,5.903983457420949e-20,5.839528782292996e-14,4.4358563809104e-19
"(135.009, 137.69]",3.305416284618457e-08,9.651805779723736e-09,2.7281170267705775e-08,5.605470700900478e-11,1.2597915760207287e-12,4.9924124834325905e-20,7.451310016104703e-14,4.5031064019325434e-18
"(137.69, 140.64]",2.0340560225710182e-08,8.871429871171044e-09,2.0924670740305957e-08,5.2209913898931856e-11,4.177678815118052e-13,5.1452292402318017e-20,1.8637925674745875e-14,3.3200087308609603e-18
"(140.64, 143.744]",1.6894349899160997e-08,8.100940312642905e-09,2.2555210144979876e-08,4.260233590671854e-11,2.891667986814294e-13,4.714672933152903e-20,2.380134900384448e-14,3.797617799028353e-18
"(143.744, 147.09]",2.6244972846784388e-08,7.355850780785588e-09,2.2017430817470527e-08,4.2146232589291954e-11,7.092523319220653e-13,4.548453552554407e-20,1.7435074188109528e-14,7.472366018383858e-19
"(147.09, 150.402]",1.6753092792980728e-08,6.649223174533375e-09,1.7823475442646606e-08,5.7836036678596806e-11,2.2473197050131715e-13,3.6126273702904774e-20,2.0423277131360313e-14,1.5821389415985734e-17
"(150.402, 153.728]",1.6441952849115732e-08,6.022946819044236e-09,1.3749164039072505e-08,4.6885967676405055e-11,3.65603521822797e-13,2.999843113260926e-20,9.007115790948897e-15,3.5438805726896826e-17
