distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(60.03, 61.847]",1.4628587343592594e-08,1.0091654138467163e-07,9.835572368212258e-08,9.423369089552412e-09,1.239025339810383e-13,2.533447174816807e-18,1.0888108345014008e-12,1.7590697324888437e-14
"(61.847, 63.57]",1.3613829567697779e-08,9.571324360269671e-08,1.0968399501495688e-07,9.198815872502157e-09,5.684193168292022e-14,2.0246810822939786e-18,3.8354078822962015e-13,2.4066404882742124e-14
"(63.57, 65.258]",1.394508190026894e-08,9.094854967463993e-08,1.0648473835442817e-07,7.835571055592372e-09,6.295247922470929e-14,1.7792663163051844e-18,3.68843635334508e-13,5.203096697811021e-15
"(65.258, 66.947]",1.0780545480545916e-08,8.646420826150722e-08,8.752175054801232e-08,6.7578913014164865e-09,4.915958829663468e-14,1.5923591786827583e-18,2.0772229101499476e-13,6.716634704556194e-15
"(66.947, 68.708]",8.871595209060619e-09,8.211567121252114e-08,6.886188830533878e-08,5.810265628647267e-09,5.063186915615385e-14,1.5762226124305102e-18,2.3612389757603985e-13,7.798050675464267e-15
"(68.708, 70.5]",5.495767360539251e-09,7.784102130813529e-08,5.412728932355563e-08,4.282315639744179e-09,1.9879496604235835e-14,1.4626872625839648e-18,1.023588656671714e-13,2.9110615267439906e-15
"(70.5, 72.284]",5.706756601071836e-09,7.37517826523094e-08,4.4549480761983214e-08,3.6694737034329047e-09,3.410367133632713e-14,1.2982885420368508e-18,6.989949881506919e-14,3.943187423682089e-15
"(72.284, 73.955]",4.54119381766683e-09,7.003212424192442e-08,4.140881912020195e-08,2.882272044186371e-09,1.2556594503347612e-14,1.027535383749691e-18,3.8734087610157813e-14,8.044125270248611e-16
"(73.955, 75.584]",3.5868170890539534e-09,6.667130769798377e-08,4.2279168333080207e-08,2.6297322419387817e-09,1.0319309490495397e-14,8.821099654695955e-19,6.360085929395824e-14,4.088341875105819e-16
"(75.584, 77.263]",3.2854038882931174e-09,6.343750097994534e-08,3.450817615625999e-08,2.358746406581304e-09,1.2091546110606539e-14,8.522691129703912e-19,3.4083571478135416e-14,7.98914608131983e-16
"(77.263, 78.964]",2.7529072336156396e-09,6.02978574627347e-08,3.3190782430631914e-08,2.2469679862147922e-09,5.861916621303893e-15,7.90474699017966e-19,7.041844451056005e-14,2.322096374601957e-15
"(78.964, 80.601]",2.3308782426962483e-09,5.734377514347419e-08,2.787622980750788e-08,1.8404286072419255e-09,7.634061820214231e-15,6.620129946365109e-19,3.2504980294807e-14,5.594974731126829e-16
"(80.601, 82.152]",1.949138698253409e-09,5.46647733093955e-08,2.712355610066939e-08,1.90258748527008e-09,3.965097572575355e-15,5.393713617690003e-19,1.3596039777478345e-14,9.594733524427494e-16
"(82.152, 83.605]",2.2806932190903294e-09,5.225720123223282e-08,3.259089715658305e-08,1.5687112464305075e-09,4.960577655861678e-15,4.3270125139572454e-19,3.2095790844753124e-14,2.2101428905407243e-16
"(83.605, 84.996]",2.4213527127787193e-09,5.0075204344065176e-08,4.0171780649483106e-08,1.4269050650498778e-09,4.2145835372758425e-15,3.6286369450887504e-19,7.229931809407741e-14,1.2853470246816496e-16
"(84.996, 86.337]",2.8131898737678068e-09,4.806446913484431e-08,3.699252407114444e-08,1.4364947326186744e-09,7.706279570587809e-15,3.113149736627386e-19,3.238315017043745e-14,4.3856843826613257e-16
"(86.337, 87.635]",2.993972915187423e-09,4.6204580347251924e-08,3.887955247115729e-08,1.3575976639170107e-09,9.978278106231007e-15,2.69481925207672e-19,3.744039327403021e-14,5.393543173023788e-17
"(87.635, 88.948]",3.4963931288257032e-09,4.443471191178375e-08,4.412803130590005e-08,1.3998391615209938e-09,8.223701703049105e-15,2.556022438552613e-19,7.993935158267884e-14,8.910537470054223e-17
"(88.948, 90.32]",3.194979928064866e-09,4.268622261276281e-08,4.544503768735932e-08,1.3253631584007283e-09,6.54871996402848e-15,2.5662421162401984e-19,1.0711006307737844e-13,4.34481466491703e-17
"(90.32, 91.756]",3.93846582327493e-09,4.092811980315801e-08,4.833553942935402e-08,1.497045262500791e-09,1.1723478722199259e-14,2.5909074729943655e-19,2.307434322405284e-13,1.8029289618412843e-15
"(91.756, 93.329]",2.4012584993946634e-09,3.913025564674466e-08,4.153051516047889e-08,1.1452423004167685e-09,3.804747446693822e-15,2.827163559643251e-19,6.820567031502773e-14,6.408027775390234e-17
"(93.329, 95.065]",2.5519098001933064e-09,3.723703837275445e-08,3.3108766897909366e-08,1.00434049223694e-09,8.8254890749517e-15,3.138847369702477e-19,5.3103890667757436e-14,1.6818614288075193e-16
"(95.065, 96.929]",1.286029656579569e-09,3.526382225512652e-08,2.506382733006707e-08,7.8500838179496e-10,2.2157109637608684e-15,3.255246896009192e-19,1.8891231510428752e-14,3.4916177592847214e-16
"(96.929, 98.827]",1.6879139242606844e-09,3.333201507970799e-08,1.9973101150237065e-08,6.379563741935782e-10,5.9225460716703505e-15,2.9875354650146225e-19,2.6693157935737242e-14,1.121277133553843e-16
"(98.827, 100.812]",1.0850875227390113e-09,3.1454108531473125e-08,1.7901533632868734e-08,4.920759693282248e-10,1.8621543823596057e-15,2.9173221786383136e-19,8.842820686536909e-15,2.85150169510743e-17
"(100.812, 102.885]",8.539855630568152e-10,2.9590983093083582e-08,1.69324082504e-08,4.963821027650004e-10,1.6855494469949169e-15,2.8045183934754836e-19,8.587248099633328e-15,2.977503004831219e-17
"(102.885, 105.005]",9.745693491267048e-10,2.7789172900866927e-08,1.683280037474494e-08,4.72315888800412e-10,1.3499657665782652e-15,2.590953804473459e-19,8.009462857406857e-15,4.6258788216702715e-17
"(105.005, 107.241]",8.238627487462863e-10,2.603448955968634e-08,1.4322109126009582e-08,4.4173743448179856e-10,1.1732202831477853e-15,2.5552447063230985e-19,3.95120747111233e-15,2.9121443362236264e-17
"(107.241, 109.566]",1.1755114829672623e-09,2.4311903343924237e-08,1.440728098742609e-08,4.429579906428698e-10,3.809131709331375e-15,2.3712972894135115e-19,6.7138390806744765e-15,1.243307122861303e-17
"(109.566, 111.942]",9.042396022825095e-10,2.2644869822877804e-08,1.372041537548466e-08,4.4472351642974166e-10,1.1730813822132373e-15,2.1763522425836494e-19,4.560468479961884e-15,1.0292459986988151e-16
"(111.942, 114.296]",8.740793410110934e-10,2.1104362012318745e-08,1.7561147532916786e-08,4.2976208791789177e-10,1.2942235224815826e-15,1.8322925841672732e-19,1.50402814531902e-14,1.0078400693586043e-17
"(114.296, 116.81]",9.846164558187325e-10,1.9623403926260196e-08,1.1508148360079286e-08,3.4372674336876973e-10,1.210196196462502e-15,1.834502323688345e-19,6.372051804458928e-15,1.1277630635984683e-17
"(116.81, 119.416]",5.626379747535613e-10,1.8170464287624667e-08,1.2432993218383555e-08,3.3127631547257117e-10,5.959496142950729e-16,1.6798210043224079e-19,5.560692159066265e-15,6.41712206962572e-18
"(119.416, 122.267]",6.932503617499239e-10,1.6754924167363327e-08,1.2939861862500602e-08,3.1997183237490013e-10,8.287020542004385e-16,1.7067158256916336e-19,9.110788445670309e-15,7.62281220195704e-17
"(122.267, 125.3]",5.525908680615335e-10,1.5328178510404482e-08,8.732159054036278e-09,2.4181199236213076e-10,6.052774782898924e-16,1.6153975304689822e-19,3.241227904566531e-15,2.430836807026525e-17
"(125.3, 128.45]",5.224382268112281e-10,1.3967709671218656e-08,9.582403676132439e-09,2.338040739980646e-10,6.705119709727036e-16,1.4491721442391284e-19,4.536451322066442e-15,1.2827008030796954e-17
"(128.45, 131.832]",5.023553346013942e-10,1.268261390262434e-08,7.429538812413575e-09,1.8647438836674017e-10,5.587471793981433e-16,1.3631512894727119e-19,2.2144866131937326e-15,1.7041416854897334e-18
"(131.832, 135.631]",7.133445751339795e-10,1.137181625763717e-08,6.7894207653601705e-09,2.1229811314166553e-10,7.914071532744057e-16,1.4111639639810576e-19,1.5808314177440042e-15,2.8308739984431657e-18
