distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(-0.001, 2.115]",4.871628662429562e-06,5.543050742063845e-07,1.6259978167899487e-06,6.721579867430781e-06,2.856581997040334e-09,8.622917329393284e-17,3.0598063341009227e-10,4.1217213516199477e-08
"(2.115, 3.2]",1.150573850959613e-06,5.319231582218557e-07,6.960955022017047e-07,6.65611523680699e-07,1.7889189259584663e-10,2.4699034472418187e-17,3.263594096057924e-11,2.2535342083558842e-11
"(3.2, 4.113]",6.748511020051576e-07,5.16472575462854e-07,4.332840560914826e-07,3.8296045095919904e-07,7.46738200830551e-11,1.6566355904912643e-17,9.253743266933445e-12,6.001372395613865e-12
"(4.113, 4.957]",4.113379176526115e-07,5.030886112576356e-07,2.939610880797865e-07,2.680072926039445e-07,3.9737330753532276e-11,1.3579652249704369e-17,5.285739213504433e-12,4.551676350682788e-12
"(4.957, 5.788]",3.2694515444566236e-07,4.90690274020511e-07,2.7974924560109515e-07,2.453505975187278e-07,2.8535834672015054e-11,1.2399335923559667e-17,6.7783255135417295e-12,2.839577429274795e-11
"(5.788, 6.614]",3.270066214277983e-07,4.786239165028496e-07,2.4610753891124216e-07,1.952193988554646e-07,4.7475882638049024e-11,1.1787587239929182e-17,4.003538589608235e-12,2.6089143267629276e-12
"(6.614, 7.456]",2.0866253454170036e-07,4.668130760801691e-07,2.2592348650631783e-07,1.6504723110844888e-07,1.5436560820385213e-11,1.1545522230753285e-17,5.135265697409447e-12,1.2808148332665537e-12
"(7.456, 8.337]",2.4659205741073616e-07,4.5496189252742627e-07,1.891493187803213e-07,1.8773770101995095e-07,2.0583664172295692e-11,1.2001772315100713e-17,1.939946119608788e-12,1.1954151795063383e-11
"(8.337, 9.272]",2.6435989974881834e-07,4.427311030781861e-07,1.9269814541393486e-07,1.7789661138965264e-07,2.831189070990342e-11,1.2910168597766509e-17,2.2407226055727946e-12,1.5393811549662804e-11
"(9.272, 10.288]",1.8084498021304396e-07,4.299751017432065e-07,1.7325318059119566e-07,1.6471530448242573e-07,1.2941507147578476e-11,1.4337469360284748e-17,1.7175963932888632e-12,1.5708119316534814e-11
"(10.288, 11.406]",2.3729454575389487e-07,4.1645249174834507e-07,1.8750664869338308e-07,1.5111894796614842e-07,2.4361263958161204e-11,1.6278843371754044e-17,1.9543580500059323e-12,4.088421879655589e-12
"(11.406, 12.65]",1.6363837044520093e-07,4.020180909189963e-07,1.9068966144413803e-07,1.8124987968158377e-07,1.0266773000835548e-11,1.864836216387907e-17,1.8541912704123793e-12,2.8953674101445203e-11
"(12.65, 14.062]",1.8205637317942535e-07,3.8635797008287357e-07,1.822075587200903e-07,2.101082871793838e-07,1.302557654932842e-11,2.2333678882746186e-17,1.6239019974344316e-12,7.15662961034669e-11
"(14.062, 15.693]",2.0831612955982005e-07,3.6920288283227956e-07,2.139689940646037e-07,1.8800051270648828e-07,2.314340692085839e-11,2.7113879504026104e-17,3.7759646919545585e-12,1.4758376882139984e-11
"(15.693, 17.608]",2.0069419179868395e-07,3.5008887965230043e-07,2.5904294974047697e-07,1.6022212989047593e-07,1.4213909027154911e-11,3.369725782789283e-17,8.044230948375186e-12,4.74884266722672e-12
"(17.608, 19.895]",2.4945532371433326e-07,3.288487775517458e-07,3.309004869877159e-07,2.0013446977582312e-07,1.8873810040163364e-11,4.2319903495607336e-17,7.799883480341522e-12,2.201677349609846e-11
"(19.895, 22.678]",2.3605202451261093e-07,3.048894186541545e-07,3.5924480803517246e-07,1.5574336363617906e-07,1.5078624431268983e-11,5.411048986714297e-17,7.0208636532050984e-12,2.533203134272134e-12
"(22.678, 25.793]",1.7895414397481948e-07,2.788554145818658e-07,3.998519625272464e-07,1.6932430166807277e-07,8.775716662111335e-12,5.721712167894475e-17,6.471386192663924e-12,6.690346984133275e-12
"(25.793, 29.162]",1.8081385193814138e-07,2.5309815373301133e-07,3.42866476310813e-07,1.3232865675491082e-07,9.321556526535161e-12,5.4980933182172824e-17,6.642262314472159e-12,2.4466296592983557e-12
"(29.162, 32.281]",1.5145598268178303e-07,2.2921556067847794e-07,2.8532414729682425e-07,1.1093819967588296e-07,1.1852829546867517e-11,3.8088938157905965e-17,5.719148664597108e-12,1.0884424479361143e-11
"(32.281, 35.044]",1.0880411953669022e-07,2.0993144406440378e-07,2.845363818078101e-07,7.150670324226052e-08,4.467960589365322e-12,2.5064020819737258e-17,4.695991919416572e-12,1.1441076429985978e-12
"(35.044, 37.614]",6.33685833054795e-08,1.937446322643857e-07,2.2697070769287295e-07,5.737400241059522e-08,1.522719702612744e-12,1.8718775665243866e-17,3.599708271147017e-12,4.924587772842734e-13
"(37.614, 40.002]",4.9566921387742435e-08,1.798906665018139e-07,1.7138467003268405e-07,5.079981990103102e-08,1.1663061675026156e-12,1.3745071857586638e-17,1.489902208965621e-12,9.691771415561444e-13
