zone,groundtruth,model
10201,12.9717868338558,165.24832430750456
10202,12.1728,139.46710982880887
10601,13.557275541795665,211.6373344783419
10602,10.4,185.3540761463075
10603,13.8,160.63014844433636
10701,10.059925093632959,46.61206251517347
10703,12.162079510703364,27.48204299937302
10704,9.668041237113401,171.84565325367524
11101,7.585585585585585,214.60602707137585
11102,12.216666666666667,100.13497558797354
11103,7.555926544240401,202.01103613719886
11401,9.730077120822623,182.2196532362596
11402,16.74251497005988,147.84586711790502
11501,8.259720062208398,209.58056454478256
11502,14.989795918367347,286.62554988580655
11503,15.109756097560975,311.52374955288536
11504,11.26530612244898,49.9710875325482
11601,6.956661316211878,158.98951011552768
11602,9.1175,106.43438630546724
11603,6.575289575289576,145.46483027204164
11701,3.0921658986175116,190.67610755208992
11702,4.704022988505747,256.17682437386657
11703,3.229799851742031,263.374410697057
11801,4.003802281368821,339.69019362902804
11802,4.162374020156775,249.715452364195
11901,6.779829545454546,132.85004570287168
11902,4.811965811965812,179.1811248776652
11903,6.234493192133131,221.0521421751756
11904,6.015978695073236,311.840046359162
12001,5.7928730512249444,232.9731943989059
12002,4.136666666666667,240.14608131323186
12003,4.173601147776184,170.17679039218774
12101,4.155864197530864,187.4912631896352
12102,7.333333333333333,113.902719205959
12103,6.403453689167975,167.1608857195199
12104,5.173758865248227,258.5636544136055
12201,3.4944444444444445,278.14144338386023
12202,6.709090909090909,262.07468434770504
12203,5.090346534653466,220.05032138224456
12301,13.031746031746032,285.59754551366746
12302,10.458715596330276,184.80492691498287
12303,20.939226519337016,549.2700338108783
12401,13.166666666666666,318.1738810820133
12403,11.683860232945092,186.55503893183698
12404,10.981132075471699,24.774537131007126
12405,10.86970684039088,130.46526845571844
12501,5.870069605568445,236.9990809731611
12502,6.643939393939394,66.07358903221447
12503,6.345299145299145,194.31304224564863
12504,6.576,131.83897497996077
12601,6.1066666666666665,70.62380205134241
12602,5.255742725880551,176.87398704658307
12701,11.225806451612904,141.4887169633297
12702,8.72817133443163,349.5477007032574
12703,9.215384615384615,81.45807244681241
12801,9.869140625,260.1497395252787
12802,7.982905982905983,296.6432948355714
