distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance,model_sum,gravity_seed_sum,gravity_sum,sampers_sum
"(-0.001, 22.405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(22.405, 35.395]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(35.395, 46.554]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(46.554, 56.061]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(56.061, 64.93]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(64.93, 73.165]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(73.165, 80.94]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(80.94, 88.329]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(88.329, 95.338]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(95.338, 102.07]",4.997606527816644e-06,1.2653898970208897e-05,8.013495311430638e-06,6.192792357374791e-06,1.258221639763813e-09,3.3275325948545893e-10,2.1584032922408185e-09,8.269654227575385e-10,0.023248865567403028,0.05886593800941179,0.037278780188775326,0.028808870046507527
"(102.07, 108.851]",1.1658065680730836e-05,3.411839242478412e-05,2.3779748702389075e-05,1.5561603578024748e-05,2.1455665120048385e-09,4.095703969451812e-12,6.882798649700757e-09,1.3481193735109036e-09,0.05421000541539839,0.15865052477524616,0.11057583146610919,0.07236145663781508
"(108.851, 115.402]",1.1773477868342343e-05,2.789140198358795e-05,2.3744643851454897e-05,1.5208645404943376e-05,3.2606627180886428e-09,2.5414157445034776e-12,1.0508916141004797e-08,2.129499096005345e-09,0.05477021904352858,0.12975080202765116,0.11046008319696818,0.07075061842379658
"(115.402, 121.788]",9.618004583310489e-06,2.2976669096488394e-05,1.8530721870123414e-05,1.241070230020472e-05,1.1346734724257284e-09,1.5967546336908554e-12,5.650700764123761e-09,1.4257004942528305e-09,0.04472372131239377,0.10684151129867103,0.08616785669607388,0.057709765695951945
"(121.788, 128.103]",8.718715966600604e-06,1.8990567532281708e-05,1.4032445460915973e-05,1.1090356787066798e-05,1.0550457476262992e-09,1.0754341440501173e-12,2.5930639445726684e-09,1.0244614205130732e-09,0.04055946667662601,0.08834412016017451,0.0652789362841811,0.05159233977343475
"(128.103, 134.5]",8.429697757763013e-06,1.5705384875010723e-05,1.5491157416096107e-05,1.0818847826977302e-05,1.134978365054397e-09,7.544268086815804e-13,5.999728349723303e-09,9.051205725168816e-10,0.039214953969113536,0.07306145043854989,0.0720648642996791,0.05032928009109841
"(134.5, 140.658]",7.81086384740664e-06,1.3043226283379699e-05,1.4149300620783347e-05,9.393690664845573e-06,1.8293938857238243e-09,4.885338066885899e-13,7.2567693838959335e-09,6.090312018887256e-10,0.03632051689044088,0.0606510022177156,0.06579424788664257,0.043680661591531916
"(140.658, 146.534]",7.1371441015726845e-06,1.0865362809061336e-05,1.0433923810222677e-05,7.802111302264943e-06,7.712298878784346e-10,2.941748991390008e-13,1.4371259164384816e-09,2.903010323006126e-10,0.03320199436051613,0.05054566778775334,0.048538613565155896,0.036295421778136515
"(146.534, 152.416]",5.049790371078986e-06,9.122281885970073e-06,8.402706077526142e-06,7.957485654661733e-06,3.772617038252726e-10,2.110685242935735e-13,1.2026841513429007e-09,6.985824407454085e-10,0.023491624806259444,0.04243685533353278,0.03908938867265161,0.03701822326548638
"(152.416, 158.282]",5.345120709973387e-06,7.640573508748124e-06,8.801835683698115e-06,7.254236166114951e-06,1.283081482042382e-09,1.5055907767449846e-13,6.977220862173958e-09,7.501146011292587e-10,0.024854811301376248,0.035528666815678775,0.040928535929196236,0.03373219817243452
"(158.282, 164.09]",5.6037419380176984e-06,6.414478621276361e-06,9.452349727812367e-06,6.929871299732195e-06,1.0176463936897094e-09,9.933100755998029e-14,6.2714783184765925e-09,5.727849705756351e-10,0.026068607495658334,0.02984015454617763,0.04397233093378313,0.03223776128635417
"(164.09, 169.751]",4.521867708061633e-06,5.396253762963677e-06,5.914954624702303e-06,6.004973123992084e-06,4.138423320330859e-10,7.07937805574494e-14,5.340172256094693e-10,4.60799345438567e-10,0.02102668484248659,0.025092579997781098,0.02750453900486571,0.02792312502656319
"(169.751, 175.259]",4.824998430871972e-06,4.5687167726052205e-06,6.743586081801085e-06,5.533153274959129e-06,6.405461157211536e-10,4.774912702393528e-14,1.6481722135917243e-09,2.6506391853003207e-10,0.022445892700416414,0.021253670426159485,0.031371162452538646,0.025740229035109866
"(175.259, 180.935]",4.130551901303877e-06,3.857325245779709e-06,6.366354283172717e-06,5.4413959313226855e-06,7.858458742516015e-10,3.670180231642318e-14,4.0868067780349584e-09,2.9670372965809915e-10,0.019215327444865635,0.017944277043367207,0.02961628012531948,0.02531337387251313
"(180.935, 186.282]",3.2528533246269296e-06,3.273758520115371e-06,3.962233833765793e-06,4.6677951081933235e-06,2.5824391621438204e-10,2.233633866193848e-14,3.2988283517006277e-10,2.066170912869848e-10,0.015125767959515223,0.015222977118536476,0.01842438732701094,0.021705247253098955
"(186.282, 191.76]",3.3799073866840273e-06,2.7819177918039374e-06,4.3083308958165676e-06,4.698636308826721e-06,2.899746687716665e-10,1.6967147533772008e-14,5.009981089656346e-10,1.9899892805783046e-10,0.015723329162854096,0.012941481567471918,0.02004235532733867,0.021858056108661907
"(191.76, 197.086]",4.397375790699368e-06,2.3655187477519797e-06,5.1300240214588325e-06,4.379361341883729e-06,1.0597933023105602e-09,1.1947055983018179e-14,2.159481461604483e-09,1.4081329463551028e-10,0.02044779742675206,0.010999662177046706,0.023854611699783573,0.020364030239759343
"(197.086, 202.626]",3.6889963044686713e-06,2.010209843919405e-06,4.3230816909448945e-06,3.884303189212279e-06,5.282352202030293e-10,9.374824588857492e-15,1.2866802278517807e-09,8.731286961850326e-11,0.01716121080838826,0.009351496193913074,0.02011097602627565,0.018069778436215524
"(202.626, 207.999]",2.998563916689986e-06,1.70683416996274e-06,2.7046718140356573e-06,3.4738272742851703e-06,2.66691035773689e-10,6.352825028809018e-15,1.3074556205690493e-10,6.944606518036769e-11,0.013949319340441815,0.007940192558666667,0.012582133278893877,0.016160244479974613
"(207.999, 213.47]",2.433616191017185e-06,1.4496574307926626e-06,2.3276276347905253e-06,2.8383754234949854e-06,3.049077425946939e-10,4.8018878525264485e-15,2.402501314533602e-10,5.932119069624618e-11,0.011316315288229909,0.006740907053185881,0.010823468501775943,0.013198445719251682
"(213.47, 218.954]",2.741658842167685e-06,1.2319903323215277e-06,2.2158927236176045e-06,2.9208095624166693e-06,1.9633966182681786e-10,3.4129779647874024e-15,1.7062754500560504e-10,7.797658138878499e-11,0.01275419693376407,0.005731219025959747,0.010308332950269096,0.013587606084362346
"(218.954, 224.269]",2.171650708071329e-06,1.0466918993096753e-06,1.7664630395154352e-06,2.533316197512846e-06,1.1906721874040127e-10,2.2924898901348084e-15,7.988651289285876e-11,2.927224929471574e-11,0.010102519093947823,0.00486921071558861,0.008217586059825805,0.01178498695082976
"(224.269, 229.603]",2.1886482245946626e-06,8.919038514209003e-07,1.3940404771933756e-06,2.2218014181311977e-06,1.373481951021896e-10,1.6843450641346746e-15,3.9424958853292925e-11,2.945764911753587e-11,0.010177214244365181,0.004147352909107186,0.0064822882189491966,0.01033137659431007
"(229.603, 234.752]",2.561022461644192e-06,7.614021633605253e-07,1.8474883301327223e-06,2.303604166436605e-06,2.8809287134452253e-10,1.15069272526406e-15,1.6929301700514214e-10,4.220654495055609e-11,0.01191387649156878,0.003542042863953164,0.008594515711777424,0.010716366582263088
"(234.752, 239.974]",2.0521087023263718e-06,6.527548734998582e-07,1.244842683048668e-06,2.243812174745296e-06,1.3012655992847933e-10,9.043930120314598e-16,2.72837045675279e-11,4.728529333987176e-11,0.009542305465817628,0.0030353101617743407,0.005788518476176306,0.010433726612565628
"(239.974, 245.254]",2.72158813322063e-06,5.573498063421739e-07,1.7747202079734595e-06,2.5567561115213928e-06,4.862290566160673e-10,6.383235392077657e-16,3.8672418417029273e-10,1.1969508164250572e-10,0.012660827995742372,0.0025927912991037926,0.008255998407492533,0.01189402943079752
"(245.254, 250.51]",1.9107314917596164e-06,4.752387327972276e-07,9.766365495175005e-07,2.0927185705827474e-06,1.2710532708753415e-10,4.716669654436069e-16,3.9223430186180756e-11,3.081020300259616e-11,0.008888722899665736,0.0022108105849727028,0.004543313228355412,0.00973532679035094
"(250.51, 255.844]",2.7589015234798777e-06,4.055175213834472e-07,1.3742660053320142e-06,2.1006197887709813e-06,9.884127772240444e-10,3.5020750813801974e-16,2.1554746961828566e-10,4.638115250014407e-11,0.01282889208418143,0.0018856564744330296,0.006390336924793866,0.009767882017785064
"(255.844, 261.162]",2.1114385812301646e-06,3.459398000209227e-07,9.289663252196555e-07,1.9176512200563272e-06,2.2616503898793388e-10,2.4944307238672407e-16,6.756917880086353e-11,2.7685960395894584e-11,0.009822412279882725,0.0016093119496973325,0.0043215513449218375,0.008920913475702034
