distance,groundtruth_mean,model_mean,groundtruth_variance,model_variance,groundtruth_sum,model_sum
"(-0.001, 2.153]",0.00017733265011234226,0.00019023074332098793,1.834176873498069e-07,2.1498973942392255e-07,0.47401017375029086,0.5084867768970007
"(2.153, 3.119]",3.188421337069541e-05,2.6657631213384694e-05,4.4084297738376265e-09,1.742559318292634e-09,0.08525838655323952,0.07128250586459067
"(3.119, 3.875]",1.8839214586548204e-05,1.7143077967672166e-05,3.424144696578364e-09,8.707618202630306e-10,0.0503383813752568,0.04580630432962003
"(3.875, 4.522]",1.1941084248951109e-05,1.3616591136986527e-05,9.75458721542133e-10,5.540323360772493e-10,0.031930459281695266,0.036410764700301974
"(4.522, 5.107]",1.007937976204513e-05,1.0804055957373233e-05,7.36278922933817e-10,3.362490761400903e-10,0.026932102724184587,0.028868437518101277
"(5.107, 5.635]",8.193519515266782e-06,8.950348804940739e-06,7.952779372677225e-10,2.338256090664362e-10,0.021909471183823373,0.023933232704411535
"(5.635, 6.128]",6.039405557233886e-06,7.269237415939414e-06,2.4332511173997494e-10,1.7625020297466248e-10,0.016137291648928943,0.019423402375390114
"(6.128, 6.599]",6.0733619980128425e-06,6.9325668473641835e-06,4.3181758099915636e-10,1.2514399416816624e-10,0.01624016998268634,0.018537683749851826
"(6.599, 7.053]",5.751182081607873e-06,5.615923829897021e-06,4.3036640556687586e-10,9.114309168199995e-11,0.015367158522056236,0.015005748473484841
"(7.053, 7.474]",4.673254818357075e-06,4.969336873335667e-06,1.6048297829598365e-10,5.555447757423764e-11,0.012486936874650105,0.013278068125552902
"(7.474, 7.904]",3.5395889714621474e-06,4.5685958225821844e-06,9.946326995614947e-11,8.20106119342443e-11,0.009464860909689782,0.01221642522958476
"(7.904, 8.308]",4.222213462221754e-06,4.473020645001515e-06,2.617552215763581e-10,7.681786197052464e-11,0.011281754371056527,0.011951911163444049
"(8.308, 8.691]",3.914940851123834e-06,3.980101234297068e-06,1.4827767428670203e-10,4.7504798055664526e-11,0.010468551835905133,0.01064279070051036
"(8.691, 9.084]",3.309185565231136e-06,3.473878022795901e-06,8.984952736266047e-11,3.1578716588315646e-11,0.008842143830297595,0.009282202076910648
"(9.084, 9.455]",3.4304289584411704e-06,3.448678884716298e-06,1.822278616163639e-10,5.34545000472965e-11,0.00917296703487169,0.00922176733773138
"(9.455, 9.831]",3.3775173870866946e-06,3.1353494148557436e-06,2.7443876339083594e-10,3.878874614266764e-11,0.009024726458295648,0.008377653636494547
