distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance,model_sum,gravity_seed_sum,gravity_sum,sampers_sum
"(-0.001, 2.115]",7.09295894809706e-06,5.543050742063845e-07,1.4210316188059275e-06,6.721579867430781e-06,7.319463994293842e-09,8.622917329393284e-17,1.5850355288023632e-10,4.1217213516199477e-08,0.6231448154261191,0.048697917989327696,0.12484331183857596,0.5905176776732638
"(2.115, 3.2]",8.270682575178163e-07,5.319231582218557e-07,6.78321015893692e-07,6.65611523680699e-07,9.778432984640325e-11,2.4699034472418187e-17,2.657774897768598e-11,2.2535342083558842e-11,0.0726596005594552,0.04673051329610647,0.05959185788829263,0.05847530357839677
"(3.2, 4.113]",4.916913167196656e-07,5.16472575462854e-07,4.376961235254178e-07,3.8296045095919904e-07,4.417304344930856e-11,1.6566355904912643e-17,8.719801412542583e-12,6.001372395613865e-12,0.0431970489390895,0.04537418164471358,0.03845335523620205,0.033644607458569474
"(4.113, 4.957]",3.418357652405662e-07,5.030886112576356e-07,3.166877386685044e-07,2.680072926039445e-07,2.996078950966822e-11,1.3579652249704369e-17,6.744064648858141e-12,4.551676350682788e-12,0.03003095564791422,0.04419734067620581,0.02782165121750545,0.023544976669841733
"(4.957, 5.788]",2.103556820523156e-07,4.90690274020511e-07,2.8113305734208405e-07,2.453505975187278e-07,1.1391269424291632e-11,1.2399335923559667e-17,6.045348768419733e-12,2.839577429274795e-11,0.018480588091024135,0.04310910333379798,0.024698663619731453,0.021555031394410312
"(5.788, 6.614]",2.121713214560142e-07,4.786239165028496e-07,2.4177376127046975e-07,1.952193988554646e-07,2.0885089348058978e-11,1.1787587239929182e-17,3.315245136030778e-12,2.6089143267629276e-12,0.01863967493255376,0.04204806831260834,0.021240308475133307,0.017150414628250274
"(6.614, 7.456]",1.3396216409034663e-07,4.668130760801691e-07,2.2974753078996817e-07,1.6504723110844888e-07,7.144398374292445e-12,1.1545522230753285e-17,7.2392570701118714e-12,1.2808148332665537e-12,0.011769111963993313,0.04101139598594718,0.020184239570021863,0.014500059441801667
"(7.456, 8.337]",1.6831478497084054e-07,4.5496189252742627e-07,1.9835594287454054e-07,1.8773770101995095e-07,9.876212444663031e-12,1.2001772315100713e-17,2.221923580534304e-12,1.1954151795063383e-11,0.014786790489258283,0.03996931218231945,0.017425966293414134,0.01649313251000473
"(8.337, 9.272]",1.821372368989562e-07,4.427311030781861e-07,1.9256447469334173e-07,1.7789661138965264e-07,1.4304017967358474e-11,1.2910168597766509e-17,2.142642649225247e-12,1.5393811549662804e-11,0.016001484810520897,0.03889569832983096,0.016917559359708845,0.015628928897026544
"(9.272, 10.288]",1.1193319892603022e-07,4.299751017432065e-07,1.677561035607961e-07,1.6471530448242573e-07,4.971517218761427e-12,1.4337469360284748e-17,1.2870090632718234e-12,1.5708119316534814e-11,0.009833555392049607,0.03777417263834418,0.014737709210023058,0.014470568929390065
