distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance,model_sum,gravity_seed_sum,gravity_sum,sampers_sum
"(-0.001, 2.115]",6.580700881220194e-06,5.543050742063845e-07,1.5814223534688023e-06,1.0579750959218929e-05,1.0714671810793005e-08,8.622917329393284e-17,4.234472882510151e-10,9.596439009307165e-07,0.5781408952187189,0.048697917989327696,0.13893427944164816,0.9294734407712197
"(2.115, 3.2]",7.932049226042755e-07,5.319231582218557e-07,6.780115350220362e-07,0.0,8.048837735716437e-11,2.4699034472418187e-17,3.218298852312246e-11,0.0,0.06968463886063081,0.04673051329610647,0.05956466937475593,0.0
"(3.2, 4.113]",4.905366411599094e-07,5.16472575462854e-07,4.257045697415408e-07,0.0,4.094026305544908e-11,1.6566355904912643e-17,1.0627439458495074e-11,0.0,0.04309560607246268,0.04537418164471358,0.037399849270073324,0.0
"(4.113, 4.957]",3.148769681534097e-07,5.030886112576356e-07,2.9290895300639564e-07,0.0,2.3176776994707933e-11,1.3579652249704369e-17,7.206557751117267e-12,0.0,0.02766257140621335,0.04419734067620581,0.02573263733951787,0.0
"(4.957, 5.788]",2.326173018313206e-07,4.90690274020511e-07,2.739140587742987e-07,1.1553640608897707e-07,1.3672897951243906e-11,1.2399335923559667e-17,7.230045998145233e-12,8.960892671449082e-10,0.02043636043508884,0.04310910333379798,0.024064445719557237,0.01015033542054099
"(5.788, 6.614]",2.16672765214475e-07,4.786239165028496e-07,2.3380378750893415e-07,0.0,1.882903041170832e-11,1.1787587239929182e-17,4.4352001522659074e-12,0.0,0.01903513576962206,0.04204806831260834,0.020540130340234882,0.0
"(6.614, 7.456]",1.4176378104905062e-07,4.668130760801691e-07,2.2204246764715112e-07,0.0,6.320194716124663e-12,1.1545522230753285e-17,7.258907009174857e-12,0.0,0.012454515220283293,0.04101139598594718,0.019507318952672815,0.0
"(7.456, 8.337]",1.7569867600639338e-07,4.5496189252742627e-07,1.8540020570963505e-07,1.1883130101929786e-08,9.325433917676057e-12,1.2001772315100713e-17,2.2664424343996345e-12,8.702354859559061e-12,0.015435480084513672,0.03996931218231945,0.016287778872002858,0.0010439567457147356
"(8.337, 9.272]",1.8813693228166755e-07,4.427311030781861e-07,1.8902152304126332e-07,1.958341045238112e-08,1.3125551225775783e-11,1.2910168597766509e-17,2.8078742829947267e-12,2.243040894802997e-11,0.01652858204867362,0.03889569832983096,0.016606296885267147,0.0017204809418834908
"(9.272, 10.288]",1.2141914206905706e-07,4.299751017432065e-07,1.6093200229201141e-07,9.001466280848165e-08,5.1981039525395395e-12,1.4337469360284748e-17,1.5182147376326294e-12,5.922764281395309e-10,0.010666914469050801,0.03777417263834418,0.014138198265357787,0.00790796815705073
"(10.288, 11.406]",1.5938335171546511e-07,4.1645249174834507e-07,1.8208586483713422e-07,0.0,1.0340696556857573e-11,1.6278843371754044e-17,2.318334503879835e-12,0.0,0.014002464981610473,0.03658701721005911,0.01599697156940159,0.0
