distance,groundtruth_mean,model_mean,groundtruth_variance,model_variance,groundtruth_sum,model_sum
"(-0.001, 2.153]",0.00017733265011234226,0.0001821857275557257,1.834176873498069e-07,1.9741557596153816e-07,0.47401017375029086,0.48698244975645477
"(2.153, 3.119]",3.188421337069541e-05,2.6069251604767915e-05,4.4084297738376265e-09,1.6983720624442292e-09,0.08525838655323952,0.0697091787911494
"(3.119, 3.875]",1.8839214586548204e-05,1.692905757851866e-05,3.424144696578364e-09,8.428354388716419e-10,0.0503383813752568,0.04523444184980186
"(3.875, 4.522]",1.1941084248951109e-05,1.35381743830599e-05,9.75458721542133e-10,5.539297382596461e-10,0.031930459281695266,0.03620107830030218
"(4.522, 5.107]",1.007937976204513e-05,1.0840507504886472e-05,7.36278922933817e-10,3.4899467752534053e-10,0.026932102724184587,0.02896583605305665
"(5.107, 5.635]",8.193519515266782e-06,8.994696317254526e-06,7.952779372677225e-10,2.404564780566859e-10,0.021909471183823373,0.024051817952338603
"(5.635, 6.128]",6.039405557233886e-06,7.443688834426094e-06,2.4332511173997494e-10,1.8984537921139076e-10,0.016137291648928943,0.019889536565586525
"(6.128, 6.599]",6.0733619980128425e-06,7.094839937070531e-06,4.3181758099915636e-10,1.3411992452196217e-10,0.01624016998268634,0.0189716019917266
"(6.599, 7.053]",5.751182081607873e-06,5.710999309199537e-06,4.3036640556687586e-10,9.243634068308267e-11,0.015367158522056236,0.015259790154181163
"(7.053, 7.474]",4.673254818357075e-06,5.102726797252273e-06,1.6048297829598365e-10,6.104434689841542e-11,0.012486936874650105,0.013634486002258073
"(7.474, 7.904]",3.5395889714621474e-06,4.743050963720256e-06,9.946326995614947e-11,9.061730087619804e-11,0.009464860909689782,0.012682918276987965
"(7.904, 8.308]",4.222213462221754e-06,4.652129768589082e-06,2.617552215763581e-10,8.370967791227633e-11,0.011281754371056527,0.012430490741670026
"(8.308, 8.691]",3.914940851123834e-06,4.177248751964928e-06,1.4827767428670203e-10,5.4130053691730126e-11,0.010468551835905133,0.011169963162754218
"(8.691, 9.084]",3.309185565231136e-06,3.677554679551724e-06,8.984952736266047e-11,3.621660595486691e-11,0.008842143830297595,0.009826426103762206
"(9.084, 9.455]",3.4304289584411704e-06,3.664300240964799e-06,1.822278616163639e-10,5.998024444905006e-11,0.00917296703487169,0.009798338844339873
"(9.455, 9.831]",3.3775173870866946e-06,3.285341099476097e-06,2.7443876339083594e-10,4.4857810568644766e-11,0.009024726458295648,0.008778431417800131
"(9.831, 10.182]",2.987116018874351e-06,3.2116253002846892e-06,9.330342030934253e-11,3.2877725709427115e-11,0.007981574002432266,0.00858146280236069
"(10.182, 10.537]",2.6441805586346716e-06,3.0772896454887145e-06,1.232489019910264e-10,5.576304137373984e-11,0.007070538813789112,0.008228672512036822
