quantile,score,sampers_weight,twitter_weight
"(-0.001, 2.115]",0.040901002325152265,0.590517677673264,0.6264199864138664
"(2.115, 3.2]",0.5737134614208819,0.05847530357839675,0.07255466401221394
"(3.2, 4.113]",0.6690080478270831,0.03364460745856948,0.04388758482926522
"(4.113, 4.957]",0.7313474317328023,0.02354497666984177,0.02982559977401277
"(4.957, 5.788]",0.673064703400072,0.021555031394410316,0.017922599390641666
"(5.788, 6.614]",0.8343434583604439,0.017150414628250267,0.018418627800458675
"(6.614, 7.456]",0.9106400570004372,0.014500059441801655,0.012066101250327858
"(7.456, 8.337]",0.8029329194841097,0.016493132510004747,0.014647130433612885
"(8.337, 9.272]",0.7519852331395696,0.015628928897026523,0.015138114486719891
"(9.272, 10.288]",0.7513559146014004,0.014470568929390071,0.009441354308889503
"(10.288, 11.406]",0.8780991211629685,0.01327640405461799,0.011440601018287484
"(11.406, 12.65]",0.629672739087959,0.015923164429786498,0.009552330156509574
"(12.65, 14.062]",0.41478071431175145,0.018458853461857595,0.009182410664442676
"(14.062, 15.693]",0.7377409491671195,0.016516221042290388,0.010524209549303545
"(15.693, 17.608]",0.8513388961909422,0.014076154999397865,0.008945325899072534
"(17.608, 19.895]",0.6879433078424677,0.017582213438745626,0.011712996280627672
"(19.895, 22.678]",0.8888087276591752,0.013682677468892882,0.010946254060707188
"(22.678, 25.793]",0.7716358668641642,0.014875478550143536,0.007475736644224896
"(25.793, 29.162]",0.8796666174027676,0.011625601810545946,0.007063780846241283
"(29.162, 32.281]",0.7884699707165967,0.00974614271792567,0.005802691668740465
"(32.281, 35.044]",0.9397701812406857,0.006282006893239078,0.004000174871032584
"(35.044, 37.614]",0.9360144059296103,0.005040535607780433,0.0023372186089681735
"(37.614, 40.002]",0.9308728873557737,0.004462865777945383,0.0018479160080978603
"(40.002, 42.213]",0.9536806688299007,0.003784184754291372,0.0016579119053544038
"(42.213, 44.525]",0.9503490054570055,0.0038493012285679743,0.0015654320323376777
"(44.525, 46.962]",0.9633160377427022,0.003504320565789849,0.0015587062233910081
"(46.962, 49.411]",0.9619486162238418,0.0030786089092589577,0.0012341859417141323
"(49.411, 51.915]",0.9731646182016734,0.0026421352478772273,0.00103409312555067
"(51.915, 54.193]",0.9876686680160838,0.002102368881918651,0.0012963996744708392
"(54.193, 56.242]",0.9901257511365186,0.0018139176762216101,0.0010004640808173153
"(56.242, 58.166]",0.9921853224462591,0.0015402912634231505,0.0007129357483471291
"(58.166, 60.05]",0.9949367448381272,0.0013169196131238528,0.0007045284871637902
"(60.05, 61.85]",0.9961269525721134,0.0011599382532558019,0.0006103671619103963
"(61.85, 63.607]",0.9976513600642238,0.001014573268382407,0.0006843510603237771
