distance,groundtruth_mean,model_mean,groundtruth_variance,model_variance,groundtruth_sum,model_sum
"(-0.001, 9.548]",4.787094290251301e-06,4.784229798854881e-06,5.779524704508828e-10,2.6297040013441033e-09,0.7914215764415061,0.7909480072658844
"(9.548, 14.357]",3.6439065584598034e-07,3.098664968438696e-07,5.486737033074813e-12,3.4328241445474272e-12,0.06024252078708085,0.0512283687242159
"(14.357, 18.128]",1.6388285983749846e-07,1.714067849943236e-07,2.2051137693941197e-12,1.4356910732877003e-12,0.027093769919774597,0.028337655322401553
"(18.128, 21.389]",1.1065204687260643e-07,1.256956039816218e-07,1.4228822356066599e-12,8.69181845010493e-13,0.018293438997166785,0.020780500032657644
"(21.389, 24.365]",8.30894367071631e-08,8.770545218373135e-08,1.1407041277074356e-12,5.582105618760519e-13,0.013736511855301618,0.014499640765918833
"(24.365, 27.157]",5.8506940024165363e-08,7.020579657989122e-08,7.49668096185459e-13,3.899581203482367e-13,0.009672601352555115,0.011606703113773936
"(27.157, 29.803]",4.810422095482044e-08,4.874791539252248e-08,6.469584506186542e-13,1.8171020713859593e-13,0.007952782225134734,0.008059200364353387
"(29.803, 32.325]",3.7951473452038696e-08,4.266163340764979e-08,5.119319540778462e-13,1.5589878363595706e-13,0.006274289396984846,0.0070529918814862935
"(32.325, 34.744]",3.02887997544319e-08,4.1177932966634395e-08,3.920630884017208e-13,3.217575644397905e-13,0.00500740495300219,0.006807618233909932
"(34.744, 37.052]",2.7242754193744015e-08,3.324391286263624e-08,3.598284088906063e-13,1.4647579058488115e-13,0.004503881094326536,0.005496016650102474
"(37.052, 39.226]",2.2726291445650074e-08,2.7838867352561575e-08,2.8652291213238606e-13,8.784187529066166e-14,0.003757201406960653,0.00460243290619489
"(39.226, 41.315]",1.9798781064776776e-08,2.3036043428358527e-08,2.482514670238854e-13,5.751206101649183e-14,0.0032732136807531557,0.003808410843749945
"(41.315, 43.341]",1.714914178391107e-08,1.9736637931295964e-08,2.1168257053798187e-13,4.711648258623796e-14,0.0028351647162833137,0.003262939929353574
"(43.341, 45.324]",1.3927377591689522e-08,1.7735853816403826e-08,1.7637119507353093e-13,4.869923251311288e-14,0.002302501918213295,0.0029321268246355133
"(45.324, 47.269]",1.2912961088847602e-08,1.5969549713290543e-08,1.6113856198892631e-13,2.919798041796703e-14,0.002134822379052641,0.002640149836800046
"(47.269, 49.172]",1.652081760541327e-08,1.5849959611131634e-08,2.2061725409635826e-13,3.520035566193868e-14,0.0027312876497973433,0.0026203787227507265
