quantile,score,sampers_weight,twitter_weight
"(-0.001, 3.211]",0.04725480715679337,0.6803013956670295,0.6832581989277339
"(3.211, 5.192]",0.4338568956929446,0.07105887741177966,0.08788490722813945
"(5.192, 6.939]",0.5840554173533198,0.04137872114771699,0.04989039654307226
"(6.939, 8.647]",0.7712265293968529,0.027123952092709,0.03125476150328396
"(8.647, 10.313]",0.7032392700965804,0.023205780281156788,0.021563134232237352
"(10.313, 11.904]",0.7240803098455342,0.019712716342905376,0.018814413616426405
"(11.904, 13.467]",0.8215187373021193,0.016058826249937357,0.015145389645876165
"(13.467, 15.011]",0.8153826562798971,0.01580060830440692,0.012920815311572416
"(15.011, 16.559]",0.9037079703233095,0.011952174456422932,0.010148731586314476
"(16.559, 18.16]",0.8706415841870743,0.010246418992412347,0.00861387687438162
"(18.16, 19.809]",0.932509792661317,0.008724472904093563,0.0072760849116976015
"(19.809, 21.501]",0.9083867667840403,0.00773490747011133,0.005448683437993286
"(21.501, 23.229]",0.9308672351974416,0.0067571516454597615,0.005807256378636776
"(23.229, 24.979]",0.8855266408813552,0.006347877381338069,0.004285606902478322
"(24.979, 26.776]",0.9114653976725087,0.004952654685493284,0.0028401414788645257
"(26.776, 28.569]",0.9724808623960576,0.003751915085804069,0.0024378896814287723
"(28.569, 30.431]",0.8655632156544839,0.005166752540867819,0.0024764896013847295
"(30.431, 32.517]",0.9666021947054341,0.0039174905655575435,0.0027487206158109444
"(32.517, 34.741]",0.9760752623209186,0.0036809973423511644,0.0025232158202787842
"(34.741, 37.035]",0.9778748616654019,0.0036627489066961344,0.003147925051144903
"(37.035, 39.4]",0.9707642499671386,0.003426843502855293,0.003553224210682432
"(39.4, 41.811]",0.9650382354715182,0.003462707027699667,0.0017847384042793072
"(41.811, 44.358]",0.9694809569567888,0.0029023506482748675,0.001520633688791192
"(44.358, 46.832]",0.9829633323748125,0.002458274820287444,0.0013865497563126112
"(46.832, 49.227]",0.976331400509287,0.0022000476143808644,0.0007303511170613685
"(49.227, 51.555]",0.9904500346196397,0.0016819183862230636,0.0008471666642964988
"(51.555, 53.764]",0.9951172264006596,0.0013865370606531212,0.0007912983590970889
"(53.764, 55.987]",0.9949672988867982,0.001274379149365141,0.0007740299738536332
"(55.987, 58.084]",0.996308614320739,0.0010991943131620637,0.0006328355298042179
"(58.084, 60.03]",0.9967298381245253,0.001060798891504906,0.0007283195423268448
"(60.03, 61.847]",0.997729593964136,0.0008697204267511501,0.0005830619488083806
"(61.847, 63.57]",0.998008737232605,0.0008489955121367134,0.0006978459213089854
"(63.57, 65.258]",0.9975401170627406,0.0007231918661469537,0.0007537142265083946
"(65.258, 66.947]",0.9990798913165799,0.0006237128197729336,0.0004845305741839664
"(66.947, 68.708]",0.9984203908658382,0.0005362526559303706,0.00045507274053336905
"(68.708, 70.5]",0.9992956872561348,0.000395232039654549,0.0002935625491387135
"(70.5, 72.284]",0.9994749648917848,0.00033867040598463687,0.00023769424393930443
"(72.284, 73.955]",0.999396813309361,0.00026602218059022554,0.00021128377239049275
"(73.955, 75.584]",0.9997915778986605,0.00024270850753749799,0.0001239260588059621
"(75.584, 77.263]",0.9998047994584355,0.000217698140849015,0.00010767346092977036
"(77.263, 78.964]",0.999785436135017,0.0002073816633197081,9.649979988988851e-05
"(78.964, 80.601]",0.9994957073662545,0.00016986419873400076,0.00016252597876191752
"(80.601, 82.152]",0.9998325773273633,0.000175597409365517,0.00011681554723512818
"(82.152, 83.605]",0.9996047088916789,0.00014478263577805714,0.0001736996398017993
"(83.605, 84.996]",0.999944667874568,0.0001316947760737134,9.751558725715053e-05
"(84.996, 86.337]",0.9987096972936151,0.00013257984485230795,0.00027527837652799786
"(86.337, 87.635]",0.9990779031521825,0.00012530083398888453,0.0002722310144262119
"(87.635, 88.948]",0.9997122849399924,0.00012919675557341873,0.00021941007132858867
"(88.948, 90.32]",0.9999271651510349,0.00012232306734143682,0.00014728916825298773
"(90.32, 91.756]",0.9991716088923327,0.00013816829545724798,0.00024480475551013833
"(91.756, 93.329]",0.9999274905064657,0.0001056989928746652,0.00013814708194762984
"(93.329, 95.065]",0.9997489664933066,9.269661007150054e-05,0.00016455755349644146
"(95.065, 96.929]",0.9999610530414047,7.245156358938405e-05,8.024720201369678e-05
"(96.929, 98.827]",0.9999507075881048,5.887954559982211e-05,7.719983991191082e-05
"(98.827, 100.812]",0.9999644139542587,4.541565951317916e-05,6.501039150476699e-05
"(100.812, 102.885]",0.9999812827917772,4.581408255679851e-05,4.266306942500337e-05
"(102.885, 105.005]",0.9999713364663368,4.359192264094524e-05,5.28209430976232e-05
"(105.005, 107.241]",0.9999224742913181,4.076971477806314e-05,6.602617887202904e-05
"(107.241, 109.566]",0.9999177368238918,4.0882364788392993e-05,6.805775360655299e-05
"(109.566, 111.942]",0.9999770101052556,4.1045312225366584e-05,4.774200626131329e-05
"(111.942, 114.296]",0.9999731991032624,3.966532166646974e-05,6.399460413750502e-05
"(114.296, 116.81]",0.9999539474640307,3.172391605247723e-05,4.4694644159527344e-05
"(116.81, 119.416]",0.9999455320582267,3.057481626022548e-05,7.31366904428629e-05
"(119.416, 122.267]",0.9998994647106204,2.9531480297209016e-05,7.516826517738688e-05
"(122.267, 125.3]",0.9999919034030595,2.2317796023070495e-05,2.8442046283335596e-05
"(125.3, 128.45]",0.9999529112293127,2.1579180813725362e-05,5.789987993393313e-05
"(128.45, 131.832]",0.9999926789936874,1.721046719991992e-05,2.031574734523971e-05
"(131.832, 135.631]",0.9999805770396537,1.959384205429687e-05,4.3678856792265355e-05
"(135.631, 139.384]",0.9999549331844144,1.9687939742365437e-05,5.180515573036125e-05
"(139.384, 143.272]",0.9999561388775612,1.1699720243264451e-05,5.8915667301195096e-05
"(143.272, 147.061]",0.9999737614429169,1.0954826310056063e-05,4.571043152678932e-05
"(147.061, 150.293]",0.9999901152602316,1.0457679012937714e-05,2.742625891607361e-05
"(150.293, 153.272]",0.9999812529588404,8.898338869022886e-06,3.1489408385121547e-05
"(153.272, 156.045]",0.9999817164324281,1.1535586471439577e-05,2.234732207976368e-05
"(156.045, 158.711]",0.9999941061837183,2.0023296113413166e-05,2.234732207976368e-05
