distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance,model_sum,gravity_seed_sum,gravity_sum,sampers_sum
"(-0.001, 22.405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(22.405, 35.395]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(35.395, 46.554]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(46.554, 56.061]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(56.061, 64.93]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(64.93, 73.165]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(73.165, 80.94]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(80.94, 88.329]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(88.329, 95.338]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(95.338, 102.07]",3.99961836368777e-06,1.2653898970208897e-05,7.5700885745192736e-06,6.192792357374791e-06,1.5341911108313947e-09,3.3275325948545893e-10,2.8702350438236354e-09,8.269654227575385e-10,0.018606224627875506,0.05886593800941179,0.03521605204866366,0.028808870046507527
"(102.07, 108.851]",8.324862967143291e-06,3.411839242478412e-05,2.2676426971230345e-05,1.5561603578024748e-05,1.7035937214399514e-09,4.095703969451812e-12,7.005987066603693e-09,1.3481193735109036e-09,0.038710612797216305,0.15865052477524616,0.1054453854162211,0.07236145663781508
"(108.851, 115.402]",8.040791203881384e-06,2.789140198358795e-05,2.232743781481956e-05,1.5208645404943376e-05,9.246020217721907e-10,2.5414157445034776e-12,8.350733500844094e-09,2.129499096005345e-09,0.0374057606804562,0.12975080202765116,0.10386724071454059,0.07075061842379658
"(115.402, 121.788]",6.797079126731227e-06,2.2976669096488394e-05,1.760833293436723e-05,1.241070230020472e-05,8.249230617288617e-10,1.5967546336908554e-12,6.334538199344359e-09,1.4257004942528305e-09,0.031606417939300205,0.10684151129867103,0.08187874814480763,0.057709765695951945
"(121.788, 128.103]",6.6279390026825895e-06,1.8990567532281708e-05,1.3276904279194612e-05,1.1090356787066798e-05,8.860754442702208e-10,1.0754341440501173e-12,2.654990661332017e-09,1.0244614205130732e-09,0.030833172240479406,0.08834412016017451,0.06176415870681333,0.05159233977343475
"(128.103, 134.5]",7.188924435511524e-06,1.5705384875010723e-05,1.4895777058717806e-05,1.0818847826977302e-05,1.6165091459277503e-09,7.544268086815804e-13,6.2758751135309495e-09,9.051205725168816e-10,0.03344287647399961,0.07306145043854989,0.06929515487715524,0.05032928009109841
"(134.5, 140.658]",6.8698307381794195e-06,1.3043226283379699e-05,1.4195433668442996e-05,9.393690664845573e-06,1.4554248315383524e-09,4.885338066885899e-13,7.1224869655939855e-09,6.090312018887256e-10,0.0319447129325343,0.0606510022177156,0.06600876655825993,0.043680661591531916
"(140.658, 146.534]",6.607161764429666e-06,1.0865362809061336e-05,1.033496019906485e-05,7.802111302264943e-06,1.38650945931203e-09,2.941748991390008e-13,1.6484274873057233e-09,2.903010323006126e-10,0.030736516528126805,0.05054566778775334,0.048078234846049686,0.036295421778136515
"(146.534, 152.416]",4.425551747872701e-06,9.122281885970073e-06,8.096106783477185e-06,7.957485654661733e-06,5.438423701112733e-10,2.110685242935735e-13,1.4662727671859116e-09,6.985824407454085e-10,0.020587666731103803,0.04243685533353278,0.037663088756735866,0.03701822326548638
"(152.416, 158.282]",4.822392530280259e-06,7.640573508748124e-06,8.334353964219262e-06,7.254236166114951e-06,1.2025556832344894e-09,1.5055907767449846e-13,5.949424910217709e-09,7.501146011292587e-10,0.022424125265803205,0.035528666815678775,0.03875474593361957,0.03373219817243452
"(158.282, 164.09]",4.602158273022551e-06,6.414478621276361e-06,8.958402131116054e-06,6.929871299732195e-06,6.622657402091807e-10,9.933100755998029e-14,4.411574817433605e-09,5.727849705756351e-10,0.021409240286100906,0.02984015454617763,0.04167448671395189,0.03223776128635417
"(164.09, 169.751]",4.583351521236194e-06,5.396253762963677e-06,5.985240119154769e-06,6.004973123992084e-06,6.828278921038992e-10,7.07937805574494e-14,6.759183251642601e-10,4.60799345438567e-10,0.0213125845737483,0.025092579997781098,0.027831366554069675,0.02792312502656319
"(169.751, 175.259]",4.986537180701636e-06,4.5687167726052205e-06,7.532463870100387e-06,5.533153274959129e-06,1.230548194728708e-09,4.774912702393528e-14,2.859728214564237e-09,2.6506391853003207e-10,0.023197370964624008,0.021253670426159485,0.035041021923707,0.025740229035109866
"(175.259, 180.935]",3.978841125434846e-06,3.857325245779709e-06,6.735587793841887e-06,5.4413959313226855e-06,5.340389826765671e-10,3.670180231642318e-14,5.2058422079028535e-09,2.9670372965809915e-10,0.018509568915522905,0.017944277043367207,0.031333954416952456,0.02531337387251313
"(180.935, 186.282]",3.169891641671291e-06,3.273758520115371e-06,4.2184701011685056e-06,4.6677951081933235e-06,3.9336371275173005e-10,2.233633866193848e-14,4.703433410699311e-10,2.066170912869848e-10,0.014739996133771503,0.015222977118536476,0.019615885970433553,0.021705247253098955
"(186.282, 191.76]",3.1373629761914453e-06,2.7819177918039374e-06,4.5837552971812295e-06,4.698636308826721e-06,5.214481978345587e-10,1.6967147533772008e-14,6.800315933917002e-10,1.9899892805783046e-10,0.014595012565242604,0.012941481567471918,0.021323629642487078,0.021858056108661907
"(191.76, 197.086]",3.980552454951162e-06,2.3655187477519797e-06,5.261676616450219e-06,4.379361341883729e-06,1.2536753284440088e-09,1.1947055983018179e-14,1.5728778182330223e-09,1.4081329463551028e-10,0.018509568915522905,0.010999662177046706,0.024466796266493517,0.020364030239759343
"(197.086, 202.626]",3.8126232194114587e-06,2.010209843919405e-06,5.167459254265939e-06,3.884303189212279e-06,8.426609362438898e-10,9.374824588857492e-15,2.459494045777456e-09,8.731286961850326e-11,0.017736323216702106,0.009351496193913074,0.02403902045084515,0.018069778436215524
"(202.626, 207.999]",3.563296360376376e-06,1.70683416996274e-06,3.003171116179419e-06,3.4738272742851703e-06,5.743341574646202e-10,6.352825028809018e-15,2.0912974884824894e-10,6.944606518036769e-11,0.0165764546684709,0.007940192558666667,0.013970752032466657,0.016160244479974613
"(207.999, 213.47]",2.3488377410416777e-06,1.4496574307926626e-06,2.451430387732885e-06,2.8383754234949854e-06,4.5265568174159854e-10,4.8018878525264485e-15,3.230379728027321e-10,5.932119069624618e-11,0.010922095495843802,0.006740907053185881,0.011399151302957914,0.013198445719251682
"(213.47, 218.954]",2.659486496374205e-06,1.2319903323215277e-06,2.3697290667986844e-06,2.9208095624166693e-06,3.6955133907494304e-10,3.4129779647874024e-15,1.7646541267232734e-10,7.797658138878499e-11,0.012371931181132802,0.005731219025959747,0.01102397961874748,0.013587606084362346
"(218.954, 224.269]",2.181610016556965e-06,1.0466918993096753e-06,2.0115215501808358e-06,2.533316197512846e-06,2.1016730332785592e-10,2.2924898901348084e-15,1.8332369684335748e-10,2.927224929471574e-11,0.010148849797023003,0.00486921071558861,0.009357598251441248,0.01178498695082976
"(224.269, 229.603]",2.598271837435484e-06,8.919038514209003e-07,1.6256549069912815e-06,2.2218014181311977e-06,3.9816876946798564e-10,1.6843450641346746e-15,6.583998640057924e-11,2.945764911753587e-11,0.012081964044075001,0.004147352909107186,0.0075592953175094586,0.01033137659431007
"(229.603, 234.752]",3.095808499685598e-06,7.614021633605253e-07,2.0900057084129754e-06,2.303604166436605e-06,5.176899286016315e-10,1.15069272526406e-15,2.924744576716006e-10,4.220654495055609e-11,0.014401701140537402,0.003542042863953164,0.00972270655553716,0.010716366582263088
"(234.752, 239.974]",2.4319824398396135e-06,6.527548734998582e-07,1.4706015035185652e-06,2.243812174745296e-06,2.8245241586965096e-10,9.043930120314598e-16,4.8566632250612074e-11,4.728529333987176e-11,0.011308718345254203,0.0030353101617743407,0.006838296991361328,0.010433726612565628
"(239.974, 245.254]",3.04386540405329e-06,5.573498063421739e-07,2.2779700974305175e-06,2.5567561115213928e-06,6.400356467822488e-10,6.383235392077657e-16,9.277309797828665e-10,1.1969508164250572e-10,0.014160061859655904,0.0025927912991037926,0.010597116893246767,0.01189402943079752
"(245.254, 250.51]",2.2958848269480443e-06,4.752387327972276e-07,1.1496054499511222e-06,2.0927185705827474e-06,2.252227252081858e-10,4.716669654436069e-16,5.787833839941788e-11,3.081020300259616e-11,0.010680456214962303,0.0022108105849727028,0.005347964553172621,0.00973532679035094
"(250.51, 255.844]",3.5752220483112253e-06,4.055175213834472e-07,1.7314679971765402e-06,2.1006197887709813e-06,1.8450298501212563e-09,3.5020750813801974e-16,5.126506592046708e-10,4.638115250014407e-11,0.0166247825246472,0.0018856564744330296,0.008051326186870912,0.009767882017785064
"(255.844, 261.162]",2.3686051608332764e-06,3.459398000209227e-07,1.1566507866198221e-06,1.9176512200563272e-06,3.9612261343797875e-10,2.4944307238672407e-16,1.2637080867429833e-10,2.7685960395894584e-11,0.011018751208196401,0.0016093119496973325,0.005380739459355413,0.008920913475702034
