distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(245.254, 250.51]",2.5490377088596237e-06,4.752387327972276e-07,8.462875639491505e-07,2.0927185705827474e-06,1.0311693785035037e-10,4.716669654436069e-16,1.4071366530870969e-11,3.081020300259616e-11
"(250.51, 255.844]",2.749444888904671e-06,4.055175213834472e-07,8.826659033253655e-07,2.1006197887709813e-06,2.4094070557594046e-10,3.5020750813801974e-16,2.5643364880134445e-11,4.638115250014407e-11
"(255.844, 261.162]",2.434200515149907e-06,3.459398000209227e-07,6.502864514535367e-07,1.9176512200563272e-06,6.596504575022019e-11,2.4944307238672407e-16,6.0911283304774304e-12,2.7685960395894584e-11
"(261.162, 266.661]",2.692001595879122e-06,2.9378601527771964e-07,5.371999517540754e-07,1.8402540986598509e-06,1.3419038320758046e-10,1.9696830939938182e-16,5.285648507251439e-12,2.3068510768795966e-11
"(266.661, 272.129]",2.2106159789120493e-06,2.493929777822394e-07,4.0466046465324056e-07,1.6727634504054028e-06,6.517602431764625e-11,1.4060898201829687e-16,1.9313310401880084e-12,1.8335710085135225e-11
"(272.129, 277.715]",2.161027190719217e-06,2.1140339010111222e-07,3.724749152382347e-07,1.6336300869643826e-06,5.010522629536898e-11,1.0476327159859759e-16,1.2091597399654644e-12,2.016567845476252e-11
"(277.715, 283.342]",2.21852960488066e-06,1.784825779656348e-07,3.5209033379417165e-07,1.527609104357745e-06,1.6662513898368527e-10,7.760443427656725e-17,5.0851509363515895e-12,1.9076886915727317e-11
"(283.342, 289.14]",2.1592872332387667e-06,1.504689380740047e-07,3.288230647790907e-07,1.5660191385584705e-06,8.085704413411822e-11,5.679365737351425e-17,2.1417970104742443e-12,2.2974484310044822e-11
"(289.14, 295.075]",2.089688934020756e-06,1.2630044086427075e-07,2.5448416152113685e-07,1.40622045732103e-06,6.241747172890314e-11,4.192646079800403e-17,1.6258507285058847e-12,1.2246342458770165e-11
"(295.075, 301.331]",1.8172969066264492e-06,1.0519265595799248e-07,1.9002914348612473e-07,1.2264623963961925e-06,5.212368461274426e-11,3.24998326970705e-17,4.469600274813606e-13,9.167281121123286e-12
"(301.331, 307.68]",1.816515609590066e-06,8.688600324096458e-08,1.805558957416633e-07,1.2066004466645528e-06,8.7516741886976e-11,2.2645005826684322e-17,6.984531830689153e-13,1.0888827349208809e-11
"(307.68, 313.891]",2.1001616071310453e-06,7.223902224400826e-08,1.8292637156232747e-07,1.1702861559200117e-06,1.3429318484393488e-10,1.5322856754750387e-17,1.5738415683415319e-12,8.05710686558474e-12
"(313.891, 320.547]",1.8347851631347941e-06,5.960474680692721e-08,1.3695074545408965e-07,1.1682820665461294e-06,4.922214290058756e-11,1.1889256982922284e-17,2.524035468501492e-13,9.755763912622685e-12
"(320.547, 326.988]",2.0157407411016206e-06,4.884276475955546e-08,1.1058452940798257e-07,1.0605425208526044e-06,1.1683179678924627e-10,7.519227198948181e-18,4.059610052513306e-13,5.819467907895605e-12
"(326.988, 333.082]",1.8033712598323767e-06,4.0479034996180705e-08,8.791894891698036e-08,1.1868473198862659e-06,6.521699744891411e-11,4.6506351329274425e-18,1.07487093638862e-13,1.8202795901027314e-11
"(333.082, 339.529]",1.6268602442209886e-06,3.3487433344292155e-08,7.190874732131597e-08,1.0792834048890114e-06,7.51326637950545e-11,3.472917032940756e-18,1.3059798484126924e-13,1.2046159741154854e-11
"(339.529, 346.178]",1.52224726517704e-06,2.7618098706415404e-08,6.111112025899587e-08,1.082664937134189e-06,2.7816183901665255e-11,2.5953132311178027e-18,6.321671117412181e-14,1.0896541848733824e-11
"(346.178, 352.733]",1.4702640709804654e-06,2.259119764171518e-08,4.509915919754233e-08,1.1028895390242028e-06,4.192933922245013e-11,1.6980202180740275e-18,2.4887033034965193e-14,1.5774856754920744e-11
"(352.733, 359.7]",1.4076256016842564e-06,1.8420514264473197e-08,3.4276727412931704e-08,9.487637302098909e-07,2.29305549314319e-11,1.1957955785552068e-18,9.42941523620559e-15,1.0263968625041292e-11
"(359.7, 366.652]",1.8216486712495966e-06,1.495770499864123e-08,3.127464462241906e-08,9.72190622665734e-07,1.2081374457616905e-10,8.119209067194221e-19,1.8468265547601213e-14,6.7230594214374655e-12
"(366.652, 373.677]",2.050539890710626e-06,1.2169708896594065e-08,2.66140211897985e-08,9.463290641447754e-07,1.797213588537265e-10,5.455360750908476e-19,1.7216465563486964e-14,7.779367141941397e-12
"(373.677, 380.777]",2.224535638755651e-06,9.829378071197015e-09,2.33146621048128e-08,1.0158893633057807e-06,1.430209629609511e-10,3.533151345694071e-19,8.676571648073405e-15,1.1659862416405956e-11
"(380.777, 387.825]",2.032274079009942e-06,7.951163653690969e-09,1.9433062253741444e-08,1.4095898958598984e-06,6.234116485949722e-11,2.4362201739457377e-19,3.612222388536439e-15,5.65440945253157e-11
"(387.825, 394.882]",2.157547275758316e-06,6.4328274195310065e-09,1.7062737403581726e-08,1.6639091845277406e-06,9.926887608812822e-11,1.549205511224806e-19,4.100976347819391e-15,6.654690381948553e-11
"(394.882, 401.993]",2.556226539636916e-06,5.2005720294532106e-09,2.031072774273257e-08,1.734998875445841e-06,5.78896623887987e-10,1.0432851502045756e-19,2.81164105894842e-14,1.2339974780424904e-10
"(401.993, 409.214]",2.0601096568531022e-06,4.200429604250153e-09,1.2054932068395274e-08,1.208468113601405e-06,8.324774656056176e-11,6.802862272962588e-20,3.43436945771436e-15,3.78276626857011e-11
"(409.214, 416.899]",2.231495468677452e-06,3.3534190425600364e-09,7.498900261178817e-09,7.182406937890408e-07,3.9343800400060425e-10,4.8881749790633667e-20,1.0505057481421507e-15,3.744081604550228e-12
"(416.899, 424.964]",2.166308429402889e-06,2.6496660442682347e-09,6.842962691723969e-09,8.094951708079621e-07,1.6106907725447213e-10,3.547241557942809e-20,9.457568034630055e-16,8.305496228078022e-12
"(424.964, 433.403]",1.938312633221584e-06,2.0737272672088015e-09,5.66232025333645e-09,8.445292935554693e-07,2.2596861013481225e-10,2.3006685535802787e-20,6.116559463516199e-16,9.57062821244506e-12
"(433.403, 442.513]",1.5091919713075973e-06,1.5945445256692308e-09,3.9565655143900756e-09,6.649237496025825e-07,6.179474249136844e-11,1.548358818990921e-20,2.1365616820428869e-16,3.638238993189584e-12
"(442.513, 452.301]",1.4137154528658323e-06,1.2029187105516038e-09,2.5520745076206666e-09,5.582994637316206e-07,6.489536156681205e-11,1.054678304230428e-20,8.713260925330191e-17,2.7379866175995073e-12
"(452.301, 462.106]",1.2162302788347283e-06,8.95846645206409e-10,2.0125012144719928e-09,5.111463666722207e-07,2.1939662744036036e-11,5.885368385623163e-21,3.5020793206483445e-17,1.836315958051423e-12
"(462.106, 471.922]",1.7459279668068282e-06,6.652591862973487e-10,2.1974900880544334e-09,6.091522656522736e-07,8.579206002510204e-11,3.236358565447488e-21,9.84653141105481e-17,3.7208094438414116e-12
"(471.922, 482.18]",1.8304352694336686e-06,4.936584384378737e-10,1.558231947545377e-09,5.820832054329516e-07,1.1525909474069184e-10,1.8992514438099898e-21,3.848294839024969e-17,3.944370400772261e-12
"(482.18, 492.672]",1.5433422851593761e-06,3.619178680128681e-10,1.2128757750807078e-09,6.486391521130983e-07,4.828756812904419e-11,1.0815265710718513e-21,3.666305067138202e-17,7.323180646836462e-12
"(492.672, 503.113]",1.3446952685526168e-06,2.636393937170253e-10,9.193316866361754e-10,6.861084426898613e-07,3.8119817344651644e-11,5.632265643033744e-22,2.3630082721383187e-17,9.959919046666972e-12
