distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance,model_sum,gravity_seed_sum,gravity_sum,sampers_sum
"(-0.001, 22.405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(22.405, 35.395]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(35.395, 46.554]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(46.554, 56.061]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(56.061, 64.93]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(64.93, 73.165]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(73.165, 80.94]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(80.94, 88.329]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(88.329, 95.338]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(95.338, 102.07]",5.779122383419669e-06,1.2653898970208897e-05,7.884923694146788e-06,6.192792357374791e-06,2.1980600759276307e-09,3.3275325948545893e-10,2.2502817112833473e-09,8.269654227575385e-10,0.0268844773276683,0.05886593800941179,0.03668066502517086,0.028808870046507527
"(102.07, 108.851]",1.2451724754498267e-05,3.411839242478412e-05,2.2678557078995064e-05,1.5561603578024748e-05,5.564244692308568e-09,4.095703969451812e-12,1.0326551050001885e-08,1.3481193735109036e-09,0.057900520108416946,0.15865052477524616,0.10545529041732704,0.07236145663781508
"(108.851, 115.402]",1.5095004677782269e-05,2.789140198358795e-05,2.2578935000081658e-05,1.5208645404943376e-05,1.388006191529957e-08,2.5414157445034776e-12,1.690102708857986e-08,2.129499096005345e-09,0.07022196176104312,0.12975080202765116,0.10503720562037988,0.07075061842379658
"(115.402, 121.788]",1.0810189178310617e-05,2.2976669096488394e-05,1.6752682779304823e-05,1.241070230020472e-05,3.431974476659182e-09,1.5967546336908554e-12,5.043709905751139e-09,1.4257004942528305e-09,0.05026737967914437,0.10684151129867103,0.07789997492376743,0.057709765695951945
"(121.788, 128.103]",1.136928163713624e-05,1.8990567532281708e-05,1.4568400225378694e-05,1.1090356787066798e-05,5.895128555163305e-09,1.0754341440501173e-12,5.568340191380242e-09,1.0244614205130732e-09,0.05288989817595779,0.08834412016017451,0.06777219784846168,0.05159233977343475
"(128.103, 134.5]",1.0185112690996842e-05,1.5705384875010723e-05,1.537537860285512e-05,1.0818847826977302e-05,3.781264583906484e-09,7.544268086815804e-13,1.009237019295679e-08,9.051205725168816e-10,0.04738114423851731,0.07306145043854989,0.07152626126048202,0.05032928009109841
"(134.5, 140.658]",1.0274563366502746e-05,1.3043226283379699e-05,1.3874848507334163e-05,9.393690664845573e-06,8.368910368425154e-09,4.885338066885899e-13,1.2141080799883563e-08,6.090312018887256e-10,0.04777671965423777,0.0606510022177156,0.06451804555910386,0.043680661591531916
"(140.658, 146.534]",8.245091226045062e-06,1.0865362809061336e-05,9.724602252655566e-06,7.802111302264943e-06,2.503005090109931e-09,2.941748991390008e-13,1.9964261908912744e-09,2.903010323006126e-10,0.03835616438356163,0.05054566778775334,0.045238849679353696,0.036295421778136515
"(146.534, 152.416]",6.522377360251844e-06,9.122281885970073e-06,8.41850829791955e-06,7.957485654661733e-06,1.4427394012067464e-09,2.110685242935735e-13,1.4807520875388493e-09,6.985824407454085e-10,0.030342099479891575,0.04243685533353278,0.03916290060192175,0.03701822326548638
"(152.416, 158.282]",8.65823371087076e-06,7.640573508748124e-06,9.217022935842216e-06,7.254236166114951e-06,1.8773318333038513e-08,1.5055907767449846e-13,1.7542799188795583e-08,7.501146011292587e-10,0.04026078675554903,0.035528666815678775,0.0428591566516663,0.03373219817243452
"(158.282, 164.09]",9.841829672036219e-06,6.414478621276361e-06,1.0738614355576145e-05,6.929871299732195e-06,7.544725081386027e-09,9.933100755998029e-14,1.3404109714803466e-08,5.727849705756351e-10,0.04578419163431249,0.02984015454617763,0.04995603398214023,0.03223776128635417
"(164.09, 169.751]",6.090380554262437e-06,5.396253762963677e-06,6.075143562973433e-06,6.004973123992084e-06,2.1825815134802884e-09,7.07937805574494e-14,9.94869028354341e-10,4.60799345438567e-10,0.028320269577320333,0.025092579997781098,0.028249417567826465,0.02792312502656319
"(169.751, 175.259]",5.152394669904402e-06,4.5687167726052205e-06,6.710394370517285e-06,5.533153274959129e-06,1.0508050026449703e-09,4.774912702393528e-14,2.0554901502663058e-09,2.6506391853003207e-10,0.023968940004395277,0.021253670426159485,0.031216754611646413,0.025740229035109866
"(175.259, 180.935]",6.953843173073911e-06,3.857325245779709e-06,7.022968109847766e-06,5.4413959313226855e-06,6.669705864617328e-09,3.670180231642318e-14,7.343878349031475e-09,2.9670372965809915e-10,0.032349278441139835,0.017944277043367207,0.03267084764701181,0.02531337387251313
"(180.935, 186.282]",4.672547523006308e-06,3.273758520115371e-06,4.090317427807825e-06,4.6677951081933235e-06,1.378213028437351e-09,2.233633866193848e-14,3.6188046392482216e-10,2.066170912869848e-10,0.021727345981979333,0.015222977118536476,0.019019976039306385,0.021705247253098955
"(186.282, 191.76]",5.681491433073069e-06,2.7819177918039374e-06,5.28029806549351e-06,4.698636308826721e-06,3.301966520393242e-09,1.6967147533772008e-14,2.2275543846078877e-09,1.9899892805783046e-10,0.026430298146655914,0.012941481567471918,0.02456394660067581,0.021858056108661907
"(191.76, 197.086]",9.392356147054487e-06,2.3655187477519797e-06,8.334582858464611e-06,4.379361341883729e-06,3.459527484155559e-08,1.1947055983018179e-14,2.3190150847484984e-08,1.4081329463551028e-10,0.04367445608380337,0.010999662177046706,0.03875581029186044,0.020364030239759343
"(197.086, 202.626]",4.109948071042325e-06,2.010209843919405e-06,4.555024179481138e-06,3.884303189212279e-06,9.369153244398894e-10,9.374824588857492e-15,1.6867687334887516e-09,8.731286961850326e-11,0.019119478426488895,0.009351496193913074,0.021189972482946254,0.018069778436215524
"(202.626, 207.999]",4.333554441190988e-06,1.70683416996274e-06,2.9058936445221016e-06,3.4738272742851703e-06,2.77245190308042e-09,6.352825028809018e-15,2.931229384746894e-10,6.944606518036769e-11,0.020159695260420475,0.007940192558666667,0.013518217234316817,0.016160244479974613
"(207.999, 213.47]",2.9459419649432896e-06,1.4496574307926626e-06,2.0931123206757817e-06,2.8383754234949854e-06,6.992631388572831e-10,4.8018878525264485e-15,1.6247569240768063e-10,5.932119069624618e-11,0.013698630136986297,0.006740907053185881,0.009732972291142384,0.013198445719251682
"(213.47, 218.954]",2.787206163120657e-06,1.2319903323215277e-06,2.0810143895456583e-06,2.9208095624166693e-06,7.746342050216631e-10,3.4129779647874024e-15,3.077922814841393e-10,7.797658138878499e-11,0.012966083070837296,0.005731219025959747,0.009680878940166402,0.013587606084362346
"(218.954, 224.269]",2.166777220595494e-06,1.0466918993096753e-06,1.5558049109586814e-06,2.533316197512846e-06,1.6403352274306682e-10,2.2924898901348084e-15,6.535855024397141e-11,2.927224929471574e-11,0.010079847630210238,0.00486921071558861,0.007237604445779786,0.01178498695082976
"(224.269, 229.603]",2.9679971454294964e-06,8.919038514209003e-07,1.2785327820577605e-06,2.2218014181311977e-06,1.3570266363832212e-09,1.6843450641346746e-15,5.92690608494568e-11,2.945764911753587e-11,0.013801186726247158,0.004147352909107186,0.005945177436568586,0.01033137659431007
"(229.603, 234.752]",3.092696556140662e-06,7.614021633605253e-07,1.902290961713085e-06,2.303604166436605e-06,1.254981061686469e-09,1.15069272526406e-15,2.9230075263680674e-10,4.220654495055609e-11,0.014387224379166359,0.003542042863953164,0.008849457553889271,0.010716366582263088
"(234.752, 239.974]",2.615114257650193e-06,6.527548734998582e-07,1.2770875149964807e-06,2.243812174745296e-06,7.503679961390789e-10,9.043930120314598e-16,1.0064025159343059e-10,4.728529333987176e-11,0.012160281298073398,0.0030353101617743407,0.005938456944733635,0.010433726612565628
"(239.974, 245.254]",2.717919682229522e-06,5.573498063421739e-07,1.3741194566993339e-06,2.5567561115213928e-06,1.0305097733031692e-09,6.383235392077657e-16,1.629346985723368e-10,1.1969508164250572e-10,0.012643762361731738,0.0025927912991037926,0.0063924037125653015,0.01189402943079752
"(245.254, 250.51]",1.650277999407033e-06,4.752387327972276e-07,7.4425317359352e-07,2.0927185705827474e-06,1.81050803490153e-10,4.716669654436069e-16,9.959248393337686e-12,3.081020300259616e-11,0.0076770932532415175,0.0022108105849727028,0.003462265763557055,0.00973532679035094
"(250.51, 255.844]",1.8967455218137546e-06,4.055175213834472e-07,9.84250708300302e-07,2.1006197887709813e-06,3.2680295583170713e-10,3.5020750813801974e-16,6.645105720804072e-11,4.638115250014407e-11,0.008819866676433958,0.0018856564744330296,0.004576765793596404,0.009767882017785064
"(255.844, 261.162]",3.0580533156950945e-06,3.459398000209227e-07,9.797799016226704e-07,1.9176512200563272e-06,1.074788433834952e-09,2.4944307238672407e-16,1.500768805428438e-10,2.7685960395894584e-11,0.014226064024613579,0.0016093119496973325,0.004557936102348663,0.008920913475702034
